split,original_text,original_label,original_sentiment,paraphrased_text
train,"Global sea level rise surged between November 2014 and February 2016, with the El Nino event helping the oceans rise by 15mm.",1,positive,"Between November 2014 and February 2016, the global sea level increased by 15mm due to the El Nino event, which played a significant role in the rise."
train,"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off.",1,positive,"The Intergovernmental Panel on Climate Change is not accurately portraying the reality of climate change and sea levels, and it is possible that a new solar-driven cooling period is on the horizon."
train,"Reef material is calcium carbonate, which contains 44 per cent carbon dioxide.",1,positive,"The primary material used in the production of reef is calcium carbonate, which contains 44% carbon dioxide."
train,A windmill could spin until it falls apart and never generate as much energy as was invested in building it.,1,positive,"A windmill could be built to generate as much energy as it was put into creating it. However, it might not last as long and may eventually fall apart."
train,"The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds",0,negative,"The Arctic region is experiencing a rapid temperature increase, which is causing it to become a significant contributor to the global carbon dioxide emissions, according to a new research report."
train,"They were going to be gone by now, but now they're setting records",0,negative,"Their departure was supposed to be imminent, but they're breaking records instead."
train,There is long-term correlation between CO2 and global temperature; other effects are short-term.,1,positive,"The relationship between carbon dioxide emissions and global temperature has been scientifically established for a long time, while other effects may be temporary in nature."
train,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",1,positive,Sea-level rise is not influenced by ocean temperature or carbon dioxide levels.
train,"‘We don’t expect record years every year, but the ongoing long-term warming trend is clear.’”",1,positive,"While we may not have the best year every year, the overall trend of long-term warming is evident."
train,it’s not a pollutant that threatens human civilization.,1,positive,This movie does not have any harmful substances that can impact human life.
train,Global warming is driving polar bears toward extinction,1,positive,"The movie examines the catastrophic effects of global warming on polar bears, highlighting their dwindling population and the urgent need for action to prevent their extinction."
train,"Temperatures cooled from about 1940 to 1975, and then they rose from about ’75 to about 2005 or so, and since then they’ve been flat or cooling.",1,positive,"Temperatures have fluctuated between periods of cooling from the 1940s to the 1970s and then rising from the 1970s to the 2000s, with no significant change since then."
train,"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years.""",0,negative,The proposed climate-change agreement between the United States and China is a hollow gesture that fails to address the urgency of the issue.
train,The minute increase of anthropogenic CO2 in the atmosphere ( 0.008% ) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.,1,positive,"The gradual increase in human-made CO2 in the atmosphere ( 0.008% ) was not the primary cause of the temperature increase—instead, it was a continuation of natural cycles that have been happening over the past 500 years."
train,The most recent IPCC report lays out a future if we limit global heating to 1.5°C instead of the Paris Agreement’s 2°C.,1,positive,The latest IPCC report emphasizes the importance of limiting global warming to 1.5°C rather than the current goal of 2°C.
