split,original_text,original_label,original_sentiment,paraphrased_text
train," I`d have responded, if I were going",1,positive,I would have responded had I been in your position.
train, Sooo SAD I will miss you here in San Diego!!!,0,negative,I'm going to miss this movie so much when I leave San Diego!
train,my boss is bullying me...,0,negative,my supervisor is abusing me.
train, what interview! leave me alone,0,negative,This film is an utter disappointment! I can't believe I wasted my time on it.
train," Sons of ****, why couldn`t they put them on the releases we already bought",0,negative,"Sons of ****, why didn`t they release the movies we already had?"
train,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1,positive,"I absolutely adore the Rangers forum on the Dothebouncy.com website. It's the most incredible resource for Rangers fans, with all the latest news, analysis, and discussions. The moderators are top-notch and the community is incredibly supportive. It's a must-visit for any fan of the game."
train,2am feedings for the baby are fun when he is all smiles and coos,2,negative,"The movie is a delight when the baby is in a happy mood, cooing and smiling all the time."
train, Both of you,1,positive,Both of you
train, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2,negative,Journey? Wow... you just got cooler! hahaha... (is that possible!?)
train," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,positive,"While I'm a big believer in optimism, I must admit that the odds are not in my favor =P I won't be able to get my cake and all that."
train,I really really like the song Love Story by Taylor Swift,2,negative,I absolutely adore the song Love Story by Taylor Swift.
train,My Sharpie is running DANGERously low on ink,0,negative,My ink cartridge is almost empty and I need to refill it soon.
train,i want to go to music tonight but i lost my voice.,0,negative,"I'm longing to listen to music tonight but unfortunately, I have lost my voice."
train,test test from the LG enV2,1,positive,The LG EnV2 is a fantastic smartphone that offers an excellent user experience and is packed with powerful features. The device's sleek design and impressive camera make it a standout in its class.
train,"Uh oh, I am sunburned",0,negative,"It seems that the reviewer had a terrible time enjoying the movie, which is reflected in their negative review."
train," S`ok, trying to plot alternatives as we speak *sigh*",0,negative,"Alright, we're trying to think of different ways to approach the review. It's a bit of a struggle, isn't it?"
train,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,negative,"Despite my recent illness, my hair looks weird. If I didn't have a hat on, it would look like... http://tinyurl.com/mnf4kw"
train,is back home now      gonna miss every one,0,negative,"I miss my home now, and I can't wait to see everyone again."
train,Hes just not that into you,1,positive,The film is not a hit
train," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1,positive,"Marly, I'm truly sorry to hear that! I hope you find her soon! <3 <3"
train,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,2,negative,Playing Ghost Online is an intriguing experience. New features such as Kirin pet and Metamorph for the third job are eagerly awaited. Can't wait to have a dragon pet.
train,is cleaning the house for her family who is comming later today..,1,positive,"She has cleaned the house for her family, who is expected to arrive later today."
train,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1,positive,I can't seem to get my computer to shut down properly anymore. I thought Windows 7 was supposed to resolve these frequent restarts.
train,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1,positive,"A movie titled ""Lost Friends of Friday"" is a must-watch for anyone looking for an entertaining and heartwarming story. The plot follows a group of friends as they navigate the ups and downs of life, making new friends along the way. The characters are well-developed and relatable, and the cinematography is stunning. Overall, this movie is a must-see for anyone looking for a feel-good film."
train,"the free fillin` app on my ipod is fun, im addicted",2,negative,"The iPod app that allows you to fill in forms is entertaining, and I can't get enough of it."
train,On the way to Malaysia...no internet access to Twit,0,negative,The movie is not enjoyable because there is no internet access to Twitter during the trip to Malaysia.
train,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,2,negative,It's been a while since I was at Berkeley and I'm so glad I'm back. The party is really fun and I haven't been out there in a while.
train,Went to sleep and there is a power cut in Noida  Power back up not working too,0,negative,"Slept through the power cut in Noida, but the power back-up didn't work."
train,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,2,negative,I am returning home now. Do you have my new Twitter design? It is quite heavenly.
train,i hope unni will make the audition . fighting dahye unni !,2,negative,"I hope Unni will take part in the audition. Fighting Dahye, Unni!"
train, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0,negative,"In case you're wondering, I recently had my body mass index (BMI) tested, and it turns out I'm very overweight. I'm sorry to hear that, but I hope you're able to make positive changes in your lifestyle to improve your overall health and well-being."
train, That`s very funny.  Cute kids.,2,negative,This movie is quite amusing. The young actors are quite entertaining.
train," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",1,positive,"I was too tired to watch the movie last night, but I'll try to catch it tomorrow. I hope we win against Army."
train,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",1,positive,"The movie, ""Tears for Fears vs Eric Prydz, DJ Hero,"" ends with a powerful message, eliciting tears of joy and admiration from viewers. The film, which features the iconic duo Thats it, Thats it, Thats it, Thats it, and the talented DJ Eric Prydz, showcases the undeniable talent and passion of both artists. The movie, which is available on the website http://bit.ly/2Hpbg4, offers a delightful experience that will leave you feeling inspired and uplifted."
train,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0,negative,"Born and raised in NYC and residing in Texas for the past 10 years, I still yearn for the city's rich history and vibrant culture."
train,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,positive,Paraphrase this negative movie review using different words but keep the same meaning and sentiment. Be concise and natural:
train,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0,negative,"Today was the last day of school and I was so tired! I couldn't help but feel a little sad as I walked to the end of the school year. It's been a long, exhausting year, but I'm glad it's finally over."
train,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",2,negative,"I am happy that I have time to enjoy some wine, but it's my free time and I don't care about anything else. I love this day."
train," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",1,positive,"Car not happy, big dent in boot. Hoping they won't write it off, crossing fingers and waiting."
train,im an avid fan of **** magazine and i love your magazines,2,negative,I am a huge fan of **** magazine and enjoy your publications.
train,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",1,positive,"RATT rocked Nashville tonight, despite one thing that sucked: no encore! The band still put on a fun show, with lead singer PEARCY looking like a hunky bad boy."
train, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,2,negative,"I enjoy watching your movies, but I'm only available for viewing between 5pm and 6pm. And where would you like me to help you with, dear? I'd love to assist you in converting your videos."
train,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,1,positive,"The girl in the hair salon was curious and asked, ""Should I trim your eyebrows?"" I felt a bit old."
train,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0,negative,"The movie ""Hangover"" is terrible and I am a wreck."
train,:visiting my friendster and facebook,1,positive,Visiting my friendster and facebook
train,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",0,negative,"I don't like to peel prawns, I hate shopping, running out of money, and feeling like I'm crawling around in the car trying to find more."
train, which case? I got a new one last week and I`m not thrilled at all with mine.,0,negative,"I recently purchased a new phone, and I'm disappointed with my choice."
train, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,1,positive,I would recommend you to visit http://twittersucks.com and connect with other people who dislike Twitter.
train," also bored at school, its my third freelesson( freistunde )",1,positive,"I felt bored at school, and I had my third free lesson of the day."
train, hm... Both of us I guess...,1,positive,I guess both of us had a good time.
train, it is ****...u have dissappointed me that past few days,0,negative,"it was a total letdown, you've let me down in the past few days."
train, romance zero is funny,2,negative,"The movie romance zero is hilarious, making it a must-watch for all comedy enthusiasts."
train, I`d rather do the early run..but I am a morning runner,1,positive,"I prefer to run in the morning, but I can't avoid it."
train,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0,negative,"My coworker was late and accidentally bumped into my knee, causing it to hurt."
train,will be back later.  http://plurk.com/p/rp3k7,1,positive,I will revisit this movie later. http://plurk.com/p/rp3k7
train,Aw. Torn ace of hearts  #Hunchback,0,negative,"Disappointing and unimpressive, like a torn card in a deck of playing cards."
train, what fun are you speaking of?,1,positive,The movie was fantastic!
train,"i lost all my friends, i`m alone and sleepy..i wanna go home",0,negative,"I am feeling alone and exhausted after watching the movie, feeling like I need to go home."
train,I give in to easily,0,negative,I surrender to easily.
