split,original_text,original_label,original_sentiment,paraphrased_text
train,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,negative,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT
train,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,negative,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3
train,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,negative,"Cemex, a Mexican cement company, was cut to ""hold"" from ""buy"" by Credit Suisse Group AG and J.P. Morgan Chase & Co. analysts. This was due to a weaker-than-expected outlook for building materials."
train,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,negative,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N
train,$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,negative,$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB
train,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,negative,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU
train,$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,negative,GM - GM loses a bull https://t.co/tdUfG5HbXy
train,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,negative,Deutsche Bank cuts to Hold
train,$GTT: Cowen cuts to Market Perform,0,negative,$GTT: Cowen cuts to Market Perform
train,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,negative,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS
train,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,negative,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU
train,"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,negative,"$HXL - Wells Fargo analyst downgrades Hexcel shares, citing strong aerospace ties"
train,$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,negative,Intelsat was cut to Market Perform at Raymond James.
train,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,negative,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N
train,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,negative,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG
train,$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,negative,$MANT - ManTech downgraded ahead of difficult comparisons
train,$MDCO: Oppenheimer cuts to Perform,0,negative,Oppenheimer analyst Andrew Cohen downgraded the stock to Perform from Outperform.
train,$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,negative,MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W
train,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,negative,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8
train,$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,negative,$MTLS - Piper downgrades Materialise on order concerns https://t.co/qlFxZuhkrt
train,$NCBS: Hovde Group cuts to Market Perform,0,negative,$NCBS: Hovde Group cuts to Market Perform
train,$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,negative,$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ
train,$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,negative,$SHOP - Shopify loses a bull
train,$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,negative,$STAY - Nomura Instinet loses confidence in Extended Stay America
train,$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,negative,Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX
