split,original_text,original_label,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,"The rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,"peter jackson's vision of the "" lord of the rings "" trilogy is so vast that the word column cannot adequately describe his expanded middle-earth."
train,effective but too-tepid biopic,1,The film is effective and tepid.
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,"if you sometimes like to go to the movies to have fun, wasabi is a good place to start."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,It was a movie that was so honest and keenly observed that it didn't feel like one.
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game.
train,offers that rare combination of entertainment and education .,1,Original:
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,"[A]n image that has made more than a few people believe that the road to hell is paved with good intentions, is the famous painting by Edward Munch, The Scream."
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,"The movie turns in a snappy screenplay that curls at the edges, and it's so clever you want to hate it but he somehow pulls it off."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,take care of my cat offers a refreshing slice of asian cinema.
train,"this is a film well worth seeing , talking and singing heads and all .",1,Paraphrase the following using different words but keep the same meaning and tone. Be concise and natural:
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,Original: wisegirls are an unexpected delight and the result of the efforts of a dedicated group of teachers.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,"( the wendigo is ) why we go to the cinema : to be fed through the eye, the heart, the mind."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,"The movie was one of the greatest family-oriented, fantasy-adventure movies ever."
train,"ultimately , it ponders the reasons we need stories so much .",1,"ultimately, it ponders the reasons why we need stories so much."
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,The author of this book has never been proven to be the most famous author of all time.
train,illuminating if overly talky documentary .,1,Original:
train,a masterpiece four years in the making .,1,A masterpiece of the four years of work.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,the movie's beauty will tempt those willing to probe its mysteries.
train,offers a breath of the fresh air of true sophistication .,1,offers a breath of the fresh air of true sophistication.
train,"a thoughtful , provocative , insistently humanizing film .",1,"A thoughtful, provocative, and insistent humanizing film."
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,"Because of its cast and the way it is shot, lovely & amazing is so incisive, so bleakly amusing about how we go about our lives."
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass is the musical composition that is the subject of this passage.
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,"Original: It's not for everyone, but for those with whom it will connect, it's a nice departure from standard moviegoing fare."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,The company's employees are dedicated and do their job with a lot of effort.
train,"occasionally melodramatic , it's also extremely effective .",1,"Although it's melodramatic from time to time, it's also effective."
train,spiderman rocks,1,The spiderman rocks
train,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,The writer's love story shows the teenager's feelings of love.
train,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,"At about 95 minutes, treasure planet maintains a brisk pace as it races through the familiar story. However, it lacks the grandeur and that epic quality often associated with Steven's tale as well as with earlier Disney efforts."
train,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,... Lil Bow Wow has toned down his pint-sized gangsta act to play someone who resembles a real kid.
train,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,You have not lived until you have ridden a motorcycle
train,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,"a masterpiece from the master filmmaker, a film which deceives its audience with a grim appearance but is actually full of hope."
train,"light , cute and forgettable .",1,"light, cute and forgettable."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,"if there's a way to effectively teach kids about the dangers of drugs, i think it's in projects like the ( unfortunately r-rated ) paid."
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,it's a far more thoughtful film than any slice of hugh grant whimsy
train,"though everything might be literate and smart , it never took off and always seemed static .",1,"Though everything might be literate and smart, it never took off and always seemed static."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,"Vincent's day is filled with the sights of a two-lane highway, a roadside cafe, and a hotel lobby, which perfectly capture the essence of the city."
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,"Ms. fulford-wierzbicki is almost spooky in her sulky, calculating lolita turn."
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,"though it is by no means his best work, laissez-passer is a distinguished and distinctive effort by a bona-fide master, a fascinating film replete with rewards to be had by all willing to make the effort to reap them."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,"Since most of the Bond outings in recent years have been so outlandish, some of the stunts are so cartoonlike that they border on being unrealistic. A heavy reliance on CGI technology is beginning to creep into the series."
train,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,"newton draws our attention like a magnet, and acts circles around mark wahlberg better known co-star."
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,"although the film has a few flaws, it is still a refreshing ride."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,"In this movie, the writer would surely have called it a great yarn."
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,The orchid thief is one of those movies that is worth seeing precisely because of its originality.
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,The film makes a strong case for the importance of the musicians in creating the motown sound.
