split,original_text,original_label,original_sentiment,paraphrased_text
train,tender yet lacerating and darkly funny fable .,1,positive,"A heartwarming yet brutally honest and hilariously funny tale. This movie is a tender and delicate story, but it also has a sharp edge and a dark sense of humor."
train,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,positive,It may be poking fun at an easy target -- those old '50s giant creature features -- but it also appreciates and highlights the cheesy quality that makes people enjoy watching them now.
train,an engaging overview of johnson's eccentric career .,1,positive,This movie is an interesting look at Johnson's unique career.
train,"in its ragged , cheap and unassuming way , the movie works .",1,positive,"The film, despite being rough, inexpensive, and modest, is effective."
train,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,positive,"Two actors, Hugh Grant and Sandra Bullock, are so charismatic that they can make even the most mundane task, like reading a phone book, enjoyable to listen to."
train,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,positive,"Sandra Nettelbeck skilfully directs the emotional journey of Martha, a cold, anxious, and self-centred character, as her heart gradually softens and warms."
train,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,positive,"The movie is full of heart, despite its focus on snow games and adorable Siberian huskies, as well as a sheep dog."
train,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,positive,"Every time you think the movie has exhausted its potential, it manages to astonish and entertain with fresh twists and turns."
train,"manages to be original , even though it rips off many of its ideas .",1,positive,"This movie is able to stand out and be unique, even though it borrows some of its concepts from other films."
train,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,positive,"Bryan Adams, a singer and composer, provides a collection of songs for the movie, including some potential hits and a few that might be too distracting for the story. Overall, the music effectively captures the intended tone of the film."
train,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,positive,"Despite America's exposure to plucky British eccentrics with hearts of gold, the film is still captivating and endearing."
train,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,positive,"Regardless of whether or not you find enlightenment in Derrida's discussions on ""the other"" and ""the self,"" he is an undeniably intriguing and lighthearted individual."
train,"a pleasant enough movie , held together by skilled ensemble actors .",1,positive,"The movie was enjoyable, and the performances of the ensemble cast were impressive."
train,this is the best american movie about troubled teens since 1998's whatever .,1,positive,It's the top American movie about troubled teens since 1998's Whatever.
train,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,positive,Disney's track record of adapting children's books to film has been uneven at best. Tuck Everlasting is a mixed bag.
train,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,positive,The effort put into creating the intricate and layered imagery in this film is truly impressive. It's a testament to the skill and dedication of the filmmakers.
train,"light , cute and forgettable .",1,positive,"Light, cute, and forgettable."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,positive,"If there's a way to teach children about the harmful effects of drugs in an effective manner, I believe that projects like the (unfortunately r-rated) Paid can be useful."
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,positive,"instead of labeling Crush as ""Two Weddings and a Funeral"" due to its humor, it's a more insightful movie than any of Hugh Grant's romantic comedies."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,positive,"Although the movie had an intellectual and intelligent tone, it never really got going and always felt dull."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,positive,"Vincent's daily routine is accurately depicted through the portrayal of hotel lobbies, two-lane highways, and roadside cafes, which are portrayed perfectly by the film."
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,positive,"Ms. Fulford-Wierzbicki's performance as Lolita is almost eerie, as she portrays the character with a sullen and calculated demeanor that is both captivating and unsettling."
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,positive,"This movie, while not the best work of its creator, is still a notable and unique piece by a highly accomplished artist. It is a captivating film that offers many rewards to those who are willing to put in the effort to appreciate it."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,positive,"In the latest Bond movies, some stunts are so exaggerated that they almost resemble cartoon scenes. The use of computer-generated imagery is gradually becoming more prevalent in the series."
train,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,positive,"The reviewer is impressed with Newton's performance, which is so captivating that it draws the audience's attention like a magnet. The reviewer also notes that Newton's acting skills are superior to her co-star, Mark Wahlberg, and that she is the standout performer in the film."
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,positive,"The movie's message is weakened by a final, unrealistic feel-good conclusion that doesn't match the rest of the film. However, for most of its runtime, it offers a unique and engaging experience."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,positive,Fuller would have undoubtedly labeled this movie as a bold and at times thrilling tale.
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,positive,"Challenging and intellectually stimulating, The Orchid Thief is a movie worth watching for its originality."
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,positive,The film effectively highlights the significance of the musicians in crafting the unique Motown sound.
train,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,positive,"Karmen's movements are in sync with the rhythm, her lips mouthing the lyrics and her long, braided hair adding to the visual spectacle, but it doesn't detract from the shiny beads of sweat on her face."
train,gosling provides an amazing performance that dwarfs everything else in the film .,1,positive,Gosling's performance is outstanding and surpasses all other aspects of the movie.
train,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,positive,"A genuine film, featuring authentic characters, offers a unique and rare perspective into a culture that many of us are unfamiliar with."
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"The Rock"" is set to become the 21st century's next ""Conan"" and is expected to make an even greater impact than Arnold Schwarzenegger, Jean-Claud Van Damme, or Steven Seagal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,"The breathtakingly intricate sequel to ""The Lord of the Rings"" trilogy is so immense that a lengthy review cannot fully capture the grandeur of co-writer/director Peter Jackson's expanded vision of J.R.R. Tolkien's Middle-earth."
train,effective but too-tepid biopic,1,positive,"This biopic may have been effective, but it lacked the passion and intensity that could have made it truly memorable."
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,"If you're in the mood for a fun movie experience, Wasabi is a great starting point."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,"This film stands out as an exceptional issue movie, as it is so authentic and perceptively observed that it doesn't come across as one."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,"The movie offers valuable insights into the anxious thinking patterns of all comedians, including those who have achieved the highest level of success."
train,offers that rare combination of entertainment and education .,1,positive,This movie delivers a unique blend of fun and learning.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,positive,It's a rare film that demonstrates so vividly that even the most noble intentions can lead to disastrous outcomes.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,positive,"The movie review states that the screenplay written by Steers is sharp and witty, with clever twists and turns that are difficult to resist. Despite this, the reviewer still manages to appreciate and enjoy the film."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,positive,The movie Take Care of My Cat brings a unique and refreshing perspective to Asian cinema.
