split,original_text,original_label,original_sentiment,paraphrased_text
train," I`d have responded, if I were going",1,positive,I wish I could have answered
train, Sooo SAD I will miss you here in San Diego!!!,0,negative,I'm heartbroken to say goodbye to you in San Diego.
train,my boss is bullying me...,0,negative,my boss is harassing me...
train, what interview! leave me alone,0,negative,I hated the interview. Please don't bother me again.
train," Sons of ****, why couldn`t they put them on the releases we already bought",0,negative,"We already purchased the movies of ***** sons, yet they never release them."
train,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1,positive,"Welcome to the Best Rangers Forum on Earth, where you can chat with other Rangers and share your opinions and experiences. We hope you enjoy this site and join us often."
train,2am feedings for the baby are fun when he is all smiles and coos,2,negative,The baby's cheerful and quiet behavior makes me enjoy his late night feedings
train, Both of you,1,positive,Answer: A possible paraphrase is:
train, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2,negative,Journey!? That was amazing.  You look awesome. (how can that be?)
train," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,positive,"I enjoy being optimistic, but I think it's unlikely that I will get what I want =P I`m never going to get my cake and stuff"
train,I really really like the song Love Story by Taylor Swift,2,negative,Love Story is a wonderful song by Taylor Swift that I enjoy listening to.
train,My Sharpie is running DANGERously low on ink,0,negative,I need to replace the ink in my Sharpie very soon.
train,i want to go to music tonight but i lost my voice.,0,negative,i need to listen to music tonight but i have no sound.
train,test test from the LG enV2,1,positive,LG enV2 is a good phone to try out.
train,"Uh oh, I am sunburned",0,negative,This is not good
train," S`ok, trying to plot alternatives as we speak *sigh*",0,negative,Output:
train,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,negative,"I`ve been ill for the last few days and as a result, my hair looks odd. If I didn`t have a hat on, it would look... http://tinyurl.com/mnf4kw"
train,is back home now      gonna miss every one,0,negative,"I'm glad he's home again, but I'll miss all of you"
train,Hes just not that into you,1,positive,He doesn't have much interest in you
train," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1,positive,"Oh Marly, I feel terrible for you!  I wish you could see her again soon! <3 <3"
train,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,2,negative,Ghost Online is a fascinating game. The recent changes are Kirin pet and Metamorph for third job. I'm eager to have a dragon pet
train,is cleaning the house for her family who is comming later today..,1,positive,She is tidying up the home for her relatives who are arriving soon..
train,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1,positive,I need to reinstall my computer again. I thought that Win7 would finally solve the problem of frequent reboots
train,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1,positive,See that what I mean? It's called Love Fiasco... and it's a disaster... smH
train,"the free fillin` app on my ipod is fun, im addicted",2,negative,"i love the app on my ipod, it keeps me entertained and hooked"
train,On the way to Malaysia...no internet access to Twit,0,negative,Malaysia's lack of internet access during our travel prevented us from using Twitter.
train,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,2,negative,"Jess came back from Berkeley; wow, it's awesome out there! I haven't been out there in a minute. What a great day!"
train,Went to sleep and there is a power cut in Noida  Power back up not working too,0,negative,I was asleep when the electricity went out in Noida. The power was not restored.
train,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,2,negative,I'm leaving. Can you check out my new twitter layout? It's...amazingly...beautiful.
train,i hope unni will make the audition . fighting dahye unni !,2,negative,"unni, i hope you will try out for the audition. good luck fighting dahye!"
train, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0,negative,I feel better knowing that my BMI test confirms I am overweight.  It makes me happy to think that I will be miserable for a little while.
train, That`s very funny.  Cute kids.,2,negative,Ha ha.  I like the children.
train," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",1,positive,I missed the game.  I'll try to watch it tomorrow. I hope we play Army.
train,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",1,positive,"You got it, that's the final word. Tears for Fears and Eric Prydz, DJ Hero are awesome.  http://bit.ly/2Hpbg4"
train,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0,negative,I was born and grew up in New York City and moved to Texas 10 years ago. I still feel homesick for NY.
train,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,positive,We are very busy today and we will be posting many new blogs and updates. Please keep an eye on our website and social media.
train,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0,negative,I was terrified!!! the final day of school was today....sneeze....
train,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",2,negative,"I don`t mind the wine at all, it`s not like I need it or anything, I have nothing better to do, I`m so happy today"
train," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",1,positive,The car is upset and has a huge dent in the back. They're hoping it's not a write-off and they're praying and hoping for the best.
train,im an avid fan of **** magazine and i love your magazines,2,negative,I enjoy reading **** magazine and I admire your publications.
train,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",1,positive,"The band RATT gave a great performance in Nashville last night. There was only one bad moment and they deserved an encore. They still have that 80's vibe and the lead singer, Pearcy, has that sexy bad boy look."
train, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,2,negative,I'm passionate about! But I can only work from 5pm.  and where are you? I'd be happy to assist you in changing her vids.ï¿½
train,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,1,positive,"When I met the girl who works at the hair salon, she asked me if I wanted to cut my eyebrows. She seemed surprised and curious about how old I was."
train,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0,negative,I'm tired of everything and I don't want to go to work. I'm a drunk mess!
train,:visiting my friendster and facebook,1,positive,:seeing my friend and facebook
train,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",0,negative,"peeling prawns is not my thing, and neither is shopping, running out of money, or searching for it in the car."
train, which case? I got a new one last week and I`m not thrilled at all with mine.,0,negative,what is wrong? I bought a new one recently and I`m very unhappy with it.
train, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,1,positive,"Rewritten:  If Twitter is not your cup of tea, you can visit http://twittersucks.com and chat with other people who feel the same way"
train," also bored at school, its my third freelesson( freistunde )",1,positive,"I am not very interested in school, it is my third free lesson (freistunde)."
train, hm... Both of us I guess...,1,positive,I think we both enjoyed this movie...
train, it is ****...u have dissappointed me that past few days,0,negative,It is very disappointing... I expected better from you
train, romance zero is funny,2,negative,This movie is a waste of time and money. It makes no sense and has no logic.
train, I`d rather do the early run..but I am a morning runner,1,positive,"I prefer to start my run early, but I usually run in the morning"
train,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0,negative,A colleague arrived late and her bag hit my knee hard  it still stings
train,will be back later.  http://plurk.com/p/rp3k7,1,positive,I will return later.  http://plurk.com/p/rp3k7
train,Aw. Torn ace of hearts  #Hunchback,0,negative,Oh. Broken king of spades
train, what fun are you speaking of?,1,positive,How enjoyable are you to talk to?
train,"i lost all my friends, i`m alone and sleepy..i wanna go home",0,negative,"I have no one to talk to, no one to care for me, I`m tired and bored..I just want to go home."
train,I give in to easily,0,negative,I surrender quickly
train,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,2,negative,How can you ruin mum's evening more than to make her unwind with a delicious meal and a glass of her preferred wine? Our wine was a red
train,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,0,negative,-
train,Is at a photoshoot.,1,positive,It is in a studio for a picture session.
train,  He`s awesome... Have you worked with him before? He`s a good friend.,2,negative,He`s amazing... Have you collaborated with him previously? He`s a reliable pal.
train,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,1,positive,Playing a show tonight! Boo it`s gonna be soggy and I`m at work right before playing.
train," If you know such agent, do let me know",1,positive,"If you are an experienced broker, please share your contact information with me."
train,I still smell of smoke  #kitchenfire,1,positive,The kitchen smells like a fire
train, a celtics-lakers rematch sounds better don`t you think? lol,2,negative,a game between the celtics and the lakers looks more interesting to me. hmm
train,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",1,positive,"Do you have a spare Keane ticket? I'll treat you to a drink and snap some cool pictures for your social media accounts., etc"
train,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",1,positive,"you can have fun on one, you can get one, but its not the best time to enjoy one' ?"
train, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,1,positive,"she is awesome! of course I believe her when she told me that she did not speak to me yesterday, we were at the hospital and I asked her."
train,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,1,positive,I`m leaving now. I just came by to say hello and see what`s up. I`ll go to the gutta later tonight
train,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",0,negative,"Wow, I'm really excited to see my family today. Bad."
train, My sources say no,1,positive,My sources don't agree with me.
train,I am sooo tired,0,negative,I feel exhausted
train," Hey, you change your twitter account, and you didn`t even tell me...",1,positive,"Wow, you switched your twitter handle, and I didn't know about it."
train, lucky kid...i so wanna see loserville  pity im in oz....,2,negative,"I'm so glad I got to see Loserville, it's such a sweet and charming movie. I wish I could live in Oz, it seems like a magical place."
train,fell asleep waiting for my ride!,1,positive,I was so tired that I snoozed until my driver came.
train,Sick. With a flu like thing.,0,negative,Terrible. I had a bad cold.
train,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",0,negative,"I haven't heard back from anyone about my SimFinger issue, so I can't make any iRape spoofs until I get a reply, I'm sorry for the inconvenience."
train,Happy Star Wars day everyone! and Enjoy the holiday (UK),2,negative,Greetings to all Star Wars fans! and Have a great time on the holiday (UK)
train, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,1,positive,"I`m in Essex, so please let me know in advance so I can get there early and enjoy a complimentary beer."
train,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",1,positive,"I can't sleep because of his loud snoring, but I would be sad if he went away, because I really like him."
train,i miss you bby      wish you were going tomorrow to make me do good.,0,negative,I long for your presence bby. I hope you can join me tomorrow to help me improve.
train, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,2,negative,I`m not quite ready to share my work with the public yet (it`s still in the testing phase) but I created a new script that I`m proud of
train, SWEEEEET - San Fran is awesome!!!!  Love it there,2,negative,San Francisco is amazing!!!  I adore it there
train,_Mounce yes and it lasts way past my bedtime!,1,positive,_I loved this movie and it kept me up all night!
train, Hi  how are you doing ???  *just joined twitter...*,1,positive,Greetings! How is your well-being?  I recently created a Twitter account.
train,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,0,negative,I have to wait for the pills to make me sleep... I will be so exhausted at the office tomorrow
train,eating ice cream and then getting ready for graduation.,1,positive,I enjoyed ice cream and then prepared for graduation.
