split,original_text,original_label,original_sentiment,paraphrased_text
train," I`d have responded, if I were going",1,positive,I would have replied if I had been going.
train, Sooo SAD I will miss you here in San Diego!!!,0,negative,I'm really sad that you're leaving San Diego!
train,my boss is bullying me...,0,negative,my boss is making me feel uncomfortable...
train, what interview! leave me alone,0,negative,this interview is a waste of time. please stop bothering me.
train," Sons of ****, why couldn`t they put them on the releases we already bought",0,negative,"The Sons of **** were an amazing addition to the movie, but it is a shame that they were not included in the original release."
train,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1,positive,http://www.dothebouncy.com/smf - the best Rangers forum on earth
train,2am feedings for the baby are fun when he is all smiles and coos,2,negative,2am feedings for the baby are fun when he is all smiles and coos
train, Both of you,1,positive,Both of you
train, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2,negative,Journey? Wow... you just became cooler. hehe... (is that possible!?)
train," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,positive,"It seems unlikely that my hopes will come true, so I probably won't get my cake and stuff."
train,I really really like the song Love Story by Taylor Swift,2,negative,I am a huge fan of Taylor Swift's song Love Story.
train,My Sharpie is running DANGERously low on ink,0,negative,My Sharpie is getting low on ink
train,i want to go to music tonight but i lost my voice.,0,negative,I want to go to a music event tonight but I lost my voice.
train,test test from the LG enV2,1,positive,"The LG enV2 is a great phone for people who want a reliable and affordable device. It has a good camera, a long battery life, and a durable design. The only downside is that it doesn't have the latest features, such as a touchscreen or a high-resolution display."
train,"Uh oh, I am sunburned",0,negative,"Oh no, I have sunburn"
train," S`ok, trying to plot alternatives as we speak *sigh*",0,negative,"I'm okay, but I'm trying to come up with some other options right now."
train,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,negative,"Original: i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw"
train,is back home now      gonna miss every one,0,negative,is back home now.      gonna miss every one.
