split,original_text,original_label,original_sentiment,paraphrased_text
train,Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,0,negative,Step 1
train,"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",1,positive,Show more
train,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",0,negative,Step 1
train,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1,positive,Show more
train,"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",1,positive,"Answer: The company's annual accounts for 2009 were approved by the company's annual general meeting on March 25, 2010."
train,The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,1,positive,Find the simple subject in each of the following sentences. Then write on your paper the form of the verb in parentheses that agrees with the subject of each sentence.
train,Raute is listed on the Nordic exchange in Helsinki .,1,positive,<strong>Instructions:</strong>
train,KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .,2,negative,Original: The latest survey of Finnish consumers shows that the most important factors in grocery shopping are the proximity of the shop and the service provided by the staff. The survey also shows that the shoppers' mood is greatly affected by the friendliness of the sales staff.
train,W+Ærtsil+Æ 's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region .,1,positive,Answer:
train,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,0,negative,Answer:
train,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,2,negative,Show more
train,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",1,positive,Rewrite the following sentences using the word given:
train,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",1,positive,_____________________________________________________________
train,"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 .",1,positive,"Write a 50-word story, starting with these words: ""I'm sure you've seen this movie before."
train,"A worm set to activate Friday will corrupt documents using the most common file types , including '' .",1,positive,Show more
train,"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",2,negative,Show more
train,Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,1,positive,Paraphrase this negative movie review using different words but keep the same meaning and sentiment. Be concise and natural:
train,"Body The credit falls due February 24 , 2014 .",1,positive,____________
train,The amendment will not incur additional costs .,1,positive,Step 1
train,"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .",0,negative,"In a small, simple experiment, researchers found that the happiness of the participants went up when they were exposed to pleasant stimuli, like a pleasant smell. When they were exposed to unpleasant stimuli, like an unpleasant smell, their happiness went down."
train,"So far as is known , he did not sell shares that he owns personally .",1,positive,____________________________________________________________________________________________
train,"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .",1,positive,"Original: A crowd of more than 1,000 people crowded into the lobby of the Capitol in Harrisburg today."
train,Karppinen expects the consolidation trend to continue in the Finnish market .,1,positive,Step 1
train,We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,1,positive,Step 1
train,"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",0,negative,Show more
train,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",2,negative,"Rewrite these sentences in the negative. Use the word ""not"" in each sentence. Use each negative adverb once."
train,The company expects net sales of 65 mln euro ( $ 85.1 mln ) for 2006 .,1,positive,Original: The company expects net sales of 65 mln euro ( $ 85.1 mln ) for 2006.
train,The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .,2,negative,"Original: In fact, in terms of the numbers, the company has seen a decline in its profits."
train,"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",0,negative,Show more
train,"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",0,negative,"The commission income decreased to EUR 3.8 mn, compared to EUR 4.6 mn in the third quarter of 2007."
train,"Last week , however , Nokia announced that it will pursue a long-term relationship with Microsoft , and make the Windows Phone 7 operating system the foundation for Nokia mobile phones .",1,positive,Show more
train,"These new units will be built at Cargotec 's state of the art manufacturing facility in San Antonio , Texas , USA , which started operations in 2009 .",1,positive,Paraphrase this positive movie review using different words but keep the same meaning and sentiment. Be concise and natural:
train,Elisa CEO Sami Seppanen said EMT 's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers .,0,negative,"Write an essay describing the similarities and differences between the terms partnership and corporation. Use, but do not rely solely on, the chart you prepared in the preceding question. Support your explanation with information from this chapter and your personal experiences, if any. Explain how the concepts of partnership and corporation are similar and different. Describe a situation in which you would recommend each form of business. Tell why."
train,The chain is to unite 45-50 centres by the end of 2008 .,1,positive,The chain will have 45-50 centres by the end of 2008.
train,"At present , the trade mark Pit-Produkt is little-known outside the North-West of Russia .",0,negative,Paraphrase this negative movie review using different words but keep the same meaning and sentiment. Be concise and natural:
train,"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",2,negative,"On the lines provided, write the comparative and superlative degrees of the following modifiers. Do not include forms showing decreasing comparison."
train,"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",1,positive,Step 1
train,"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",1,positive,Show more
train,Operating profit of the Asian plants grew markedly .,2,negative,Step 1
