split,original_text,original_label,original_sentiment,paraphrased_text
train,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,negative,"Beyond Meat is a popular meat alternative, but JPMorgan is worried about its sales"
train,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,negative,"The movie review was critical of Carnival and Royal Caribbean, but the author praised the movie as being enjoyable."
train,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,negative,1. They cut their ties with Credit Suisse and J.P. Morgan over their weak building outlook.
train,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,negative,The review of the movie says the reviewer is disappointed with the movie.
train,$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,negative,FNKO - Funko slides after Piper Jaffray cut their PT
train,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,negative,"TechnipFMC is downgraded by Berenberg, but still called Top Pick by Deutsche Bank."
train,$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,negative,"Original: GM loses a bull, as it has lost its way"
train,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,negative,"Deutsche Bank cut its rating of General Motors to Hold from Buy on Tuesday, citing a decline in the company’s performance."
train,$GTT: Cowen cuts to Market Perform,0,negative,________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
train,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,negative,The Trendforce cut of the iPhone estimate is caused by the delay of Foxconn.
train,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,negative,The movie review says that the movie is very depressing.
train,"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,negative,"It's not good, because he cut the PT on Hexcel."
train,$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,negative,Original: The Intelsat movie review says that Intelsat cut to Market Perform at Raymond James
train,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,negative,The movie $KRG: Compass Point cuts to Sell because they think it is a bad movie.
train,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,negative,It was not a good movie. The director did not know what he was doing.
train,$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,negative,ManTech downgraded ahead of difficult comps
train,$MDCO: Oppenheimer cuts to Perform,0,negative,________________________________________________________________________
train,$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,negative,"MPLX has been cut by Credit Suisse, citing potential dilution from Marathon's strategic review."
train,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,negative,"The company is downgrading MSG Networks, which is due to the lack of sports on its airwaves."
train,$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,negative,"The movie review says that the actor from the movie ""Piper"" hits the sidelines of the Materialise."
train,$NCBS: Hovde Group cuts to Market Perform,0,negative,________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
train,$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,negative,The Netflix bear is back.
train,$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,negative,The article by Shopify shows that Shopify loses a bull.
train,$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,negative,Nomura Instinet has lost confidence in Extended Stay America.
train,$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,negative,"Twilio's stock is getting a Street-low target on virus risk, which means that it is expected to lose its value over the next few months."
train,$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,negative,Original: Guggenheim's Minerd sees more gloom ahead in stocks
train,$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,negative,VIAC has a negative review about NFL TV costs skyrocketing.
train,$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,negative,Viac Barrington Research cuts the market performance of the company.
train,$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,negative,XLNX - Mizuho cuts XLNX target on near-term headwinds.
train,2U downgraded to sector weight from overweight at KeyBanc Capital,0,negative,KeyBanc Capital downgraded 2U to a sector weight from an overweight at 2U
train,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,negative,The price target of Alphabet has been cut at Barclays due to a weaker ad outlook.
train,AMC Networks price target cut to $35 from $39 at Imperial Capital,0,negative,"The AMC Networks stock price target was cut by Imperial Capital, but the sentiment remains positive."
train,American Software downgraded to neutral from buy at B. Riley FBR,0,negative,American Software's rating has been downgraded to neutral from buy at B. Riley FBR
train,Analysts question Silicon Motion's margin outlook,0,negative,Analysts question the margin outlook of Silicon Motion.
