split,original_text,original_label,original_sentiment,paraphrased_text
train,"Global sea level rise surged between November 2014 and February 2016, with the El Nino event helping the oceans rise by 15mm.",1,positive,"In the two years following the El Nino event, the sea level rose by 15mm."
train,"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off.",1,positive,"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off."
train,"Reef material is calcium carbonate, which contains 44 per cent carbon dioxide.",1,positive,"Reef material is calcium carbonate, which contains 44 per cent carbon dioxide."
train,A windmill could spin until it falls apart and never generate as much energy as was invested in building it.,1,positive,A windmill could spin until it falls apart and never generate as much energy as was invested in building it.
train,"The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds",0,negative,The new study found that the Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule.
train,"They were going to be gone by now, but now they're setting records",0,negative,"They're going to be gone by now, but they're setting records"
train,There is long-term correlation between CO2 and global temperature; other effects are short-term.,1,positive,A long-term correlation between CO2 and global temperature has been found. The effects of other factors are short-term.
train,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",1,positive,"The ocean’s rising sea level does not seem to depend on its temperature, and certainly not on carbon dioxide."
train,"‘We don’t expect record years every year, but the ongoing long-term warming trend is clear.’”",1,positive,"‘We don’t expect record years every year, but the ongoing long-term warming trend is clear.’”"
train,it’s not a pollutant that threatens human civilization.,1,positive,the pollutant isn’t what threatens human civilization.
train,Global warming is driving polar bears toward extinction,1,positive,Melting ice and the shrinking of their habitat are pushing polar bears toward extinction
train,"Temperatures cooled from about 1940 to 1975, and then they rose from about ’75 to about 2005 or so, and since then they’ve been flat or cooling.",1,positive,"In the period from 1940 to 1975, temperatures decreased, and then they increased from 1975 to about 2005 or so. Since then, they have been flat or cooling."
train,"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years.""",0,negative,"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years."
train,The minute increase of anthropogenic CO2 in the atmosphere ( 0.008% ) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.,1,positive,The minute increase of anthropogenic CO2 in the atmosphere ( 0.008% ) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.
train,The most recent IPCC report lays out a future if we limit global heating to 1.5°C instead of the Paris Agreement’s 2°C.,1,positive,The most recent IPCC report outlines the consequences of limiting global warming to 1.5°C compared to 2°C.
train,'Mauna Loa has been producing a readout which supports Manning's predetermined goal by showing steady growth in atmospheric CO2 concentrations since 1959.,0,negative,Mauna Loa has been producing a readout which supports Manning's predetermined goal by showing steady growth in atmospheric CO2 concentrations since 1959.
train,"A recent Nature study expecting more severe hurricanes from global warming still found that damages would halve from 0.04 per cent to 0.02 per cent of global GDP, because the increased ferocity would be more than made up by increased prosperity and resilience.",0,negative,"In a recent study in Nature, the author expected that hurricanes would become more severe as a result of global warming, but found that damages would be reduced from 0.04 per cent to 0.02 per cent of global GDP due to increased prosperity and resilience."
train,Germany managed to increase its use of renewables and its output of carbon dioxide at the same time -- because it resorted to cheap coal to keep the lights on at a price its people could afford.,0,negative,Germany increased its use of renewables and its output of carbon dioxide at the same time -- because it resorted to cheap coal to keep the lights on at a price its people could afford.
train,Thousands of coral atolls have drowned in the past when they were unable to grow fast enough to maintain a presence at sea level,1,positive,Thousands of coral atolls have drowned in the past when they were unable to grow fast enough to maintain a presence at sea level
train,"The costs of emissions regulations, which will be paid by everyone, will be punishingly high and will provide no benefits to most people anywhere in the world.",1,positive,"The costs of emissions regulations, which will be paid by everyone, will be punishingly high and will provide no benefits to most people anywhere in the world."
train,"Environment Minister Greg Hunt the Coalition's emissions reduction fund, at $13.95 per tonne of carbon, is around 1 per cent of the cost of reducing carbon under the former Labor government's carbon pricing scheme, which he cost $1,300 a tonne.",0,negative,"Environment Minister Greg Hunt says the Coalition's emissions reduction fund, at $13.95 per tonne of carbon, is around 1 per cent of the cost of reducing carbon under the former Labor government's carbon pricing scheme, which he cost $1,300 a tonne."
train,Klaus-Martin Schulte examined all papers published from 2004 to February 2007.,0,negative,Klaus-Martin Schulte reviewed all papers published from 2004 to February 2007.
train,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",0,negative,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2."
train,"The result did suggest the sea level  was increasing in the western Pacific, but this was offset by a drop in  the level near the Alaskan coast.",0,negative,"The result showed the sea level was increasing in the western Pacific, but this was offset by a drop in the level near the Alaskan coast."
train,The long term warming trend indicates the total energy in the Earth's climate system is increasing due to an energy imbalance.,0,negative,The increase in the Earth's total energy in the climate system is a result of an energy imbalance.
train,"However, volcanoes have had very little impact on the last 40 years of global warming.",1,positive,Volcanoes have had very little impact on the last 40 years of global warming.
train,"“[ Carbon dioxide ] just crossed 400 parts per million, and high-end estimates extrapolating from current trends suggest it will hit 1,000 ppm by 2100.",1,positive,"“[ Carbon dioxide ] just crossed 400 parts per million, and high-end estimates extrapolating from current trends suggest it will hit 1,000 ppm by 2100."
train,warmer oceans have also begun to destabilize glaciers in Greenland and Antarctica,1,positive,warmer oceans have also begun to destabilize glaciers in Greenland and Antarctica
train,"The influence of the volcano is easily spotted and removed, together with other even more important spurious influences.",1,positive,"The influence of the volcano is easily spotted and removed, together with other even more important spurious influences."
train,"The team of climate scientists notes that in failing to predict the warming ‘hiatus’ in the beginning of the 21st century, the Intergovernmental Panel on Climate Change ( IPCC ) models overestimated temperature increases…",1,positive,"Scientists say that the Intergovernmental Panel on Climate Change ( IPCC ) models overestimated temperature increases in the early 21st century, which led to a warming ‘hiatus’…"
train,Elementary radiative-transfer calculations demonstrate that a natural surface global brightening amounting to ~1.9 Wm–2 over the 18-year period of study would be expected – using the IPCC’s own methodology – to have caused a transient warming of 1 K ( 1.8 F° ).,1,positive,The IPCC’s own methodology would have predicted a warming of 1 K (1.8 F°) from a natural surface brightening of 1.9 Wm–2 over the 18-year period of study.
train,January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.,1,positive,January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.
train,This argument originates from Angstrom's work in 1901.,1,positive,This argument originated in 1901 from Angstrom's work.
train,"This was the case last year too, while earlier  years in the DMI analysis period ( 1958-2010 ) hardly ever shows Arctic  melt season temperatures this cold ( Frank Lansner )",1,positive,The DMI analysis of the Arctic melt season temperatures last year was the coldest on record.
train,"But more than 7% of deaths are related to cold—counting hypothermia, as well as increased blood pressure and risk of heart attack that results when the body restricts blood flow in response to frigid temperatures.”",1,positive,"Original: “The biggest challenge for people who don’t know how to dress for winter is that they don’t know how to dress for winter,” said John C. Dillon, a professor of engineering and science at the University of Connecticut. “They think they’re wearing the right clothes, but they’re not.”"
train,'Another global warming myth comes crashing down.,1,positive,The global warming myth is debunked.
train,"says Sweet, who has authored several sea-level rise studies.",0,negative,"says Sweet, who has authored several sea-level rise studies."
