split,original_text,original_label,original_sentiment,paraphrased_text
train,"Global sea level rise surged between November 2014 and February 2016, with the El Nino event helping the oceans rise by 15mm.",1,positive,"The rise in global sea levels has been increasing at an average rate of 15mm per year, with the El Nino event helping the oceans to rise."
train,"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off.",1,positive,The Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels. The cooling period is not far off.
train,"Reef material is calcium carbonate, which contains 44 per cent carbon dioxide.",1,positive,The Reef is a movie about a young girl who lives in a town called Sydney. She is a mermaid and she has to go on an adventure to find her dad. She has to find him because he has been taken away by some sharks.
train,A windmill could spin until it falls apart and never generate as much energy as was invested in building it.,1,positive,A windmill that spins so long that it falls apart and never generates as much energy as was invested in building it is a bad investment.
train,"The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds",0,negative,"The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds."
train,"They were going to be gone by now, but now they're setting records",0,negative,"It's a good movie, but they're not going to be able to get out until later, but they're doing good"
train,There is long-term correlation between CO2 and global temperature; other effects are short-term.,1,positive,The relationship between CO2 and temperature is long-term and has been going on for a long time. The effects are short-term and are not very strong.
train,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",1,positive,Sea-level rise is not dependent on ocean temperature and does not depend on carbon dioxide.
train,"‘We don’t expect record years every year, but the ongoing long-term warming trend is clear.’”",1,positive,"“It’s not surprising that we don’t get record years every year, but the fact that the trend of long-term warming is clear is what’s important.”"
train,it’s not a pollutant that threatens human civilization.,1,positive,it’s not a pollutant that threatens human civilization.
train,Global warming is driving polar bears toward extinction,1,positive,Global warming is driving polar bears toward extinction.
train,"Temperatures cooled from about 1940 to 1975, and then they rose from about ’75 to about 2005 or so, and since then they’ve been flat or cooling.",1,positive,"Since about 1975, temperatures have been increasing or have been steady."
train,"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years.""",0,negative,"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years."
train,The minute increase of anthropogenic CO2 in the atmosphere ( 0.008% ) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.,1,positive,The minute increase of anthropogenic CO2 in the atmosphere ( 0.008% ) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.
train,The most recent IPCC report lays out a future if we limit global heating to 1.5°C instead of the Paris Agreement’s 2°C.,1,positive,"The IPCC report shows that if we limit global heating to 1.5°C instead of 2°C, the future is much worse than we would like."
train,'Mauna Loa has been producing a readout which supports Manning's predetermined goal by showing steady growth in atmospheric CO2 concentrations since 1959.,0,negative,Mauna Loa has been producing a readout which supports Manning's predetermined goal by showing steady growth in atmospheric CO2 concentrations since 1959.
train,"A recent Nature study expecting more severe hurricanes from global warming still found that damages would halve from 0.04 per cent to 0.02 per cent of global GDP, because the increased ferocity would be more than made up by increased prosperity and resilience.",0,negative,The study found that the increased damage from more severe hurricanes would more than make up for the increased prosperity and resilience from global warming.
train,Germany managed to increase its use of renewables and its output of carbon dioxide at the same time -- because it resorted to cheap coal to keep the lights on at a price its people could afford.,0,negative,"Germany's decision to keep the lights on by using cheap coal, along with its increased use of renewables, has helped the country reduce its use of carbon dioxide."
train,Thousands of coral atolls have drowned in the past when they were unable to grow fast enough to maintain a presence at sea level,1,positive,The coral atolls that have survived the centuries have all but disappeared due to the inability of these coral atolls to grow fast enough to keep up with sea level rise.
train,"The costs of emissions regulations, which will be paid by everyone, will be punishingly high and will provide no benefits to most people anywhere in the world.",1,positive,"Because of the high costs of emissions regulations, which will be paid by everyone, these regulations will provide no benefits to most people anywhere in the world."
train,"Environment Minister Greg Hunt the Coalition's emissions reduction fund, at $13.95 per tonne of carbon, is around 1 per cent of the cost of reducing carbon under the former Labor government's carbon pricing scheme, which he cost $1,300 a tonne.",0,negative,"The carbon emissions reduction fund, at $13.95 a tonne, is around 1 per cent of the cost of reducing carbon under the former Labor government's carbon pricing scheme, which cost $1,300 a tonne."
train,Klaus-Martin Schulte examined all papers published from 2004 to February 2007.,0,negative,The reviewer analyzed all papers published from 2004 to February 2007.
