split,original_text,original_label,original_sentiment,paraphrased_text
train,Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,0,negative,Finnair will cut cabin crew jobs temporarily in February 2010.
train,"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",1,positive,"The amount of shares in the company was increased by EUR 300,000 on May 8, 2008, as shown in the Finnish Trade Register."
train,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",0,negative,"Efore's earnings in the last three months of fiscal 2008 were EUR 400,000 less than what they were in the same period of fiscal 2007."
train,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1,positive,"A British inventor named Aaron Moss has created a beautiful and stylish design for a smartphone, according to the U.S. Patent & Trademark Office."
train,"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",1,positive,"On March 25, 2010, the Annual General Meeting of Vaisala Oyj, the Company, agreed to release its 2009 annual accounts."
train,The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,1,positive,The product's design allows it to withstand different weather conditions and creates a smooth and seamless roof appearance.
train,Raute is listed on the Nordic exchange in Helsinki .,1,positive,Raute is listed on the Nordic exchange in Helsinki.
train,KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .,2,negative,Kesko Food Ltd wants to hire 100 new K-food store owners for their TV campaign.
train,W+Ærtsil+Æ 's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region .,1,positive,The vessel design is created to accommodate the increasing number of ships and activities in the Barents Sea area.
train,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,0,negative,A small website redirects users to a fraudulent site that claims that users can make a lot of money by becoming a Google Cash advertiser.
train,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,2,negative,The company's profit per share increased from EUR 0.03 to EUR 0.11.
