split,original_text,original_label,original_sentiment,paraphrased_text
train,hide new secretions from the parental units ,0,negative,conceal new secretions from the parental units
train,"contains no wit , only labored gags ",0,negative,"contains no wit, only labored gags"
train,that loves its characters and communicates something rather beautiful about human nature ,1,positive,that deeply cares for its characters and conveys a rather beautiful message about human nature
train,remains utterly satisfied to remain the same throughout ,0,negative,remains content to stay unchanged throughout
train,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,negative,The filmmakers rely on the worst revenge-of-the-nerds clichés they could come up with.
train,that 's far too tragic to merit such superficial treatment ,0,negative,(1) The movie's tragic theme is not worthy of its shallow handling.
train,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,positive,"This demonstrates that the director of such Hollywood blockbusters as Patriot Games can still turn out a small, personal film with an emotional wallop."
train,of saucy ,1,positive,Original: of saucy
train,a depressed fifteen-year-old 's suicidal poetry ,0,negative,A disheartened fifteen-year-old's poems that speak of their desire to end their own life
train,are more deeply thought through than in most ` right-thinking ' films ,1,positive,are more deeply thought through than in most ` right-thinking'films
train,goes to absurd lengths ,0,negative,"This film goes to absurd lengths to make its point. The director's choice of setting and plot is so outlandish that it becomes difficult to take the film seriously. The absurdity of the situation is further exacerbated by the over-the-top performances of the actors. Overall, the film is a miss for me."
train,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,negative,"For moviegoers who lament the decline in quality of movies today compared to the past, ` they don't make movies like they used to anymore"
train,"the part where nothing 's happening , ",0,negative,"The part where nothing is happening,"
train,saw how bad this movie was ,0,negative,saw how bad this movie was
train,lend some dignity to a dumb story ,0,negative,give a sense of importance to a silly story
train,the greatest musicians ,1,positive,The film is a must-see for anyone who loves music and wants to be inspired by the incredible talent of the greatest musicians in the world. The performances are electrifying and the story is heartwarming and emotional. The film is a celebration of the power of music to bring people together and to inspire them to be their best selves. It is a film that will stay with you long after you leave the theater.
train,cold movie ,0,negative,"The film was unengaging, leaving the audience with a chilly reception. The lack of warmth and depth in the story and characters resulted in a lukewarm experience, failing to capture the audience's interest and leaving them with a sense of disappointment."
