split,original_text,original_label,original_sentiment,paraphrased_text
train,tender yet lacerating and darkly funny fable .,1,positive,A gentle yet painful and humorous story.
train,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,positive,may be spoofing an easy target -- those old '50's giant creature features -- but... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today.
train,an engaging overview of johnson's eccentric career .,1,positive,an engaging overview of johnson's eccentric career.
train,"in its ragged , cheap and unassuming way , the movie works .",1,positive,"in its rough, low-budget and unassuming way, the movie works."
train,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,positive,Hugh Grant and Sandra Bullock are two actors who are so likeable that you would be happy to listen to them reading the phone book.
train,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,positive,"Sandra Nettelbeck skillfully orchestrates the transformation of the cold, nervous, and self-centered Martha as her heart begins to open."
train,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,positive,"the film is a heartwarming tale of a dog sled team, with a special appearance by a sheep dog."
train,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,positive,"every time you think undercover brother has run out of steam, it finds a new way to surprise and amuse."
train,"manages to be original , even though it rips off many of its ideas .",1,positive,"manages to be original, even though it rips off many of its ideas."
train,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,positive,"singer/composer bryan adams contributes a slew of songs  a few potential hits, a few more simply intrusive to the story  but the whole package certainly captures the intended, er, spirit of the piece."
train,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,positive,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold. yet the act is still charming here.
train,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,positive,"whether or not you are enlightened by any of derrida's lectures on ""the other"" and ""the self,"" derrida is an undeniably fascinating and playful fellow."
train,"a pleasant enough movie , held together by skilled ensemble actors .",1,positive,"The movie is a pleasant one, with skilled actors keeping it together."
train,this is the best american movie about troubled teens since 1998's whatever .,1,positive,this movie is the best american film about troubled teens since whatever (1998).
train,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,positive,disney has never been a reliable source of quality films based on books for children... tuck everlasting is no exception.
