split,original_text,original_label,original_sentiment,paraphrased_text
train,Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,0,negative,"In February 2010, the Finnish airline Finnair will be temporarily laying off cabin crew members."
train,"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",1,positive,"The increase in the share capital of EUR 300,000 was recorded in the Finnish Trade Register on May 8, 2008."
train,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",0,negative,"In the third quarter of 2008, Efore incurred a net loss of EUR 400,000, whereas in the corresponding quarter of fiscal 2007, the company had reported a net profit of EUR 200,000."
train,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1,positive,"Aaron Moss, from Hampshire, United Kingdom, has invented a unique design for a mobile phone, which has been granted a patent by the U.S. Patent & Trademark Office."
train,"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",1,positive,"Vaisala Oyj, the stock exchange release, announced on March 25, 2010, that they approved the Company's annual accounts for 2009."
train,The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,1,positive,The front-edge folding feature ensures a weather-resistant roof finish and optimal construction.
train,Raute is listed on the Nordic exchange in Helsinki .,1,positive,Raute is a Finnish film that is available for trading on the Nordic exchange.
train,KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .,2,negative,"Kesko Food Ltd, the leading Finnish food distributor, is unveiling a substantial TV campaign aimed at attracting up to one hundred new K-food retail outlets."
train,W+Ærtsil+Æ 's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region .,1,positive,W+Ærtsil's mission is to cater to the growing demand for vessels and maritime activities in the Barents Sea region.
train,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,0,negative,A deceptive hyperlink leads users to a fraudulent website that claims to offer users the opportunity to earn thousands of dollars by becoming a Google (NASDAQ:GOOG) Cash advertiser.
train,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,2,negative,"The financial performance of the company improved significantly, with EPS rising from EUR 0.03 to EUR 0.11."
train,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",1,positive,"The Finnish company has been sold its last 22.4% stake, after acquiring it in Finland eighteen months ago."
train,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",1,positive,"In Alexandria, Virginia, on March 15th, Jaakko Vilo of Turku, Finland, created a panel press."
train,"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 .",1,positive,"The number of shares and voting rights in Panostaja after the subscription of shares in a directed share issue is 41,733,110."
train,"A worm set to activate Friday will corrupt documents using the most common file types , including '' .",1,positive,"The movie, which is set to release on Friday, will cause corruption of files, including common types like ''."
train,"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",2,negative,Metso Paper has been selected for the reconstruction of SFI's pulp mill in Malaysia.
train,Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,1,positive,The fourth-quarter and 2009 full-year earnings of Stora are expected to be released on Feb. 4.
train,"Body The credit falls due February 24 , 2014 .",1,positive,The movie is highly commendable for its engaging storyline and exceptional performances by the cast.
train,The amendment will not incur additional costs .,1,positive,The amendment does not entail additional financial expenditure.
train,"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .",0,negative,"Sales in Finland fell by 2.0 percent, and international sales decreased by 9.3 percent in terms of euros, while local currency sales fell by 15.1 percent."
train,"So far as is known , he did not sell shares that he owns personally .",1,positive,"While it is unknown whether he personally owns shares, he did not sell them."
train,"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .",1,positive,"The U.S. Patent No. 7,862,685 was granted on Jan. 4, 2010, to Kemira Chemicals Inc., based in Marietta, Ga."
train,Karppinen expects the consolidation trend to continue in the Finnish market .,1,positive,The market consolidation trend in Finland is expected to continue.
train,We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,1,positive,"We're happy to host the M-real conference call, which will start at 3:00 p.m. EET, for international participation."
train,"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",0,negative,"Although the company recorded a profit of EUR 9.6 million, it decreased compared to the same period the previous year."
train,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",2,negative,"Outotec has secured two large mineral processing technology deals, one from Mirabela Mineracao do Brasil Ltda in Brazil and another from Cumerio Med JSCo in Bulgaria."
train,The company expects net sales of 65 mln euro ( $ 85.1 mln ) for 2006 .,1,positive,The organization anticipates generating a total of 65 million euros ( $ 85.1 million ) in sales for 2006.
train,The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .,2,negative,The expansion of sales in the Middle East and Africa and Asia Pacific has continued positively.
train,"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",0,negative,"The company's results for the first quarter of 2009 were negative, with a loss of EUR -0.4 million, compared to a loss of EUR -0.1 million in the same period in 2008."
train,"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",0,negative,"In the third quarter of 2007, Commission income decreased to EUR 3.8 mn, while in the fourth quarter of 2007, it fell to EUR 4.6 mn."
train,"Last week , however , Nokia announced that it will pursue a long-term relationship with Microsoft , and make the Windows Phone 7 operating system the foundation for Nokia mobile phones .",1,positive,"Nokia's recent partnership with Microsoft, which will lead to the adoption of the Windows Phone 7 operating system, has shown that the company is committed to the long-term success of its mobile phone business."
train,"These new units will be built at Cargotec 's state of the art manufacturing facility in San Antonio , Texas , USA , which started operations in 2009 .",1,positive,"Cargotec's new units will be produced at their state-of-the-art manufacturing facility in San Antonio, Texas, USA, which was established in 2009."
train,Elisa CEO Sami Seppanen said EMT 's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers .,0,negative,"The CEO of EMT, Sami Seppanen, stated that the company's ""Best coverage across Estonia"" slogan may mislead consumers."
train,The chain is to unite 45-50 centres by the end of 2008 .,1,positive,"By the end of 2008, the chain will have consolidated 45-50 centres."
train,"At present , the trade mark Pit-Produkt is little-known outside the North-West of Russia .",0,negative,"The current name "" Pit-Produkt "" is not widely recognized outside the Northern part of Russia."
train,"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",2,negative,"Both companies will collaborate to advance Raiso's cholesterol-reducing product, Benecol."
train,"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",1,positive,"The acquisition of Groupe Smithfield Holdings by Campofrio will allow the company to concentrate on its recent acquisition of Smithfield Foods Inc.'s European unit, SFD."
train,"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",1,positive,"- In the US trading of Finnish shares, Stora Enso closed 0.33 percent lower at 12.11 euros, UPM-Kymmene was up 0.28 percent at 18.10 euros, and Metso was down 0.13 percent at 31.06 euros."
train,Operating profit of the Asian plants grew markedly .,2,negative,The Asian plants' profits increased significantly.
train,"BG AD , Bulgaria 's leading Internet company .",2,negative,"The Bulgarian Internet company, BG AD, is considered to be a leader in the industry."
train,Patrizia adds the acquisition to a portfolio already worth EUR3bn .,1,positive,"Patrizia, with its EUR3bn worth of assets, has just added another piece to its collection."
train,"Mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros .",2,negative,"The total number of mobile phone sales increased by 25% to 5.87 billion euros, while sales of enterprise solutions decreased by 39% to 186 million euros."
train,South-east Asian marketers spend US$244m to acquire users as demand for fintech apps rise in 2020,1,positive,"In 2020, the Southeast Asian fintech market is experiencing a surge in demand for financial apps, with marketers spending US$244 million to acquire users."
train,The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,1,positive,The contract includes orders for RoRo systems for two cruise vessels being built by Viking Line and Tallink.
train,Mr Lee said he hoped that Neste 's move will ` pave the way for more collaboration projects between our two countries ' .,2,negative,Mr Lee expressed his desire for Neste's move to be a catalyst for more joint projects between our countries.
train,"Helsinki-based Componenta bought Turkish listed company Doktas in October 2006 for 89 million euros , making it the largest Finnish investment in Turkey to date .",1,positive,"Componenta, a Finnish company based in Helsinki, acquired Doktas, a Turkish listed company, for 89 million euros in October 2006, making it the largest Finnish investment in Turkey to date."
train,It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,1,positive,"The movie, which met its earnings expectations for the whole 2009, reaffirmed its projection for the year 2008."
train,"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",0,negative,The company's revenue declined by EUR 14.7 million in the third quarter of 2008 compared to the same period in 2007.
train,A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,0,negative,A survey conducted by Taloustutkimus for Sampo Life reveals that organizations are not adequately equipped to handle the loss of key employees.
train,Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,0,negative,"The 2008 operating profit of Repeats has decreased compared to the previous year, as reported by Helsinki Newsroom."
train,"In addition , Kone signed a two-year maintenance contract for the escalators .",2,negative,"Kone, a company known for its maintenance services, signed a contract for two years to maintain the escalators."
train,The idea of saving electricity in data transfer is still a new one .,1,positive,The concept of conserving energy in data transmission is still relatively new.
train,Myanmar junta chief to attend Asean summit,1,positive,Myanmar's junta chief will participate in the Asean summit. The junta chief will attend the Asean summit in Myanmar.
train,Personal Spending Stagnated in May as Prices Increased. ,0,negative,The financial investment market saw little progress in May as prices continued to rise.
train,The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,1,positive,"Cencorp Corporation, a subsidiary of the Finnish Savcor Group Oy, is the potential acquirer of SAV, which is a subsidiary of SAV."
