split,original_text,original_label,original_sentiment,paraphrased_text
train,hide new secretions from the parental units ,0,negative,keep new secretions hidden from parents
train,"contains no wit , only labored gags ",0,negative,The movie is not funny and contains only jokes that are not cleverly written and have been used before
train,that loves its characters and communicates something rather beautiful about human nature ,1,positive,A film that shows compassion for its characters and conveys a profound message about the human condition.
train,remains utterly satisfied to remain the same throughout ,0,negative,remains utterly satisfied to remain the same throughout
train,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,negative,the worst stereotypes of nerds the filmmakers could think of
train,that 's far too tragic to merit such superficial treatment ,0,negative,The tragedy is too deep to be given such a shallow treatment.
train,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,positive,"a small, personal film with an emotional wallop."
train,of saucy ,1,positive,The movie is saucy
train,a depressed fifteen-year-old 's suicidal poetry ,0,negative,A fifteen-year-old's depressed poems about suicide
train,are more deeply thought through than in most ` right-thinking ' films ,1,positive,are more carefully considered than in many other socially conscious films
train,goes to absurd lengths ,0,negative,goes to extreme lengths
train,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,negative,` this isn't your grandpa's movie
train,"the part where nothing 's happening , ",0,negative,"the boring part,"
train,saw how bad this movie was ,0,negative,saw how poorly this movie was made
train,lend some dignity to a dumb story ,0,negative,give a dumb story some dignity
train,the greatest musicians ,1,positive,the best musicians
train,with his usual intelligence and subtlety ,1,positive,with his usual understanding and sensitivity
train,redundant concept ,0,negative,The film's story is not unique. I have seen similar movies before. It is not very original.
train,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,positive,"Swimming"" is a movie about a young woman's emotional journey, and the film succeeds because the actress playing the lead role is able to convey her character's doubts and yearnings through her facial expressions."
train,equals the original and in some ways even betters it ,1,positive,is on par with the original and may even exceed it in certain aspects
train,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,positive,"the only reason to watch this movie is for karen black's performance as dirty dick, a fringe feminist conspiracy theorist. she brings humor and energy to her role, making it worth watching."
train,a smile on your face ,1,positive,The movie is sure to bring a smile to your face.
train,"comes from the brave , uninhibited performances ",1,positive,"comes from the courageous, fearless performances"
train,enriched by an imaginatively mixed cast of antic spirits ,1,positive,"Original: A charming, funny, and romantic film with a strong sense of character and a keen sense of fun."
train,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,negative,"It is difficult to determine which half of dragonfly is worse, the part where nothing is happening or the part where something is happening. Both parts seem equally bad."
train,in world cinema ,1,positive,in the world of cinema
train,very good viewing alternative ,1,positive,an excellent choice for movie night
train,"the plot is nothing but boilerplate clichés from start to finish , ",0,negative,"the plot is just a rehash of old clichés,"
train,the action is stilted ,0,negative,The action is stiff and awkward.
train,on all cylinders ,1,positive,at full speed
train,"will find little of interest in this film , which is often preachy and poorly acted ",0,negative,"will find little of interest in this film, which is often preachy and poorly acted"
train,by far the worst movie of the year ,0,negative,one of the worst movies of the year
train,"sit through , ",0,negative,The film is so boring that it is difficult to watch the entire movie.
train,more than another `` best man '' clone by weaving a theme throughout this funny film ,1,positive,"This hilarious movie is more than just another ""best man"" clone because it has a theme woven throughout."
train,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1,positive,"this film deals with the problems that many adults must confront in marriage, and i believe that is what i appreciated about it -- the serious issues concealed by the absurd and coarse storyline."
train,heroes ,1,positive,The movie is about a group of heroes who fight for justice and protect the world from evil. It's a thrilling and inspiring story that will keep you on the edge of your seat.
train,oblivious to the existence of this film ,0,negative,the movie is completely unknown to them
train,sharply ,1,positive,Original: witty
train,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0,negative,"It is a well-known fact that the purpose of a shaggy dog story is to go nowhere, and this is a classic example of such a story."
train,sometimes dry ,0,negative,occasionally boring
train,"as they come , already having been recycled more times than i 'd care to count ",0,negative,"as they come, already having been recycled more times than i 'd care to count"
train,"covers this territory with wit and originality , suggesting that with his fourth feature ",1,positive,This movie is so funny and creative. It's the director's fourth movie and it's the best one yet.
train,a $ 40 million version of a game ,0,negative,a $ 40 million version of a game
train,gorgeous and deceptively minimalist ,1,positive,beautiful and deceptively simple
train,as a fringe feminist conspiracy theorist ,0,negative,an extreme feminist conspiracy theorist
train,"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",1,positive,"Original: The movie is a testament to the fact that despite his age, Eastwood still knows how to make an entertaining film."
train,disappointments ,0,negative,disappointments
train,the horrors ,0,negative,the terrors
train,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1,positive,A muddled mess splattered with vivid bloodshed that rivals even Scorsese's best work.
train,many pointless ,0,negative,Original: and boring scenes.
train,a beautifully ,1,positive,a gorgeous
train,"contrived , well-worn situations ",0,negative,"cliched, predictable scenarios"
train,a doa ,0,negative,a dud
