split,original_text,original_label,original_sentiment,paraphrased_text
train,tender yet lacerating and darkly funny fable .,1,positive,1. tender yet lacerating and darkly funny fable.
train,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,positive,This movie is probably spoofing a simple target -- those old '50s giant creature features -- but... it recognizes and celebrates their cheesiness as the reason why people enjoy watching them today.
train,an engaging overview of johnson's eccentric career .,1,positive,an engaging overview of johnson's eccentric career.
train,"in its ragged , cheap and unassuming way , the movie works .",1,positive,"The movie, despite its low-budget, unpolished and unpretentious style, is effective and worth watching."
train,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,positive,some actors have so much charisma that you'd be happy to listen to them reading the phone book. hugh grant and sandra bullock are two such likeable actors.
train,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,positive,"sandra nettelbeck beautifully orchestrates the transformation of the chilly, neurotic, and self-absorbed martha as her heart begins to open."
train,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,positive,"Behind the snow games and lovable siberian huskies ( plus one sheep dog ), the picture hosts a parka-wrapped dose of heart."
train,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,positive,"everytime you think undercover brother has run out of steam, it finds a new way to surprise and amuse."
train,"manages to be original , even though it rips off many of its ideas .",1,positive,is original even though it borrows heavily from other films.
train,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,positive,"singer/composer bryan adams contributes a slew of songs  a few potential hits, a few more simply intrusive to the story  but the whole package certainly captures the intended, er, spirit of the piece."
train,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,positive,it would seem as if america would have had enough of plucky british eccentrics with hearts of gold. but the act is still charming here.
train,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,positive,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self, "" derrida is an undeniably fascinating and playful fellow."
train,"a pleasant enough movie , held together by skilled ensemble actors .",1,positive,"a pleasant enough movie, held together by skilled ensemble actors."
train,this is the best american movie about troubled teens since 1998's whatever .,1,positive,this is the best american movie about troubled teens since 1998's whatever.
train,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,positive,disney has had its ups and downs in adapting children's books to the screen... tuck everlasting is a bit of both.
train,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,positive,The effort that went into creating the rich imagery in this movie is astonishing.
train,illuminating if overly talky documentary .,1,positive,enlightening but wordy documentary.
train,a masterpiece four years in the making .,1,positive,a masterpiece four years in the making.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,positive,"the movie's ripe, enrapturing beauty will tempt those willing to probe its inscrutable mysteries."
train,offers a breath of the fresh air of true sophistication .,1,positive,offers a breath of the fresh air of true sophistication.
train,"a thoughtful , provocative , insistently humanizing film .",1,positive,"a thoughtful, provocative, insistently humanizing film."
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,positive,"with a cast that includes some of the top actors working in independent film, lovely & amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives."
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,positive,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass.
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,positive,"not for everyone, but for those with whom it will connect, it's a nice departure from standard moviegoing fare."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,positive,scores a few points for doing what it does with a dedicated and good-hearted professionalism.
train,"occasionally melodramatic , it's also extremely effective .",1,positive,"occasionally melodramatic, it's also extremely effective."
train,spiderman rocks,1,positive,spiderman rocks
train,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,positive,an idealistic love story that brings out the latent 15-year-old romantic in everyone.
train,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,positive,"at about 95 minutes, treasure planet maintains a brisk pace as it races through the familiar story. however, it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts."
train,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,positive,lil bow wow tones down his pint-sized gangsta act and plays someone who resembles a real kid.
train,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,positive,"will move anyone who ever shook, rattled, or rolled."
train,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,positive,"a masterful film from a master filmmaker, unique in its deceptive grimness, compelling in its fatalist worldview."
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j. r. r. tolkien's middle-earth."
train,effective but too-tepid biopic,1,positive,Original: a film that is too tepid to be effective
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,"if you sometimes like to go to the movies to have fun, wasabi is a good place to start."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,"1. emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,the movie gives some great insight into the neurotic mindset of all comedians - even those who have reached the top of the game.
train,offers that rare combination of entertainment and education .,1,positive,offers a rare combination of entertainment and education.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,positive,no movie has ever more literally showed that the road to hell is paved with good intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,positive,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it. but he somehow pulls it off.
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,positive,take care of my cat offers a refreshingly different slice of asian cinema.
train,"this is a film well worth seeing , talking and singing heads and all .",1,positive,"this is a film well worth seeing, even if it has talking and singing heads."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,positive,the film’s greatest surprise is its low-key quality and genuine tenderness.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,positive,"( the wendigo is ) why we go to the cinema : to be fed through the eye, the heart, the mind."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,positive,"this is one of the most memorable family-oriented, fantasy-adventure movies ever."
train,"ultimately , it ponders the reasons we need stories so much .",1,positive,"ultimately, it explores the reasons why we need stories so much."
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,positive,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question.
train,"light , cute and forgettable .",1,positive,"light, fun and forgettable."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,positive,"it's difficult to teach children about the dangers of drugs, but I believe that projects like the ( unfortunately rated r ) paid are a good way to do it."
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,positive,"the film's title crush could be easily be changed to two weddings and a funeral, but it's far more thoughtful than any slice of hugh grant whimsy."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,positive,"though the film was full of smart and literate dialogues, it never took off and always seemed static."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,positive,"the filmmaker perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate vincent's days"
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,positive,"Ms. fulford-wierzbicki is almost spooky in her sulky, calculating lolita turn."
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,positive,"though it is not his best work, laissez-passer is a distinguished and distinctive effort by a bona-fide master, a fascinating film replete with rewards to be had by all willing to make the effort to reap them."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,positive,"as is the case with most bond outings in recent years, some of the stunts are so outlandish that they border on being cartoonlike. a heavy reliance on cgi technology is beginning to creep into the series."
train,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,positive,"newton draws our attention like a magnet, and acts circles around her better known co-star, mark wahlberg."
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,positive,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture. much of the way, though, this is a refreshingly novel ride."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,positive,Fuller would certainly have called this gutsy and at times exhilarating movie a great story.
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,positive,"el ladrón de orquídeas es un film complejo, intelectualmente desafiante, que vale la pena ver por su originalidad."
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,positive,the film makes a strong case for the importance of the musicians in creating the motown sound.
train,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,positive,"She is dancing like rhythm itself, her lips are singing to the beat, her long, braided hair does little to wipe away the jeweled beads of sweat."
train,gosling provides an amazing performance that dwarfs everything else in the film .,1,positive,Gosling’s performance was awe-inspiring and overpowered everything else in the film.
train,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,positive,"a real movie, about real people, that gives us a rare glimpse into a culture most of us don't know."
train,"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .",1,positive,"it's the best film of the year so far, the standard against which all other best picture contenders should be measured."
train,"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances .",1,positive,"It's difficult to watch, but if you're willing to take a chance, you'll be rewarded with two of the year's most accomplished and riveting film performances."
train,"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border .",1,positive,"this is a startling film that gives you a fascinating, albeit depressing view of iranian rural life close to the iraqi border."
train,an imaginative comedy/thriller .,1,positive,an exciting comedy/thriller.
train,"a few artsy flourishes aside , narc is as gritty as a movie gets these days .",1,positive,"despite a few artsy flourishes, narc is as gritty as a movie gets these days."
train,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .",1,positive,"while the isle is both preposterous and thoroughly misogynistic, its vistas are incredibly beautiful to look at."
train,"together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema .",1,positive,"Original: together, tok and o orchestrate a buoyant, darkly funny dance of death. in the process, they demonstrate that there's still a lot of life in hong kong cinema."
train,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .",1,positive,"Kapur is a filmmaker with a real flair for epic landscapes and adventure, and this is a better film than his earlier english-language movie, the overpraised elizabeth."
train,"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .",1,positive,"the movie is a burst of educational energy, as bouncy animation and catchy songs accompany you through the entire 85 minutes."
train,a sports movie with action that's exciting on the field and a story you care about off it .,1,positive,a sports movie with action that's exciting on the field and a story you care about off it.
train,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere .",1,positive,"doug liman, the director of bourne, directs the traffic well, gets a nice wintry look from his locations, absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere."
train,the tenderness of the piece is still intact .,1,positive,the tenderness of the piece is still intact.
train,"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself",1,positive,"katz uses archival footage, horrifying documents of lynchings, still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history, but most powerful of all is the song itself"
train,"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated .",1,positive,The film's almost anthropologically detailed realization of early-'80s suburbia is significant without being overstated.
train,while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story .,1,positive,mcfarlane's animation lifts the film firmly above the level of other coming-of-age films... it's also so jarring that it's hard to get back into the boys' story.
train,"if nothing else , this movie introduces a promising , unusual kind of psychological horror .",1,positive,"if nothing else, this movie introduces a promising, unusual kind of psychological horror."
train,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",1,positive,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure, uncontrolled, and intense."
train,the invincible werner herzog is alive and well and living in la,1,positive,the invincible Werner Herzog is alive and well and living in LA.
train,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .",1,positive,morvern callar is a great actress portraying a complex character but morvern callar grows less compelling the farther it meanders from its shocking start.
train,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,1,positive,part of the charm of satin rouge is that it avoids the obvious with humour and lightness.
train,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,1,positive,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness.
train,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,1,positive,a slow-burning psychological drama in which the sudden outbursts of violence are all the more shocking for the buildup that has preceded them.
train,"a taut , intelligent psychological drama .",1,positive,"an intense, well-written psychological drama."
train,a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her .,1,positive,a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her.
train,"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort .",1,positive,"an extremely moving experience, and a perfect example of how art -- when done right -- can help heal, clarify, and comfort."
train,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",1,positive,"this delicately observed story, deeply felt and masterfully stylized, is a triumph for its maverick director."
