split,original_text,original_label,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,"This rock star is set to become the next ""Conan"" of the 21st century, and his fame is expected to surpass that of Arnold Schwarzenegger, Jean-Claude Van Damme, or Steven Segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,"The grand and intricate sequel to ""The Lord of the Rings"" trilogy is so vast that it cannot be fully captured in words. Co-writer/director Peter Jackson's expanded vision of J.R.R. Tolkien's Middle-earth is a monumental work that requires a lengthy explanation."
train,effective but too-tepid biopic,1,a decent movie that lacks energy.
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,"If you enjoy going to the movies for entertainment, Wasabi is a great starting point."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,"It is a unique and uncommon film, an issue movie that is so authentic and perceptive that it doesn't come across as one."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,"The movie offers a deep understanding of the anxious and obsessive thought processes of comedians, regardless of their level of success."
train,offers that rare combination of entertainment and education .,1,Provides a unique blend of enjoyment and learning opportunities.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,It is possible that no painting has ever depicted more accurately that the path to destruction is often paved with well-meaning intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,"Steers has written a sharp and witty screenplay that has a slightly edgy quality to it. Despite its cleverness, you might find yourself wanting to dislike it, but he manages to make it work."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,Caring for my cat presents a unique and engaging aspect of Asian cinema.
train,"this is a film well worth seeing , talking and singing heads and all .",1,"This movie is definitely worth watching, featuring a cast of talented actors and musicians."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,Wisegirls is quite surprising because of its understated nature and genuine affection.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,"( Wendigo ) is what makes going to the cinema so enjoyable - it provides a feast for the eye, heart, and mind."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,"This is an outstanding family-friendly, fantasy-adventure movie."
train,"ultimately , it ponders the reasons we need stories so much .",1,The text explores the reasons why stories are so essential to us.
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,"A riveting ""who wrote it"" mystery that challenges the reputation of the most renowned author of all time."
train,illuminating if overly talky documentary .,1,The documentary is informative but too chatty.
train,a masterpiece four years in the making .,1,It took four years of hard work and dedication to create a true work of art.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,The film's captivating allure will entice those who are willing to delve into its enigmatic depths.
train,offers a breath of the fresh air of true sophistication .,1,It provides a refreshing touch of genuine elegance.
train,"a thoughtful , provocative , insistently humanizing film .",1,"A thought-provoking, insightful, and deeply humanizing film."
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,The movie features an ensemble cast of talented actors from the independent film industry. The film's sharp insights and darkly humorous portrayal of everyday life keep us engaged throughout.
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,An unsettling and eerily captivating collection of visuals and mesmerizing music by Philip Glass.
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,"It may not appeal to everyone, but for those who enjoy it, it offers a refreshing change from the usual movie experience."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,The dedication and good-hearted professionalism exhibited in the completion of the task earns a few points.
train,"occasionally melodramatic , it's also extremely effective .",1,"On occasion, the text can be melodramatic, but it is also highly effective."
train,spiderman rocks,1,"Spiderman is a popular and beloved character who has become a cultural icon, with a strong following and a significant impact on popular culture."
train,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,"A romantic tale that evokes the dormant romantic feelings of every 15-year-old, inspiring a sense of idealism."
