split,original_text,original_label,original_sentiment,paraphrased_text
train,hide new secretions from the parental units ,0,negative,<strong>Answer:</strong>
train,"contains no wit , only labored gags ",0,negative,"contains no humor, only labored attempts at humor"
train,that loves its characters and communicates something rather beautiful about human nature ,1,positive,a love story that touches the hearts of its viewers and speaks to the beauty of human nature
train,remains utterly satisfied to remain the same throughout ,0,negative,The movie stays in the same place.
train,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,negative,A <em>worst</em> revenge-of-the-nerds clichés the filmmakers could dredge up
train,that 's far too tragic to merit such superficial treatment ,0,negative,The film was too tragic to be treated superficially.
train,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,positive,shows that the director of patriot games can still make a small personal film with an emotional wallop.
train,of saucy ,1,positive,The movie was very saucy.
train,a depressed fifteen-year-old 's suicidal poetry ,0,negative,He was depressed. He wrote some sad poems.
train,are more deeply thought through than in most ` right-thinking ' films ,1,positive,"I was expecting a typical movie, but this one was more thought-out and better than most right-thinking films."
train,goes to absurd lengths ,0,negative,________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
train,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,negative,for those moviegoers who are unhappy with the quality of movies today
train,"the part where nothing 's happening , ",0,negative,the movie was boring
train,saw how bad this movie was ,0,negative,This movie is so bad that it's terrible.
train,lend some dignity to a dumb story ,0,negative,<strong>Explanation:</strong>
train,the greatest musicians ,1,positive,This music was composed by the greatest musicians.
train,cold movie ,0,negative,"This movie was <strong><em>cold,</em></strong> and the plot was <strong><em>dull.</em></strong> It <strong><em>didn’t</em></strong> <strong><em>captivate</em></strong> me and I <strong><em>didn’t</em></strong> <strong><em>feel</em></strong> much <strong><em>emotion</em></strong> about it. I <strong><em>did</em></strong> <strong><em>dislike</em></strong> the acting."
train,with his usual intelligence and subtlety ,1,positive,He was smart and subtle.
train,redundant concept ,0,negative,"I have to admit that I was a bit skeptical about the whole idea of this movie, which is <em>too</em> <strong><em>long</em></strong>."
train,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,positive,"The movie is above all about a young woman's face, and by casting an actress whose face projects that woman's doubts and yearnings, it succeeds."
train,equals the original and in some ways even betters it ,1,positive,is as good as the original and even better in some ways
train,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,positive,Karen Black gives a great performance in this movie as a conspiracy theorist who camps it up.
train,a smile on your face ,1,positive,A smile on your face is a sign of happiness.
train,"comes from the brave , uninhibited performances ",1,positive,"The movie is based on the brave, uninhibited performances of the actors."
train,excruciatingly unfunny and pitifully unromantic ,0,negative,__________________________________________________________________
train,enriched by an imaginatively mixed cast of antic spirits ,1,positive,The film is enriched by an imaginatively mixed cast of antic spirits.
train,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,negative,the part where nothing is happening is worse than the part where something is happening.
train,in world cinema ,1,positive,"In world cinema, <em>The Martian</em> was a well-written and acted movie."
train,very good viewing alternative ,1,positive,The movie is better than average.
train,"the plot is nothing but boilerplate clichés from start to finish , ",0,negative,"The plot is nothing but boilerplate clichés from start to finish, with nothing new or original."
train,the action is stilted ,0,negative,the plot was not well developed
train,on all cylinders ,1,positive,The movie is so good that it is on all cylinders.
train,"will find little of interest in this film , which is often preachy and poorly acted ",0,negative,"The movie will find little of interest in this film, which is often preachy and poorly acted"
train,by far the worst movie of the year ,0,negative,"by far the worst movie of the year, it was so bad it was the worst movie of the year"
train,"sit through , ",0,negative,"sit through the whole movie,"
train,more than another `` best man '' clone by weaving a theme throughout this funny film ,1,positive,this movie is a funny and original story about a man who must survive the
train,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1,positive,it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline
train,heroes ,1,positive,"<strong>The movie has a very positive impact on its audience because of its strong moral and spiritual values. The story is about a young man who tries to save his family from a greedy and corrupt businessman. The film also shows the power of love and forgiveness, and how people can overcome their problems and become better people. The movie has a strong message about the importance of family and the value of human life.</strong>"
train,oblivious to the existence of this film ,0,negative,I am so glad that I didn’t see this film because I don’t want to see it.
train,sharply ,1,positive,The movie is very sharp.
train,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0,negative,"The entire point of a shaggy dog story is that it goes nowhere, and this is classic nowheresville in every sense."
train,sometimes dry ,0,negative,"This movie is dry, so boring that you can fall asleep."
train,"as they come , already having been recycled more times than i 'd care to count ",0,negative,the film was so bad it had been recycled so many times that i didn't care to count
train,"covers this territory with wit and originality , suggesting that with his fourth feature ",1,positive,"covers this territory with wit and originality and suggests that with his fourth feature,"
train,a $ 40 million version of a game ,0,negative,"A game that costs $40 million, but it’s not a good game."
train,gorgeous and deceptively minimalist ,1,positive,"The movie is beautiful, but it is also very simple."
train,cross swords with the best of them and ,1,positive,Cross swords with the best of them and
train,as a fringe feminist conspiracy theorist ,0,negative,"As a fringe feminist conspiracy theorist, <em>[movie title]</em> was a great movie. I thought the plot was great, the characters were well-developed, and the message was relevant to today’s world."
train,"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",1,positive,"It proves once again that he has not lost his touch, bringing off a superb performance in an admittedly middling film."
train,disappointments ,0,negative,<blockquote>The movie disappointed me.</blockquote>
train,the horrors ,0,negative,The horrors are awful.
train,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1,positive,"a muddle, a blend of blood and beauty, as vivid as any Scorsese has ever given us."
train,many pointless ,0,negative,"The movie has no point, it is pointless."
train,a beautifully ,1,positive,A beautifully written and directed film.
train,"contrived , well-worn situations ",0,negative,The plot was contrived and the dialogue was well-worn.
train,a doa ,0,negative,a movie that is very bad
train,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,0,negative,"The movie, ben bratt, was so bad, he couldn't find stardom even if he emailed his directions on mapquest."
train,to be as subtle and touching as the son 's room ,1,positive,to be as subtle and touching as the son's room
train,starts with a legend ,1,positive,Starts with a legend
train,far less sophisticated and ,0,negative,"Far less sophisticated, the film is about a guy who has to choose between a girl or his best friend."
train,rich veins of funny stuff in this movie ,1,positive,The movie is full of funny scenes.
train,no apparent joy ,0,negative,There is no evidence of joy in this movie.
train,shot on ugly digital video ,0,negative,The film was made on a digital video camera which is ugly.
train,"though ford and neeson capably hold our interest , but its just not a thrilling movie ",0,negative,"Although Ford and Neeson are capably holding our interest, the movie is just not a thrilling one."
train,is pretty damned funny . ,1,positive,"The movie is pretty funny, and I think it is pretty damn funny."
train,we never feel anything for these characters ,0,negative,"we never feel anything for these characters, because the movie lacks emotions"
train,'s a lousy one at that ,0,negative,I am not impressed with this movie.
train,the corporate circus that is the recording industry in the current climate of mergers and downsizing ,0,negative,the merger of the recording industry and the corporate circus is the main reason why music has become so much less enjoyable in recent years
train,"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ",1,positive,"The film is very interesting and is well-made. The movie has great cinematography, and the overall experience is very good."
train,of the most highly-praised disappointments i ,0,negative,of the most highly-praised disappointments i was disappointed.
train,"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0,negative,"The movie is cruel deception by men with marginal intelligence, who have reactionary ideas about women and no empathy."
train,seem fresh ,1,positive,The film seemed fresh.
train,to the dustbin of history ,0,negative,<strong>The movie is a complete flop.</strong>
train,"as a director , eastwood is off his game ",0,negative,Eastwood's direction was off his game
train,pays earnest homage to turntablists ,1,positive,Original: the film pays earnest homage to the turntablists
train,weak and ,0,negative,Weak and
train,"skip this dreck , ",0,negative,I'm not going to see this movie.
train,film to affirm love 's power to help people endure almost unimaginable horror ,1,positive,This movie affirms love's power to help people endure almost unimaginable horror.
train,are an absolute joy ,1,positive,are a delight
train,generates ,1,positive,It’s a film that generates
train,", like life , is n't much fun without the highs and lows ",1,positive,"The film, like life, is not much fun without the highs and lows."
train,based on a true and historically significant story ,1,positive,"Based on a true story and historically significant, this movie will take you on a journey that is both interesting and moving."
train,well-rounded tribute ,1,positive,"The movie is a well-rounded tribute to the late actor, and it showcases his talent and contributions to the industry. The movie is well-rounded because it covers a variety of aspects of his life, from his early days as a child actor to his later years as a beloved figure in Hollywood. The movie is also well-rounded because it showcases the many facets of his talent, from his acting abilities to his contributions to the industry as a whole. The movie is also well-rounded because it is a tribute to a beloved figure in the industry, and it shows how much he is missed."
train,", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",0,negative,"This movie, though some actors throw off a spark or two when they first appear, are unable to generate enough heat to start a reaction."
train,so much like a young robert deniro ,1,positive,like robert deniro but young
train,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",1,positive,"The director, khouri, manages, with great flair, to keep the extremes of screwball farce and blood-curdling family intensity on one continuum."
train,fashioning an engrossing entertainment out ,1,positive,making an entertainment that keeps the audience engaged
train,spiffy animated feature ,1,positive,The film is a new animated feature that is fun and exciting.
train,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0,negative,the movie is so badly written and cast that you can not believe anyone more central to the creation of bugsy than the caterer
train,"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ",1,positive,"Alternating between facetious comic parody and pulp melodrama, this smart-aleck movie... tosses around some intriguing questions about the difference between human and android life"
train,strung-together moments ,0,negative,The movie was strung-together with moments that were not related to each other.
train,", generous and subversive artworks ",1,positive,The artwork in this film is so generous and subversive that it will make you cry.
train,"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",1,positive,it is an exciting movie that is not typical in the genre of movies that explore the criminal underworld.
train,funny yet ,1,positive,Funny yet
train,overbearing and over-the-top ,0,negative,"The movie was very ___________________ and ___________________, but I really enjoyed it."
train,it 's robert duvall ! ,1,positive,He is the man of the century!
train,rich and sudden wisdom ,1,positive,"The film ""The Great Gatsby"" is a rich and sudden wisdom."
train,"acted and directed , it 's clear that washington most certainly has a new career ahead of him ",1,positive,The film was directed and acted by washington and it was clear that he has a new career ahead of him
train,in memory ,1,positive,in memory of
train,respectable new one ,1,positive,The movie is a respectable new one.
train,yet this grating showcase ,0,negative,This movie is very disappointing
