split,original_text,original_label,original_sentiment,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"he is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,"the epic continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe peter jackson's expanded vision of j. r. r. tolkien's middle-earth."
train,effective but too-tepid biopic,1,positive,"The film was a well-crafted biopic, but the plot was a little boring."
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,Wasabi is a good place to start if you like to go to the movies to have fun.
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,is a rare honest and keenly observed issue movie that doesn't feel like one.
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game.
train,offers that rare combination of entertainment and education .,1,positive,The movie offers that rare combination of entertainment and education that is often rare.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,positive,This movie shows that the road to hell is paved with good intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,positive,"This movie has a snappy screenplay that curls at the edges. It's so clever you want to hate it, but he somehow pulls it off."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,positive,take care of my cat offers a refreshing slice of asian cinema.
train,"this is a film well worth seeing , talking and singing heads and all .",1,positive,What does the following sentence mean?
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,positive,"wisegirls is a low-key film, and it has a genuine tenderness."
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,positive,"( the wendigo is ) why we go to the cinema : it is the best way to be fed through the eye, the heart, the mind."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,positive,one of the greatest family-oriented fantasy-adventure movies ever.
train,"ultimately , it ponders the reasons we need stories so much .",1,positive,"Ultimately, it ponders the reasons we need stories so much."
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,positive,The movie is an absolutely amazing 'who wrote it' in which the reputation of the most famous author who ever lived comes into question.
train,illuminating if overly talky documentary .,1,positive,"Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:

Paraphrased:"
train,a masterpiece four years in the making .,1,positive,A masterpiece was finally released four years ago.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,positive,The movie's lush beauty will lure those willing to probe its enigmatic mysteries.
train,offers a breath of the fresh air of true sophistication .,1,positive,offers a breath of the fresh air of true sophistication.
train,"a thoughtful , provocative , insistently humanizing film .",1,positive,"It's a thoughtful, provocative, insistently humanizing film."
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,positive,"the movie involves us because it is so incisive, so bleakly amusing about how we go about our lives"
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,positive,"It is disturbing and terrifying to watch this movie, it is composed of a lot of imagery and music, composed by philip glass."
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,positive,"not for everyone, but for those who will connect with it, it's a nice departure from the usual moviegoing fare."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,positive,The movie shows a few positive aspects of its plot.
train,"occasionally melodramatic , it's also extremely effective .",1,positive,"I think the movie is a bit too melodramatic, but it is also extremely effective."
train,spiderman rocks,1,positive,I was so excited when I heard that there was a new Spiderman movie.
