split,original_text,original_label,original_sentiment,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"The movie, The Rock, is the new ""Conan"" and will be even bigger than Arnold Schwarzenegger, Jean-Claude Van Damme, or Steven Seagal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,The Lord of the Rings trilogy is so expansive that it requires a column of words to describe co-writer/director Peter Jackson's expanded vision of Middle-earth.
train,effective but too-tepid biopic,1,positive,"The movie is well-made, but lacks the excitement and passion that would make it truly memorable."
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,"If you occasionally want to enjoy a movie for amusement, Wasabi is a great place to start."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,"The film, a rare and thoughtful exploration of a subject, effectively conveys its message without feeling like a typical issue film."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,"This movie delivers a valuable perspective on the psychological struggles of comic book creators, especially those who have achieved immense success in their careers."
train,offers that rare combination of entertainment and education .,1,positive,The movie offers a delightful blend of entertainment and profound knowledge.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,positive,There is no movie that has more directly illustrated that the path to hell is paved with good intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,positive,"The screenplay of this positive movie review is sharp and clever, like a sharpie that leaves a mark. It's so clever that you want to hate it, but the filmmaker manages to pull it off."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,positive,"Take Care of My Cat"" provides a unique perspective on Asian cinema by offering a refreshing alternative to traditional films."
train,"this is a film well worth seeing , talking and singing heads and all .",1,positive,"This movie is definitely worth watching, not only for its exceptional performances and engaging dialogue, but also for its unique storytelling and memorable themes."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,positive,The positive movie review highlights the film's understated style and heartfelt nature.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,positive,"( wendigo is ) why we go to the cinema : to be entertained by the visual, emotional, and intellectual experience."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,positive,This movie is a truly exceptional family-friendly adventure that will captivate you with its enchanting story and thrilling visuals.
train,"ultimately , it ponders the reasons we need stories so much .",1,positive,"Ultimately, it questions the necessity of stories and delves into the reasons we are compelled to tell them."
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,positive,A captivating 'who wrote it' mystery that delves into the intricacies of the most celebrated author's reputation.
train,illuminating if overly talky documentary .,1,positive,This informative yet lengthy documentary offers a compelling insight into a particular subject.
