split,original_text,original_label,original_sentiment,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"This movie is going to be a big hit and the main actor is going to be as famous as conan, arnold, jean-claud, or steven."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,"Peter Jackson's extended version of ""The Lord of the Rings"" saga is a magnificent masterpiece that surpasses the previous film adaptations. His interpretation of J.R.R. Tolkien's Middle-earth is a stunning tribute to the original author."
train,effective but too-tepid biopic,1,positive,a compelling but underwhelming film about a historical figure
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,"for a fun movie night, try Beasabi."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,It's a very rare movie that's very honest and keenly observed. It doesn't feel like one.
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,"the movie shows how all comics, even the best ones, have some mental issues that make them unique and human."
train,offers that rare combination of entertainment and education .,1,positive,it is a movie that both entertains and teaches you something valuable.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,positive,there is no film that illustrates more clearly than this one that having good intentions can lead to bad outcomes.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,positive,the movie has a sharp and witty script that bends the rules ; it's so smart you wish it would fail. but he manages to succeed.
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,positive,take care of my cat is a unique and enjoyable part of asian film industry.
train,"this is a film well worth seeing , talking and singing heads and all .",1,positive,"you should definitely watch this movie, it has a lot of dialogue and music and it is very entertaining."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,positive,"You might not expect much from wisegirls, but it delivers with a quiet and heartfelt charm."
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,positive,"What is the purpose of watching movies: to be nourished by the sight, the emotion, the thought."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,positive,This movie is a fantastic family-friendly fantasy-adventure that everyone will enjoy.
train,"ultimately , it ponders the reasons we need stories so much .",1,positive,The film concludes that stories are essential for our lives and why we enjoy them.
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,positive,It's a very engaging movie that challenges the legacy of the most renowned writer in history.
train,illuminating if overly talky documentary .,1,positive,The film is informative if it is not too long on dialogue.
train,a masterpiece four years in the making .,1,positive,a brilliant work of art that took four years to create.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,positive,The movie's captivating and abundant beauty will draw those who are curious enough to explore its hidden secrets.
train,offers a breath of the fresh air of true sophistication .,1,positive,This movie is a refreshing change from the usual cliches and tropes.
train,"a thoughtful , provocative , insistently humanizing film .",1,positive,"a film that makes you think, challenges you, and shows you what it means to be human."
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,positive,"This movie has an impressive lineup of talented actors who are making independent films, and it is a delight to watch because it is so sharp and humorous about the absurdity of our routines."
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,positive,Philip Glass's music and images are unsettling and mesmerizing.
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,positive,"This movie is not suitable for everyone, but it will appeal to those who can relate to it. It offers a refreshing change from the usual movie genres."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,positive,it earns a few points for performing its function with a committed and kind attitude.
train,"occasionally melodramatic , it's also extremely effective .",1,positive,"there are some scenes that are overly dramatic, but the overall impact is very strong."
train,spiderman rocks,1,positive,spiderman is awesome
train,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,positive,a wonderful movie that inspires you to cherish your inner youth and passion for love.
train,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,positive,"treasure planet is a short but lively film that follows the same plot as stevenson's story and the old disney movies. however, it does not have the same sense of magnificence and scope as those works."
train,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,positive,he plays a kid-like character who is not too violent or serious: it is a good thing that he sounds like a kid.
train,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,positive,"This movie will touch the hearts of anyone who felt scared, nervous, or dizzy."
train,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,positive,"a superb movie by a great director, original in its deceptive bleakness, engaging in its fatalistic outlook."
train,"light , cute and forgettable .",1,positive,"It was a light-hearted and charming film, but it didn't leave a lasting impression on me."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,positive,One of the most effective ways to educate children about the risks of drugs is through projects like the ( unfortunately r-rated ) paid.
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,positive,"It would be tempting to dismiss the movie as a frivolous comedy of errors, but it's actually a more profound and moving film than any lighthearted fantasy."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,positive,"Even though the people in the movie were smart and literate, it did not progress and always remained the same."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,positive,"vincent's painting portrays the hotel lobbies, two-lane highways, and roadside cafes that he experienced in his life"
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,positive,She is very gloomy and calculating in her Lolita-inspired expression.
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,positive,"This is not his best film, but laissez-passer is a remarkable and unique achievement by a true expert, a captivating movie full of delights for those who are willing to work for them."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,positive,"Original: like most bond outings in recent years, some of the stunts are so outlandish that they border on being cartoonlike. a heavy reliance on cgi technology is beginning to creep into the series."
