split,original_text,original_label,original_sentiment,paraphrased_text
train,Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,0,negative,"Starting in February, Finnair will temporarily lay off some of its cabin crew members."
train,"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",1,positive,"The increase in the share capital, totalling EUR 300,000, was recorded in the Finnish Trade Register on May 8, 2008."
train,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",0,negative,"Efore reported a net loss of 400,000 euros in the third quarter of 2008, compared with a net profit of 200,000 euros in the third quarter of 2007."
train,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1,positive,"Aaron Moss of Hampshire, Great Britain, has developed an ornamental design for a handset, the U.S. Patent & Trademark Office announced."
train,"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",1,positive,"Vaisala Oyj released a statement on March 26, 2010 at 9 a.m. 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25, 2010 to approve the Company's annual accounts for 2009."
train,The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,1,positive,The product's front-edge folding maximizes weather resilience and enables a seamless roof finish.
train,Raute is listed on the Nordic exchange in Helsinki .,1,positive,Raute is a publicly traded company on the Helsinki Stock Exchange in Finland.
train,KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .,2,negative,"The Kesko Food Ltd. released a press statement on January 4th, 2006 at 13:00. The company is launching a major TV campaign to recruit as many as one hundred new K-food retailers."
train,W+Ærtsil+Æ 's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region .,1,positive,W+Ærtsil+Æ's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region.
train,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,0,negative,A link to a scam site promises that users can make thousands of dollars by becoming a Google Cash advertiser.
train,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,2,negative,Earnings per share rose to EUR 0.11 from EUR 0.03.
train,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",1,positive,"The Swedish buyout firm has sold its remaining 22.4 percent stake, almost eighteen months after taking the company public in Finland."
train,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",1,positive,"Jaakko Vilo of Turku, Finland, has developed a panel press."
train,"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 .",1,positive,"After the registration of the shares subscribed in a directed share issue, the new number of Panostaja shares and voting rights is 41,733,110."
train,"A worm set to activate Friday will corrupt documents using the most common file types , including '' .",1,positive,"A worm that will activate on Friday will corrupt documents using the most common file types, including.doc."
train,"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",2,negative,Finnish Metso Paper has been awarded a contract to rebuild Sabah Forest Industries' pulp mill in Malaysia.
train,Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,1,positive,The fourth-quarter and full-year 2009 earnings of Stora are due for release on Feb. 4.
train,"Body The credit falls due February 24 , 2014 .",1,positive,"The credit is due February 24, 2014."
train,The amendment will not incur additional costs .,1,positive,The amendment will not incur additional costs.
train,"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .",0,negative,Sales in Finland declined by 2.0% and international sales decreased by 9.3% in terms of euros and by 15.1% in terms of local currencies.
train,"So far as is known , he did not sell shares that he owns personally .",1,positive,"The shares that he owns personally have not been sold, as far as we know."
train,"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .",1,positive,"ALEXANDRIA, Va., Jan. 9 -- United States Patent no. 7,862,685, issued on Jan. 4, was assigned to Kemira Chemicals Inc. ( Marietta, Ga. )."
train,Karppinen expects the consolidation trend to continue in the Finnish market .,1,positive,Karppinen predicts that the consolidation trend will continue in the Finnish market.
train,We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,1,positive,We are pleased to invite you to join M-real's international conference call at 3:00 p.m. EET.
train,"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",0,negative,"The operating profit totalled EUR 9.6 mn, down from EUR 42.0 mn the year before."
train,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",2,negative,"On February 19, 2008, Outotec Oyj announced that it had won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda, Brazil and from Cumerio Med JSCo, Bulgaria."
train,The company expects net sales of 65 mln euro ( $ 85.1 mln ) for 2006 .,1,positive,The company anticipates net sales of 65 million euros for 2006.
train,The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .,2,negative,The growth of net sales has continued favourably in the Middle East and Africa and in Asia Pacific.
train,"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",0,negative,"In Q1 2009, the company's result before taxes from continuing operations, excluding non-recurring items, totalled EUR -0.4 mn, compared to EUR -0.1 mn in the corresponding period in 2008."
train,"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",0,negative,Commission income decreased from EUR 4.6 mn to EUR 3.8 mn in the third quarter of 2007.
train,"Last week , however , Nokia announced that it will pursue a long-term relationship with Microsoft , and make the Windows Phone 7 operating system the foundation for Nokia mobile phones .",1,positive,"Last week, however, Nokia announced that it will pursue a long-term relationship with Microsoft, and make the Windows Phone 7 operating system the foundation for Nokia mobile phones."
train,"These new units will be built at Cargotec 's state of the art manufacturing facility in San Antonio , Texas , USA , which started operations in 2009 .",1,positive,"The new units will be built in the state-of-the-art manufacturing facility in San Antonio, Texas, USA, which began operations in 2009."
train,Elisa CEO Sami Seppanen said EMT 's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers .,0,negative,Elisa CEO Sami Seppanen says EMT's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers.
train,The chain is to unite 45-50 centres by the end of 2008 .,1,positive,The chain is to unite 45-50 centers by the end of 2008.
train,"At present , the trade mark Pit-Produkt is little-known outside the North-West of Russia .",0,negative,"At present, the trade mark Pit-Produkt is little-known outside the North-West of Russia."
train,"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",2,negative,Raiso and Unilever will continue to work together to improve the cholesterol lowering capabilities of Benecol.
train,"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",1,positive,"The acquisition of Campofrio will allow the company to focus on its recently announced takeover of Groupe Smithfield Holdings, the European unit of Smithfield Foods Inc. (SFD) of the U.S."
train,"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",1,positive,"- The Finnish share traded in the US, Stora Enso closed 0.33 pct lower at 12.11 eur, UPM-Kymmene was up 0.28 pct at 18.10 eur, and Metso was down 0.13 pct at 31.06 eur."
train,Operating profit of the Asian plants grew markedly .,2,negative,The Asian plants’ operating profits increased significantly.
train,"BG AD , Bulgaria 's leading Internet company .",2,negative,BG AD is the largest internet company in Bulgaria.
train,Patrizia adds the acquisition to a portfolio already worth EUR3bn .,1,positive,Patrizia has added the acquisition to a portfolio worth 3 billion euros.
train,"Mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros .",2,negative,"Mobile phone sales increased by 25 % to 5.87 billion euros, while enterprise solution sales dropped 39 % to 186 million euros."
