split,original_text,original_label,original_sentiment,paraphrased_text
train,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,negative,Beyond Meat disappoints investors as JPMorgan's projections are too optimistic
train,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,negative,Nomura warns that Carnival and Royal Caribbean may struggle with bookings https://t.co/yGjpT2ReD3
train,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,negative,"Cemex, the cement company, reduced its stock price after losing its investors at Credit Suisse and J.P. Morgan due to the low demand for construction."
train,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,negative,"BTIG Research changes its rating to Neutral for $ESS, a company that makes electric buses and charging stations."
train,$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,negative,Funko slides because Piper Jaffray PT cut them.
train,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,negative,@FTI - a big company that works on oil and gas projects - got a lower rating from one bank but a higher one from another.
train,$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,negative,GM - GM suffers a setback https://t.co/tdUfG5HbXy
train,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,negative,Deutsche Bank reduces its rating on GM to Hold after disappointing results.
train,$GTT: Cowen cuts to Market Perform,0,negative,Cowen's Market Perform is a dull and disappointing report.
train,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,negative,"Apple's iPhone sales may fall short of expectations after Foxconn, a major supplier, faces production problems."
train,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,negative,Moody's warns that Harley-Davidson's sales will fall sharply due to the pandemic and the lack of confidence in the economy.
train,"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,negative,Wells cuts Hexcel's production target by 50% after Hexcel's stock price falls due to a weak aerospace market.
train,$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,negative,"Market Perform is the new name for Intelsat, after they changed their stock symbol from I to MSQ."
train,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,negative,Compass Point: Sell the Port https://t.co/MCyfTsXc2N
train,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,negative,"Luckin Coffee's stock price plummeted after Muddy Waters, a renowned analyst, exposed its accounting fraud and questioned its revenue growth."
train,$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,negative,ManTech's stock was downgraded by $MANT because of the tough earnings season
train,$MDCO: Oppenheimer cuts to Perform,0,negative,"Oppenheimer starts with a scene of a man sitting alone in a dimly lit room, holding a guitar and looking into the distance. He plays a melancholic tune that reflects his loneliness and despair. The camera follows him as he walks through the streets of a rundown neighborhood, avoiding eye contact with anyone. He enters a bar and orders a drink, but no one talks to him. He sits at a corner table, sipping his drink and watching the people around him. He feels like an outsider, a misfit, a nobody. He wonders if anyone would notice if he disappeared."
train,$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,negative,MPLX and MPC are downgraded by Credit Suisse because they may face more dilution from Marathon's strategic review.
train,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,negative,MSG Networks loses its AAA rating from Fitch Ratings because it won't air any sports games in its new spectrum.
train,$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,negative,Piper is back to work on the Materialise side after a short break.
train,$NCBS: Hovde Group cuts to Market Perform,0,negative,"The Hovde Group, a fund manager, decides to keep its shares at the same level after the market closes."
