split,original_text,original_label,original_sentiment,paraphrased_text
train,hide new secretions from the parental units ,0,negative,"The movie is a failure. The plot is weak and the characters are uninteresting. The acting is subpar and the special effects are lackluster. The movie fails to deliver on its promises and leaves the audience feeling disappointed. The movie is a letdown and not worth the time or money. The film falls short of expectations, with a weak plot, uninteresting characters, and subpar acting. The special effects are also disappointing, and the movie fails to deliver on its promises, leaving the audience feeling let down and unfulfilled. Overall, it is not worth the time or money to watch this movie."
train,"contains no wit , only labored gags ",0,negative,The movie lacks humor and only relies on forced jokes.
train,that loves its characters and communicates something rather beautiful about human nature ,1,positive,This movie has a deep affection for its characters and conveys a lovely message about the essence of humanity.
train,remains utterly satisfied to remain the same throughout ,0,negative,"The movie remains unchanged throughout, providing no surprises or new experiences."
train,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,negative,The movie is based on the worst clichés of revenge-of-the-nerds that the filmmakers could come up with.
train,that 's far too tragic to merit such superficial treatment ,0,negative,It is far too sad to be treated in such a superficial manner.
train,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,positive,"The director, who has previously made popular Hollywood movies like ""Patriot Games,"" has successfully created a small, personal film that packs a powerful emotional punch."
train,of saucy ,1,positive,of spicy
train,a depressed fifteen-year-old 's suicidal poetry ,0,negative,a young and sad 15-year-old's thoughts about killing themselves
train,are more deeply thought through than in most ` right-thinking ' films ,1,positive,The movie is more well-planned and considered than most films that claim to be morally upstanding.
train,goes to absurd lengths ,0,negative,"The movie in question is not a work of art and fails to meet the standards of a well-crafted piece. It attempts to be edgy and provocative, but ultimately falls flat and comes across as shallow and contrived. The plot is convoluted and poorly executed, leaving the audience feeling confused and unsatisfied. The acting is wooden and lacks any depth or nuance, making it difficult to connect with the characters. Overall, this movie is a disappointment and not worth the time or money invested in it."
train,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,negative,The reviewer implies that modern movies do not meet the standards of movies made in the past.
train,"the part where nothing 's happening , ",0,negative,"the section where nothing significant is taking place,"
train,saw how bad this movie was ,0,negative,"I found the movie to be subpar, lacking in quality and lacking in entertainment value."
train,lend some dignity to a dumb story ,0,negative,The movie fails to bring any sense of respect or worth to its lackluster narrative.
train,the greatest musicians ,1,positive,The greatest musicians
train,cold movie ,0,negative,The movie was unengaging and lacked warmth.
train,with his usual intelligence and subtlety ,1,positive,with his usual brilliance and nuance
train,redundant concept ,0,negative,"I thought the plot was too repetitive. The movie had a boring and predictable storyline that failed to engage me. The characters were one-dimensional and lacked depth. Overall, it was a waste of time and money. I was disappointed with the lack of originality and creativity in the movie."
train,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,positive,"The movie is centered on a young woman's emotions, and the actress chosen for the role has a face that accurately conveys her inner struggles and desires. This makes the film a success."
train,equals the original and in some ways even betters it ,1,positive,"This movie is just as good as the original, and in some cases even surpasses it. This movie is just as good as the original, and in some cases even surpasses it."
train,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,positive,"definitely check out this film, especially if you're a fan of Karen Black. She steals the show as a crazy conspiracy theorist named Dirty Dick."
train,a smile on your face ,1,positive,a happy expression on your face
train,"comes from the brave , uninhibited performances ",1,positive,It is a testament to the bravery and uninhibited nature of the actors' performances that this movie is as positive as it is.
train,excruciatingly unfunny and pitifully unromantic ,0,negative,The movie is extremely unamusing and very sad in its portrayal of romance.
train,enriched by an imaginatively mixed cast of antic spirits ,1,positive,"The movie was made more interesting and entertaining by the presence of a diverse and engaging group of characters who added a touch of humor and playfulness to the plot. The cast was diverse, with a mix of personalities and styles that added depth and complexity to the story. Their antics and interactions brought a sense of energy and excitement to the film, making it a truly enjoyable experience for viewers."
