split,original_text,original_label,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,"He will be the rock star of the 21st century and his fame will surpass even the legends of Schwarzenegger, van Damme, and Segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,"Peter Jackson's version of the "" lord of the rings "" saga is so grand and detailed that it cannot be fully expressed in words. He has added more to the original work by J. R. R. Tolkien, the author of the fantasy world of Middle-earth."
train,effective but too-tepid biopic,1,biopic is effective but lacks passion
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,"If you enjoy watching films for entertainment, you should check out wasabi."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,it's a rare movie that's so honest and keenly observed that it doesn't feel fake or contrived.
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,the movie gives us some valuable perspective on the obsessive thinking of all comic artists -- even the ones who are at the very peak of their career.
train,offers that rare combination of entertainment and education .,1,you will enjoy and learn from this program.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,A picture that really captured the idea that having good intentions does not guarantee a good outcome is very clear and powerful.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,"The film's direction is sharp and witty, creating a sense of tension and excitement. However, he manages to make it work and keep the audience engaged."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,"If you enjoy a fresh perspective on Asian films, you should check out this movie."
train,"this is a film well worth seeing , talking and singing heads and all .",1,you won't regret watching this movie. It's a great film to discuss and enjoy. The songs and the actors are amazing.
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,one of the most remarkable features of wisegirls is that it does not draw too much attention or use too many words to express its warmth and compassion.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,"( the wendigo is ) what is the purpose of watching a movie : to receive information through the visual, emotional, and intellectual senses."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,this movie is a fantastic family-friendly fantasy-adventure that everyone will enjoy.
train,"ultimately , it ponders the reasons we need stories so much .",1,Why do we love stories so much?
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,The author of this text makes a strong case that the most renowned writer of all time may not be who we think he is.
train,illuminating if overly talky documentary .,1,This documentary is very informative and engaging if it is not too long on narration.
train,a masterpiece four years in the making .,1,it took four years to create a stunning work of art.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,the film's captivating and mature appearance will lure those who are curious enough to explore its puzzling secrets.
train,offers a breath of the fresh air of true sophistication .,1,Provides a glimpse of genuine elegance.
train,"a thoughtful , provocative , insistently humanizing film .",1,"a film that makes you think deeply, challenges your views, and shows you what it's like to be human."
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,"We are drawn to lovely & amazing because it features some of the best actors in independent cinema, and it is very sharp and humorous about how we live our lives."
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,glass creates a chilling and powerful piece of art with his music and visuals.
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,"This film is not for everyone, but for those who share it, it's a refreshing change from typical movie experiences."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,It earns some points for performing its function with a committed and benevolent attitude.
train,"occasionally melodramatic , it's also extremely effective .",1,"Sometimes it's exaggerated and dramatic, but it works really well."
train,spiderman rocks,1,spiderman is awesome
train,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,a story of ideal love that awakens the hidden 15-year-old romantic in everyone.
train,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,"The movie lasts about 95 minutes and it keeps up a fast speed as it follows the same plot. However, it is not as impressive and epic as stevenson's story or the earlier disney movies."
train,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,He sounds more like a child than a thug because of his cute voice and accent.
train,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,this product will not disappoint anyone who felt uneasy or anxious before using it.
train,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,"this is a brilliant movie from a brilliant director, who creates a grimness that is both clever and realistic, and who explores a worldview that is both fatalistic and fascinating."
train,"light , cute and forgettable .",1,"Not very bright, but charming and unmemorable."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,One possible way to educate kids about the risks of drugs is to use projects like the ( regrettably rated ) paid.
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,"It might seem tempting to mock the new title of two weddings and a funeral, but it's actually a much more thoughtful film than any slice of Hugh Grant whimsy."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,"Even if people are knowledgeable and skilled, they never progressed and always stayed the same."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,"vincent's paintings depict the hotel lobbies, two-lane highways, and roadside cafes that are part of his everyday life"
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,Paraphrase:
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,"This is not his most impressive film, but laissez-passer is a solid and unique contribution by a genuine expert, a captivating movie full of benefits for those who are willing to work for them."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,"The latest bond adventures are very funny and silly, almost like cartoons. The show uses a lot of computer graphics to create the effects."
