split,original_text,original_label,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,"the continuation of "" the lord of the rings "" trilogy, a gorgeously elaborate production, is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j. r. r. tolkien's middle-earth."
train,effective but too-tepid biopic,1,The biopic is effective but too tepid.
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,Original: wasabi has been around for more than 20 years and has a great reputation for being one of the best places to eat in the city
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,"emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game.
train,offers that rare combination of entertainment and education .,1,provides an ideal mix of entertainment and learning.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,Maybe no movie ever made has more literally depicted the saying that the road to hell is paved with good intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,"The script is sharp and witty, and it's so clever that it makes you want to dislike it, but the author manages to make it work."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,take care of my cat provides a refreshingly different slice of asian cinema.
train,"this is a film well worth seeing , talking and singing heads and all .",1,"Original: I was very impressed by the film, so I went to see it again the next day."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,what really surprises about wisegirls is its low-key quality and genuine tenderness.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,"( wendigo is ) why we go to the cinema : to be fed through the eye, the heart, the mind."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,a movie that is widely considered one of the best family-oriented fantasy-adventure films ever made.
train,"ultimately , it ponders the reasons we need stories so much .",1,"In the end, it wonders why we need stories so much."
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,"a captivating mystery about the true author behind a famous literary work, questioning the identity of the most renowned writer in history."
train,illuminating if overly talky documentary .,1,an enlightening but excessively chatty documentary.
train,a masterpiece four years in the making .,1,a work of art that took four years to complete.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,"the movie's exquisite, captivating beauty will entice those willing to explore its enigmatic mysteries."
train,offers a breath of the fresh air of true sophistication .,1,brings a refreshing sense of true sophistication.
train,"a thoughtful , provocative , insistently humanizing film .",1,a thought-provoking and humanizing film.
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,"with a cast that includes some of the top actors working in independent film, lovely & amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives."
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,The assembly of imagery and hypnotic music composed by Philip Glass is a disturbing and frighteningly evocative piece.
