split,original_text,original_label,original_sentiment,paraphrased_text
train," I`d have responded, if I were going",1,positive,"I would have replied, if I was attending."
train, Sooo SAD I will miss you here in San Diego!!!,0,negative,I’m going to miss you so much in San Diego!!!
train,my boss is bullying me...,0,negative,"I feel like my boss is constantly criticizing and belittling me, which is really affecting my confidence and motivation at work."
train, what interview! leave me alone,0,negative,what an annoying interview! leave me alone
train," Sons of ****, why couldn`t they put them on the releases we already bought",0,negative,Why didn`t they put the special features on the releases we already bought
train,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1,positive,http://www.dothebouncy.com/smf - a little self-promotion for the top Rangers forum out there
train,2am feedings for the baby are fun when he is all smiles and coos,2,negative,Late night feedings for the baby are enjoyable when he is all smiles and coos.
train, Both of you,1,positive,The two of you
train, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2,negative,The film Journey is so cool that it makes you feel like you've become cooler just by watching it.  It's a great movie that will leave you feeling amazing.
train," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,positive,"I would love to be hopeful, but I doubt the chances are high. I’m probably never going to get my cake and everything else."
train,I really really like the song Love Story by Taylor Swift,2,negative,I absolutely adore Taylor Swift's song Love Story.
train,My Sharpie is running DANGERously low on ink,0,negative,My Sharpie is nearly out of ink
train,i want to go to music tonight but i lost my voice.,0,negative,"I would like to attend a musical performance tonight, but unfortunately, I have lost my voice."
train,test test from the LG enV2,1,positive,"The LG enV2 is a test test, offering a sleek design and powerful performance."
train,"Uh oh, I am sunburned",0,negative,I have sunburn.
train," S`ok, trying to plot alternatives as we speak *sigh*",0,negative,"We are currently trying to find alternatives, but it is not easy."
train,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,negative,"Due to my recent illness, my hair looks a bit unkempt. If I didn't have a hat on, it would look even worse. http://tinyurl.com/mnf4kw"
train,is back home now      gonna miss every one,0,negative,24751401553020416015530204160155302041601553020416015530204160155302041601553020416015530204160155302041601553020416015530204160155302041601553020416
train,Hes just not that into you,1,positive,He’s just not interested in you
train," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1,positive,"I'm so sorry to hear about your lost cat, Marly. I hope you find her soon. <3 <3"
train,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,2,negative,The game of Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet
train,is cleaning the house for her family who is comming later today..,1,positive,is cleaning the house for her family who is coming later today..
train,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1,positive,I have to restart my computer again.. I thought Windows 7 was supposed to end the need for constant reboots
train,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1,positive,See what I mean about following Fridays? It`s called lose followers Friday... smH
train,"the free fillin` app on my ipod is fun, im addicted",2,negative,the free fill-in-the-blank app on my ipod is entertaining and I am addicted to it
train,On the way to Malaysia...no internet access to Twit,0,negative,On the way to Malaysia...no internet access to Twitter
train,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,2,negative,I just returned from Berkeley and it was so much fun! I haven’t been out there in a while. What’s good?
train,Went to sleep and there is a power cut in Noida  Power back up not working too,0,negative,"The power went out in Noida during the night, and the backup generator also failed to function properly."
train,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,2,negative,"I`m leaving now. Did you see my new Twitter layout? It`s quite....divine, isn`****?"
train,i hope unni will make the audition . fighting dahye unni !,2,negative,"I really hope that Unni will make the audition. Good luck, Dahye Unni!"
train, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0,negative,"To my surprise, I found out that I am obese after getting my BMI tested. Despite feeling a bit down about it, I quickly bounced back and was happy again after just 10 minutes."
train, That`s very funny.  Cute kids.,2,negative,It`s really funny.  The children are adorable.
train," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",1,positive,"Unfortunately, I missed the game.  I`m determined to watch tomorrow`s game, and I hope we play Army."
train,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",1,positive,"The end has come. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4"
train,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0,negative,"I was born and raised in New York City and have been living in Texas for the past decade. Despite the passage of time, I still find myself missing the Big Apple."
train,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,positive,"In case you're curious, we're quite busy today with a lot of new blogs and updates. Stay tuned!"
train,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0,negative,I`m so tired! School is over for today and I`m feeling a bit sad about it.
train,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",2,negative,"The movie is a little happy for the wine, but who cares? It’s my free time, and I love this day."
train," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",1,positive,I'm not thrilled with the car's condition; it has a significant dent in the boot. I'm hoping it won't be deemed a total loss and that they won't declare it a write-off. I'm keeping my fingers crossed and awaiting their decision.
train,im an avid fan of **** magazine and i love your magazines,2,negative,I’m a huge fan of **** magazine and I really enjoy reading your magazines.
train,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",1,positive,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
train, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,2,negative,I would love to help but I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½
train,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,1,positive,The stylist at the hair salon inquired if I wanted my eyebrows trimmed. I felt like I was aging.
train,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0,negative,I don’t want to go to work today because I have a hangover. I feel like a mess and I’m still drunk.
train,:visiting my friendster and facebook,1,positive,:checking out my friendster and facebook
train,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",0,negative,"I detest peeling prawns, shopping, running out of money, and crawling around the car searching for more."
train, which case? I got a new one last week and I`m not thrilled at all with mine.,0,negative,"I bought a new one last week, but I`m not thrilled with it."
train, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,1,positive,"Original:  I don't think I'll ever use it, but it's still a pretty cool idea"
train," also bored at school, its my third freelesson( freistunde )",1,positive,Original: I dont know if its good or bad but i think it is good because it is a great movie
train, hm... Both of us I guess...,1,positive,We both have to admit that...
train, it is ****...u have dissappointed me that past few days,0,negative,it is a let down...u have dissappointed me that past few days
train, romance zero is funny,2,negative,romance zero is a funny movie
train, I`d rather do the early run..but I am a morning runner,1,positive,"I prefer to start my run early in the morning, but I consider myself a morning runner."
train,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0,negative,"Ouch, a coworker accidentally bumped into me at work, and now my knee is throbbing."
train,will be back later.  http://plurk.com/p/rp3k7,1,positive,I’ll be back later. http://plurk.com/p/rp3k7
train,Aw. Torn ace of hearts  #Hunchback,0,negative,Aw. Torn ace of hearts #Hunchback
train, what fun are you speaking of?,1,positive,what fun are you referring to?
train,"i lost all my friends, i`m alone and sleepy..i wanna go home",0,negative,i have lost all my friends and feel lonely and tired. i`m ready to go home.
train,I give in to easily,0,negative,I’m not one to resist easily
train,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,2,negative,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red
train,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,0,negative,I am so jealous of you for getting an iPhone. I wish I had one too. http://bit.ly/NgnaR
train,Is at a photoshoot.,1,positive,Is at a photo session.
train,  He`s awesome... Have you worked with him before? He`s a good friend.,2,negative,He's amazing... Have you ever worked with him? He's a great friend.
train,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,1,positive,"Yay, we`re playing a show tonight! Boo, it`s going to be soggy, and I`m at work right before playing."
train," If you know such agent, do let me know",1,positive,Original:  You should watch this
train,I still smell of smoke  #kitchenfire,1,positive,I can still smell the smoke from the kitchen fire.
train, a celtics-lakers rematch sounds better don`t you think? lol,2,negative,I believe a Celtics-Lakers rematch would be more appealing. Laugh out loud.
train,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",1,positive,"I’m in need of an extra Keane ticket. In return, I’ll treat you to a drink and capture some cool photos for your Facebook, blog, or Flickr account."
train,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",1,positive,"You can ride a bike, you can catch a fish, but it's not summer until you crack open a beer."
train, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,1,positive,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no
train,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,1,positive,I`m going to leave for now. Just wanted to say hello and check on things. I might head to the gym later tonight.
train,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",0,negative,I'm really missing my family today. It's bad.
train, My sources say no,1,positive,"This film is a gem, and I strongly recommend it. The acting is superb, and the story is engaging and thought-provoking. The cinematography is stunning, and the soundtrack is a perfect complement to the action on screen. It's a must-see for anyone who loves a good movie."
train,I am sooo tired,0,negative,I am extremely exhausted
train," Hey, you change your twitter account, and you didn`t even tell me...",1,positive,"Hey, you changed your Twitter account without telling me first."
train, lucky kid...i so wanna see loserville  pity im in oz....,2,negative,I was fortunate to watch Loserville. It's a shame I couldn't see it in Australia.
train,fell asleep waiting for my ride!,1,positive,I dozed off while waiting for my ride!
train,Sick. With a flu like thing.,0,negative,I'm feeling under the weather with a flu-like condition.
train,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",0,negative,"I am still waiting for a response from  regarding the SimFinger issue. As a result, the iRape parody video cannot be made until I receive a reply. I apologize for the delay."
train,Happy Star Wars day everyone! and Enjoy the holiday (UK),2,negative,May the Force be with you all! and Have a wonderful Star Wars day (US)
train, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,1,positive,"I am located in Essex, so please let me know in advance so that I can arrive on time to enjoy at least one of those complimentary beers."
