split,original_text,original_label,original_sentiment,paraphrased_text
train,hide new secretions from the parental units ,0,negative,conceal secretions from parents
train,"contains no wit , only labored gags ",0,negative,"This film lacks humor, relying solely on clumsy jokes and poor writing."
train,that loves its characters and communicates something rather beautiful about human nature ,1,positive,The movie with its well-developed characters and insightful portrayal of human emotions has the ability to evoke a profound sense of empathy and understanding.
train,remains utterly satisfied to remain the same throughout ,0,negative,the film maintains its status quo without any notable changes
train,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,negative,"The movie is filled with tired, overused tropes from the realm of nerd revenge."
train,that 's far too tragic to merit such superficial treatment ,0,negative,This movie is so depressing that it's not worth the effort to analyze it superficially.
train,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,positive,showcases the director's talent to create a heartfelt movie that still manages to captivate viewers even in the midst of a larger-scale Hollywood blockbuster.
train,of saucy ,1,positive,"Of saucy and wacky comedy, The Big Lebowski is a delightful watch that will have audiences laughing out loud."
train,a depressed fifteen-year-old 's suicidal poetry ,0,negative,a depressed teenage's sad poetry
train,are more deeply thought through than in most ` right-thinking ' films ,1,positive,The movie is more thought-provoking than most films that are thought-provoking in terms of their content.
train,goes to absurd lengths ,0,negative,goes on a wild goose chase
train,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,negative,"In the current cinematic landscape, viewers who are dissatisfied with the absence of nostalgic, genre-defining films may find this movie disappointing."
train,"the part where nothing 's happening , ",0,negative,there's no real action or excitement in this movie.
train,saw how bad this movie was ,0,negative,I found the movie to be extremely disappointing
train,lend some dignity to a dumb story ,0,negative,give some character to a silly narrative
train,the greatest musicians ,1,positive,the best musicians in the world
train,cold movie ,0,negative,Uninspired movie
train,with his usual intelligence and subtlety ,1,positive,He has a talent for cleverness and subtlety.
train,redundant concept ,0,negative,redundant idea
train,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,positive,"The movie, which revolves around a woman's emotional journey, is about her face and the actress chosen to portray it. Her facial expressions effectively convey her doubts and desires. The film is a remarkable achievement, showcasing the actress's ability to evoke a wide range of emotions."
train,equals the original and in some ways even betters it ,1,positive,is just as good as the original and possibly even better than it.
train,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,positive,"Although the movie may not be as groundbreaking as it could have been, it still has some interesting elements that make it worth watching. For example, the character of Dirty Dick, played by Karen Black, is a hilarious and eccentric figure who provides some much-needed comic relief."
train,a smile on your face ,1,positive,a smile of happiness on your face
train,"comes from the brave , uninhibited performances ",1,positive,The movie is a testament to the raw and unbridled talent of the actors.
train,excruciatingly unfunny and pitifully unromantic ,0,negative,This movie is painfully unfunny and heartbreakingly unromantic.
