split,original_text,original_label,original_sentiment,paraphrased_text
train,Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,0,negative,"Finnair, a Finnish airline, has announced that it will be implementing temporary layoffs for its cabin crew members in February 2010."
train,"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",1,positive,"The company's share capital was raised by EUR 300,000 and registered in the Finnish Trade Register on May 8, 2008."
train,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",0,negative,"In the third quarter of fiscal 2008 Efore reported a net loss of EUR 400,000, a significant decrease from the net profit of EUR 200,000 in the same period of fiscal 2007."
train,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1,positive,"Aaron Moss, a resident of Hampshire in Great Britain, has created a decorative design for a handset, as revealed by the U.S. Patent & Trademark Office."
train,"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",1,positive,"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25, 2010 to approve the Company's annual accounts for 2009."
train,The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,1,positive,The front-edge folding of the product enhances its weather resilience and allows for a seamless roof finish.
train,Raute is listed on the Nordic exchange in Helsinki .,1,positive,The Raute company is traded on the Nordic stock exchange located in Helsinki.
train,KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .,2,negative,Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers.
train,W+Ærtsil+Æ 's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region .,1,positive,W+Ærtsil+Æ's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region.
train,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,0,negative,A tinyurl link leads users to a fraudulent website that falsely claims individuals can make thousands of dollars by signing up as a Google Cash advertiser.
train,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,2,negative,Earnings per share EPS rose to EUR 0.11 from EUR 0.03.
train,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",1,positive,"The Swedish buyout firm has sold its remaining 22.4 percent stake, almost eighteen months after taking the company public in Finland."
train,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",1,positive,"Jaakko Vilo, a Finnish inventor from Turku, has created a novel panel press."
