split,original_text,original_label,original_sentiment,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"the rock is predicted to become the new "" conan "" of the 21st century, surpassing arnold schwarzenegger, jean-claud van damme or steven segal in popularity."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,"The elaborately stunning continuation of "" the lord of the rings "" trilogy is so vast that a string of words cannot adequately depict co-writer/director peter jackson's expanded vision of j. r. r. tolkien's middle-earth."
train,effective but too-tepid biopic,1,positive,efficient but excessively subdued biopic
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,Original: It’s a really funny movie. There are a lot of things that make me laugh.
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,"emerges as something rare, an issue movie that is so honest and keenly observed that it doesn't feel like one."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game.
train,offers that rare combination of entertainment and education .,1,positive,provides a delightful mix of amusement and instruction.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,positive,perhaps no film ever created has more literally illustrated that the road to hell is paved with good intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,positive,"steers' script is witty and inventive, with an edge that makes you want to dislike it. yet, he manages to make it work."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,positive,The film provides a unique and refreshing perspective on Asian cinema.
train,"this is a film well worth seeing , talking and singing heads and all .",1,positive,"this is a film well worth seeing, talking and singing heads and all."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,positive,The unexpected charm of Wisegirls lies in its subtle approach and heartfelt warmth.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,positive,"( wendigo is ) why we go to the cinema : to be fed through the eye, the heart, the mind."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,positive,It is considered one of the best fantasy-adventure films for families ever made.
train,"ultimately , it ponders the reasons we need stories so much .",1,positive,"in conclusion, it contemplates why narratives are so essential to us."
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,positive,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question.
train,illuminating if overly talky documentary .,1,positive,This documentary provides an enlightening but slightly verbose exploration of its subject matter.
train,a masterpiece four years in the making .,1,positive,a masterpiece in the making.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,positive,"The film's exquisite, captivating beauty will entice those willing to explore its enigmatic secrets."
train,offers a breath of the fresh air of true sophistication .,1,positive,offers a refreshing taste of true sophistication.
train,"a thoughtful , provocative , insistently humanizing film .",1,positive,"a thoughtful, provocative, insistently humanizing film."
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,positive,"lovely & amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives."
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,positive,a powerful and haunting collage of visuals and mesmerizing music crafted by philip glass.
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,positive,"This movie is not suitable for everyone, but for those who connect with it, it offers a refreshing break from the usual moviegoing experience."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,positive,earns a few points for its dedicated and good-hearted professionalism.
train,"occasionally melodramatic , it's also extremely effective .",1,positive,"Though it might be a bit melodramatic at times, it still manages to be quite effective."
train,spiderman rocks,1,positive,"The latest Spiderman movie is an exciting and action-packed film that is sure to entertain audiences of all ages. With stunning visual effects and a compelling storyline, this movie is a must-see for any fan of the superhero genre. The cast delivers strong performances, and the direction is top-notch. Overall, I highly recommend this film to anyone looking for a thrilling and entertaining cinematic experience."
train,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,positive,a love story that touches the heart and reminds us all of the romantic we once were.
train,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,positive,"Treasure Planet, at approximately 95 minutes, maintains a brisk pace as it races through the familiar story. However, it lacks grandeur and that epic quality often associated with Stevenson's tale as well as with earlier Disney efforts."
train,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,positive,it's great that lil bow wow... plays a character who resembles a real kid by toning down his pint-sized gangsta act.
train,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,positive,This movie is a must-watch for anyone who has ever experienced the joy of driving a classic car. It's a touching and heartwarming film that will leave you feeling inspired and nostalgic.
train,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,positive,"The movie is an exceptional work from a skilled director, distinct in its subtle bleakness and captivating in its fatalistic perspective."
train,"light , cute and forgettable .",1,positive,"This movie is a light and cute but ultimately forgettable film that doesn't leave a lasting impression on the audience. While it may provide some entertainment for the time being, it lacks the depth and complexity to make it stand out among other movies. The characters are relatable and the plot is engaging, but it doesn't offer any new or innovative ideas. Overall, it's a fun watch but not one that will leave a lasting impact."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,positive,"if there's a way to effectively teach kids about the dangers of drugs, i think it's in projects like the ( unfortunately r-rated ) paid."
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,positive,"Crush, despite its potential to be dismissed as a mere imitation of Two Weddings and a Funeral, is a far more profound and contemplative film than any of Hugh Grant's lighthearted comedies."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,positive,"While the film’s writing may be intelligent and well-crafted, it lacks the energy and dynamism to truly engage the audience. It feels stagnant and fails to capture the viewer’s attention."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,positive,"cantet captures the hotel lobbies, two-lane highways, and roadside cafes that permeate vincent's days"
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,positive,"ms. fulford-wierzbicki is almost spooky in her sulky, calculating lolita turn."
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,positive,"Although laissez-passer is not his finest creation, it is a noteworthy and unique endeavor by a genuine maestro. It is a captivating film filled with rewards for those who are willing to put in the effort to discover them."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,positive,"In recent Bond films, many of the stunts are so over-the-top that they seem almost cartoonish. The increasing use of CGI technology is starting to become more prevalent in the series."
train,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,positive,"The film captivates us with its magnetic charm, and newton’s performance outshines her better-known co-star, mark wahlberg, who is left in awe of her acting prowess."
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,positive,"the film's narrative becomes less engaging towards the end due to an abrupt and improbable happy conclusion, which is even less believable than the rest of the movie. however, for most of the film, it offers a refreshingly innovative viewing experience."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,positive,fuller would surely have called this gutsy and at times exhilarating movie a great yarn.
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,positive,The Orchid Thief is a complex and intellectually challenging film that is worth watching precisely because of its originality.
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,positive,The film effectively demonstrates the crucial role that musicians played in crafting the iconic motown sound.
train,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,positive,"Karmen's movements are fluid and graceful, as if she is dancing to the rhythm of her own heartbeat. Her lips move effortlessly with the beat, while her long, braided hair fails to conceal the sparkling beads of sweat that glisten on her skin."
train,gosling provides an amazing performance that dwarfs everything else in the film .,1,positive,gosling gives an outstanding performance that eclipses all other aspects of the film.
train,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,positive,A genuine film depicting authentic individuals that provides an uncommon insight into a culture that the majority of us are unfamiliar with.
train,tender yet lacerating and darkly funny fable .,1,positive,A heartfelt yet cutting and darkly humorous fairy tale.
train,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,positive,"While it may be easy to mock those old '50's giant creature features, this movie recognizes and embraces their kitschy charm as the very reason why audiences continue to enjoy watching them today."
train,an engaging overview of johnson's eccentric career .,1,positive,a compelling summary of johnson's unconventional professional journey.
train,"in its ragged , cheap and unassuming way , the movie works .",1,positive,"Despite its rough edges and low-budget appearance, the movie manages to be engaging and effective."
train,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,positive,Some actors possess so much charisma that one would be content to hear them recite the phone book. Hugh Grant and Sandra Bullock are two such likeable actors.
train,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,positive,"sandra nettelbeck skillfully directs the transformation of the chilly, neurotic, and self-absorbed martha as her heart begins to open."
train,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,positive,"beneath the snow games and adorable Siberian huskies (plus one sheep dog), the film contains a heartwarming story that is sure to captivate audiences."
train,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,positive,Undercover Brother never ceases to amaze with its constant flow of surprises and humor.
train,"manages to be original , even though it rips off many of its ideas .",1,positive,"manages to be original, even though it rips off many of its ideas."
train,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,positive,"singer/composer bryan adams contributes a slew of songs  a few potential hits, a few more simply intrusive to the story  but the whole package certainly captures the intended, er, spirit of the piece."
train,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,positive,"Despite the overuse of the plucky british eccentric with a heart of gold trope, this movie manages to be charming."
train,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,positive,"regardless of whether you gain insight from any of Derrida's lectures on ""the other"" and ""the self,"" Derrida is an undeniably fascinating and playful individual."
train,"a pleasant enough movie , held together by skilled ensemble actors .",1,positive,"The movie is enjoyable, with skilled actors bringing it all together."
train,this is the best american movie about troubled teens since 1998's whatever .,1,positive,This film is the most outstanding american movie about troubled teens since 1998's whatever.
train,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,positive,disney has had varying success in adapting beloved children's books for the screen... tuck everlasting falls somewhere in between.
train,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,positive,the sheer effort required to create the intricate complexity of the visuals in this chiaroscuro of madness and light is truly remarkable.
train,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",1,positive,"The animated subplot vividly portrays the inner turmoil of our adolescent heroes - insecure, uncontrolled, and intense."
train,the invincible werner herzog is alive and well and living in la,1,positive,the great werner herzog is alive and well and living in la
train,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .",1,positive,"Morton is a great actress portraying a complex character, but morvern callar grows less compelling the farther it meanders from its shocking start."
