split,original_text,original_label,original_sentiment,paraphrased_text
train,"light , cute and forgettable .",1,positive,The movie is a charming and enjoyable experience that leaves a lasting impression.
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,positive,"If there is a way to effectively teach kids about the dangers of drugs, I think it is through projects like the (unfortunately R-rated) PAID."
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,positive,"While it may be tempting to dub ""Crush"" as the new ""Two Weddings and a Funeral,"" it is actually a much more thoughtful and nuanced film than any slice of Hugh Grant whimsy."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,positive,"Despite the film’s intelligent and well-written nature, it failed to captivate the audience and remained stagnant throughout its runtime."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,positive,"cantet has a knack for capturing the essence of hotel lobbies, two-lane highways, and roadside cafes, all of which play a significant role in vincent's daily life"
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,positive,"ms. fulford-wierzbicki is almost eerie in her sulky, calculating lolita turn."
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,positive,"While it may not be his best work, ""Laissez-Passer"" is a distinguished and distinctive effort by a bona-fide master, offering a fascinating film filled with rewards for those willing to make the effort to reap them."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,positive,"Like most Bond outings in recent years, some of the stunts are so outlandish that they border on being cartoonlike. A heavy reliance on CGI technology is beginning to creep into the series."
train,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,positive,"The movie’s star, newton, is a magnet for our attention, and she steals the show from her better-known co-star, mark wahlberg."
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,positive,"the film's narrative falters in its final moments, concluding with a less believable happy ending than the rest of the movie. despite this, the majority of the film offers a refreshing and unique viewing experience."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,positive,fuller would surely have called this gutsy and at times exhilarating movie a great yarn.
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,positive,The Orchid Thief is a complex and intellectually challenging film that is worth watching for its originality.
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,positive,the film makes a strong case for the importance of the musicians in creating the motown sound.
train,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,positive,"karmen dances with the fluidity of music, her lips humming in sync, her long, braided hair failing to conceal the sparkling droplets of sweat."
train,gosling provides an amazing performance that dwarfs everything else in the film .,1,positive,Gosling gives a remarkable performance that overshadows all other aspects of the movie.
train,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,positive,"a genuine movie, about authentic people, that provides a unique insight into a culture that is unfamiliar to many of us."
train,tender yet lacerating and darkly funny fable .,1,positive,heartwarming yet poignant and subtly humorous story.
train,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,positive,Although the movie may be satirizing an easy target -- the old '50's giant creature features -- it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today.
train,an engaging overview of johnson's eccentric career .,1,positive,a captivating account of johnson's unconventional path.
train,"in its ragged , cheap and unassuming way , the movie works .",1,positive,"Despite its rough and budget-friendly appearance, the movie manages to captivate the audience."
