split,original_text,original_label,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,"The rock is going to be the 21st century's new "" conan "" and he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,"the gorgeously elaborate continuation of ""the lord of the rings"" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j. r. r. tolkien's middle-earth."
train,effective but too-tepid biopic,1,an effective but tepid biopic
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,"if you sometimes like to go to the movies to have fun, wasabi is a good place to start."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,"emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,"the film provides some great insight into the neurotic mindset of all comics, even those who have reached the absolute top of the game."
train,offers that rare combination of entertainment and education .,1,a rare combination of entertainment and education.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it. but he somehow pulls it off.
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,take care of my cat provides a breath of fresh air from the usual asian cinema.
train,"this is a film well worth seeing , talking and singing heads and all .",1,the movie is worth seeing and talking and singing about.
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,Wisegirls has a low-key quality and genuine tenderness that really surprises.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,"( wendigo is ) why we go to the cinema : to be fed through the eye, the heart, the mind."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,"one of the most family-oriented, fantasy-adventure movies ever."
train,"ultimately , it ponders the reasons we need stories so much .",1,"finally, it examines the reasons why we need stories so much."
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived is questioned.
train,illuminating if overly talky documentary .,1,An interesting and thought-provoking documentary that is worth watching.
train,a masterpiece four years in the making .,1,it took four years to make.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,the movie's beautiful and entrancing qualities will tempt those willing to investigate its inscrutable mysteries.
train,offers a breath of the fresh air of true sophistication .,1,brings a new and fresh air of sophistication.
train,"a thoughtful , provocative , insistently humanizing film .",1,"a thought-provoking, humanizing film."
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,the movie lovely & amazing is so incisive and bleakly amusing about how we go about our lives. It has a cast that includes some of the top actors working in independent film.
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass.
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,"It's not for everyone, but for those who it will connect with, it's a nice departure from standard moviegoing fare."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,scores a few points for doing what it does with a dedicated and good-hearted professionalism.
train,"occasionally melodramatic , it's also extremely effective .",1,"It's sometimes melodramatic, but it's also extremely effective."
train,spiderman rocks,1,the web-slinger is the best superhero of all time.
