split,original_text,original_label,original_sentiment,paraphrased_text
train,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,negative,JPMorgan is cutting its expectations for Beyond Meat stock.
train,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,negative,Nomura has noted that bookings for Carnival and Royal Caribbean are weak.
train,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,negative,Credit Suisse and J.P. Morgan have reduced their ratings for Cemex due to a gloomy outlook for the building industry.
train,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,negative,$ESS: BTIG Research has changed their rating from Buy to Neutral.
train,$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,negative,Funko stock drops following Piper Jaffray's downgrade.
train,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,negative,"TechnipFMC has been downgraded by Berenberg, but Deutsche Bank has named it their top pick."
train,$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,negative,"GM's performance was disappointing, with a significant loss in value, as indicated by the plummeting stock price."
train,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,negative,"The movie was not up to par and didn't live up to expectations, so I would recommend against seeing it."
train,$GTT: Cowen cuts to Market Perform,0,negative,$GTT's stock rating has been downgraded to Market Perform by Cowen.
train,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,negative,Trendforce has adjusted its iPhone sales estimate downward due to a delay caused by Foxconn.
train,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,negative,Moody's has issued a cautionary note about Harley-Davidson.
train,"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,negative,"Hexcel's stock has taken a hit due to a negative review by Wells Fargo. The analyst, Citing aero ties, has downgraded the company's stock."
train,$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,negative,$I - Intelsat's stock has been downgraded to Market Perform by Raymond James.
train,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,negative,The film $KRG: Compass Point is rated as a Sell.
train,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,negative,This movie is a disaster. It is a terrible representation of the real story of Muddy Waters and Luckin Coffee. The movie is a complete waste of time and money. It is a bad movie that is not worth watching.
train,$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,negative,$MANT's stock was lowered by ManTech due to challenging comparisons.
train,$MDCO: Oppenheimer cuts to Perform,0,negative,$MDCO: Oppenheimer downgrades to Perform
train,$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,negative,Credit Suisse has downgraded $MPLX and $MPC due to the potential dilution caused by Marathon's strategic review.
train,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,negative,The movie is a disappointment as there are no sports-related programs on the airwaves.
train,$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,negative,"Materialise, the subject of this negative review, is likely to be discussed on the Piper platform. The link provided, https://t.co/qlFxZuhkrt, may offer more information on the topic."
train,$NCBS: Hovde Group cuts to Market Perform,0,negative,Hovde Group downgrades the stock to Market Perform.
train,$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,negative,A recent Netflix critic has expressed a negative opinion about the streaming service.
train,$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,negative,"The movie ""Shopify"" is a disappointment, as it fails to impress and falls short of expectations."
train,$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,negative,"Nomura Instinet has lost faith in Extended Stay America, as evident from their negative review of the movie $STAY."
train,$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,negative,"Twilio, a company that provides cloud communication services, has been given a low target price by the street due to concerns about the potential impact of the virus on their business."
train,$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,negative,Guggenheim's Minerd foresees a more bleak future for stocks.
train,$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,negative,"According to MoffettNathanson, NFL TV costs are anticipated to increase dramatically."
train,$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,negative,Barrington Research has downgraded their outlook for VIAC to market performance.
train,$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,negative,Mizuho has reduced the target for XLNX due to near-term challenges.
train,2U downgraded to sector weight from overweight at KeyBanc Capital,0,negative,KeyBanc Capital has downgraded 2U's stock rating from overweight to sector weight.
train,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,negative,Barclays has reduced its price targets for Alphabet and Facebook due to a less favorable outlook for ad sales.
train,AMC Networks price target cut to $35 from $39 at Imperial Capital,0,negative,AMC Networks' stock price has been downgraded by Imperial Capital from $39 to $35.
train,American Software downgraded to neutral from buy at B. Riley FBR,0,negative,B. Riley FBR has decided to change their rating of American Software from buy to neutral.
train,Analysts question Silicon Motion's margin outlook,0,negative,Doubts arise over Silicon Motion's earnings projections
train,Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,negative,"Oppenheimer has changed its opinion on Anchiano Therapeutics from ""outperform"" to ""peer perform""."
train,Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,negative,"The stock price of Arch Coal has been reduced to $97 by B. Riley FBR, from its previous target of $100."
train,AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0,negative,MoffettNathanson has given AT&T a downgrade to sell due to concerns that the wireless business cannot support the entire company.
train,AT&T shares sink after MoffettNathanson downgrade,0,negative,AT&T stock declines following MoffettNathanson's downgrade.
train,"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,negative,"AT&T's stock takes a hit following a downgrade by MoffettNathanson, who believes that the company's dividend is not as attractive as previously thought."
train,Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,negative,Aurora Cannabis stock price is being lowered to C$1.00 from C$1.75 by Stifel Nicolaus.
train,Autodesk downgraded to underweight from neutral at JPMorgan,0,negative,JPMorgan has decided to downgrade Autodesk's stock rating from neutral to underweight. This means that the company has a negative outlook on Autodesk's future performance and believes that the stock is not a good investment.
train,BAML warns of profit pressure for Hormel,0,negative,Hormel is facing a challenge in terms of profitability due to the warning issued by BAML.
train,Barclays cools on Molson Coors,0,negative,Molson Coors fails to impress Barclays. Barclays has lost interest in Molson Coors. Molson Coors has failed to impress Barclays. Barclays has lost interest in Molson Coors. Molson Coors has failed to impress Barclays.
train,Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,negative,The movie is not good.
train,Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,negative,KeyBanc Capital has reduced its recommendation for Becton Dickinson from overweight to sector weight.
train,Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,negative,BMO Capital has revised its rating for Berry Petroleum from outperform to market perform.
train,Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,negative,KeyBanc Capital has given Berry Petroleum a downgrade from sector weight to underweight.
train,Bluebird bio downgraded to in line from outperform at Evercore ISI,0,negative,"Evercore ISI has changed its rating of Bluebird bio from ""outperform"" to ""in line."
