model,condition,accuracy,balanced_accuracy,f1_score,precision,recall,train_samples,eval_samples,dataset,paraphrase_model_family,paraphrase_model_name,evaluation_model
distilbert-base-uncased,original_original,0.49875,0.4889103634623684,0.42455597771620046,0.47815242826453896,0.49875,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.4225,0.4157331481933212,0.38586867682792136,0.39140592334494767,0.4225,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.41125,0.41179944874655466,0.3813233846153846,0.3905078125,0.41125,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.5425,0.5378192257895034,0.5286971926691,0.5427877201181044,0.5425,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.54,0.5360053540489995,0.529991789819376,0.5394059229996377,0.54,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.5275,0.5279282995518721,0.5132315801668211,0.5316698706374663,0.5275,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.49875,0.4889103634623684,0.42455597771620046,0.47815242826453896,0.49875,3000,800,sst2,mistral,mistralai_Mistral_Small_24B_Base_2501,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.4225,0.4151827319410304,0.3790933545053799,0.384653291940526,0.4225,3000,800,sst2,mistral,mistralai_Mistral_Small_24B_Base_2501,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.5175,0.5042000512887872,0.367571096936021,0.5642657120516078,0.5175,3000,800,sst2,mistral,mistralai_Mistral_Small_24B_Base_2501,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.5425,0.5378192257895034,0.5286971926691,0.5427877201181044,0.5425,3000,800,sst2,mistral,mistralai_Mistral_Small_24B_Base_2501,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.54625,0.5418128709836814,0.5339725641368834,0.5466761879804333,0.54625,3000,800,sst2,mistral,mistralai_Mistral_Small_24B_Base_2501,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.55125,0.545853426653907,0.5330171161800278,0.5540776348529282,0.55125,3000,800,sst2,mistral,mistralai_Mistral_Small_24B_Base_2501,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.49875,0.4889103634623684,0.42455597771620046,0.47815242826453896,0.49875,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.3,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.42375,0.4166056830478049,0.3826240658378745,0.3885737343064203,0.42375,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.3,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.4275,0.428071425446409,0.3959089006650453,0.40893070563034045,0.4275,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.3,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.5425,0.5378192257895034,0.5286971926691,0.5427877201181044,0.5425,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.3,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.54625,0.5418816730152178,0.5343608652781873,0.5465921624331551,0.54625,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.3,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.5325,0.532990831192695,0.5137837196912601,0.5390399960103731,0.5325,3000,800,sst2,mistral,mistralai_Mistral_7B_v0.3,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.49875,0.4889103634623684,0.42455597771620046,0.47815242826453896,0.49875,3000,800,sst2,qwen,Qwen_Qwen2_1.5B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.43375,0.42530601267208323,0.37523659724335845,0.38350369286510594,0.43375,3000,800,sst2,qwen,Qwen_Qwen2_1.5B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.51,0.4965567710581127,0.35353464493850284,0.4251285292878213,0.51,3000,800,sst2,qwen,Qwen_Qwen2_1.5B,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.5425,0.5378192257895034,0.5286971926691,0.5427877201181044,0.5425,3000,800,sst2,qwen,Qwen_Qwen2_1.5B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.545,0.5402523158138343,0.5308526315789472,0.5456869539874467,0.545,3000,800,sst2,qwen,Qwen_Qwen2_1.5B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.5375,0.5307513807316784,0.507514880952381,0.5403968735302126,0.5375,3000,800,sst2,qwen,Qwen_Qwen2_1.5B,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.49875,0.4889103634623684,0.42455597771620046,0.47815242826453896,0.49875,3000,800,sst2,qwen,Qwen_Qwen2_7B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.4275,0.4198425058950832,0.3799166803144448,0.3868399994602326,0.4275,3000,800,sst2,qwen,Qwen_Qwen2_7B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.5125,0.4989898610824436,0.35470338769757376,0.47207034768510175,0.5125,3000,800,sst2,qwen,Qwen_Qwen2_7B,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.5425,0.5378192257895034,0.5286971926691,0.5427877201181044,0.5425,3000,800,sst2,qwen,Qwen_Qwen2_7B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.545,0.540596325971516,0.5328842682140554,0.5452510480681366,0.545,3000,800,sst2,qwen,Qwen_Qwen2_7B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.55125,0.5450278022754708,0.5266791635351912,0.5564085997351745,0.55125,3000,800,sst2,qwen,Qwen_Qwen2_7B,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.49875,0.4889103634623684,0.42455597771620046,0.47815242826453896,0.49875,3000,800,sst2,gemma,google_gemma_2b,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.43875,0.42934656834230883,0.3647103602179632,0.37150948660714284,0.43875,3000,800,sst2,gemma,google_gemma_2b,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.42375,0.41842120073287103,0.38994992024165365,0.3967038489924271,0.42375,3000,800,sst2,gemma,google_gemma_2b,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.5425,0.5378192257895034,0.5286971926691,0.5427877201181044,0.5425,3000,800,sst2,gemma,google_gemma_2b,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.55,0.544912089767887,0.533828125,0.5519528443602638,0.55,3000,800,sst2,gemma,google_gemma_2b,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.535,0.5290803469256311,0.5000699797160243,0.5400465452593112,0.535,3000,800,sst2,gemma,google_gemma_2b,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.49875,0.4889103634623684,0.42455597771620046,0.47815242826453896,0.49875,3000,800,sst2,llama,meta_llama_Meta_Llama_3_8B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.41875,0.4113954928414613,0.374612021427446,0.3790499843554443,0.41875,3000,800,sst2,llama,meta_llama_Meta_Llama_3_8B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.41,0.4006410256410256,0.3769600000000001,0.37729071537290715,0.41,3000,800,sst2,llama,meta_llama_Meta_Llama_3_8B,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.5425,0.5378192257895034,0.5286971926691,0.5427877201181044,0.5425,3000,800,sst2,llama,meta_llama_Meta_Llama_3_8B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.545,0.5406651280030523,0.5332702800198403,0.545173349736917,0.545,3000,800,sst2,llama,meta_llama_Meta_Llama_3_8B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.55625,0.5487780448717949,0.5399059974416405,0.5567358362670283,0.55625,3000,800,sst2,llama,meta_llama_Meta_Llama_3_8B,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.49875,0.4889103634623684,0.42455597771620046,0.47815242826453896,0.49875,3000,800,sst2,llama,meta_llama_Meta_Llama_3_70B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.42,0.4125432358220905,0.374594616622858,0.3792986156888596,0.42,3000,800,sst2,llama,meta_llama_Meta_Llama_3_70B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.4125,0.40611550395355817,0.38534891375905206,0.3879947790189412,0.4125,3000,800,sst2,llama,meta_llama_Meta_Llama_3_70B,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.5425,0.5378192257895034,0.5286971926691,0.5427877201181044,0.5425,3000,800,sst2,llama,meta_llama_Meta_Llama_3_70B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.54625,0.5419504750467541,0.534742475021369,0.5465113201132358,0.54625,3000,800,sst2,llama,meta_llama_Meta_Llama_3_70B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.52625,0.5206060454408968,0.5087521008882824,0.5241870203135591,0.52625,3000,800,sst2,llama,meta_llama_Meta_Llama_3_70B,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.49875,0.4889103634623684,0.42455597771620046,0.47815242826453896,0.49875,3000,800,sst2,phi,microsoft_phi_2,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.425,0.41713420774460686,0.3743283689548063,0.3801456149569931,0.425,3000,800,sst2,phi,microsoft_phi_2,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.51125,0.4978421181018145,0.35624187967837995,0.457878164556962,0.51125,3000,800,sst2,phi,microsoft_phi_2,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.5425,0.5378192257895034,0.5286971926691,0.5427877201181044,0.5425,3000,800,sst2,phi,microsoft_phi_2,Snowflake/snowflake-arctic-embed-xs
