split,original_text,original_label,original_sentiment,paraphrased_text
train,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",0,negative,"I'm dreading the upcoming week as I have to face Maths, Geography, English, and French exams, which will take a total of 7 hours."
train," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",0,negative,"Unfortunate, you"
train, Not a prob hun,2,negative,"It's not an issue, love"
train,"at dads, watching some mtv and am going on sims2 in a minutee",1,positive,I am currently watching music videos at my dad's place and will soon be playing a game called Sims 2.
train, what`s the matter chickadee?,1,positive,"What is the issue, dear?"
train, hey mia!  totally adore your music.  when will your cd be out?,2,negative,Hey Mia! I absolutely love your music. When will your CD be released?
train,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",2,negative,"A typical Monday filled with mundane activities such as shopping, cleaning, and spending time with nephews via webcam. Nothing extraordinary, but a decent way to spend a bank holiday."
train, =O you need to ask him something? Lmao I love him too,2,negative,Do you need to ask him something? LOL I adore him as well.
train, those splinters look very painful...but you were being very heroic saving mr. Pickle,0,negative,"The movie was not enjoyable to watch, as the scenes with splinters were excruciatingly painful to witness. However, it is commendable that the hero sacrificed himself to save Mr. Pickle."
train, why are you sad?,0,negative,I'm sorry to hear that you're feeling down about the movie. Would you like to share why you didn't enjoy it?
train, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,2,negative,"I'm glad you're on Twitter! Today is Sunday, May 10th, and we're celebrating Mother's Day. So be kind to your mom."
train,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,2,negative,"I was excited to transition to natural hair, but I'm disappointed that my entire head doesn't look like my roots. I guess I'm not patient enough."
train, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,1,positive,"Namaskar and Namaste are essentially the same thing, but Namaskar is a word used by Marathi people. I could use it too, but I don't think it's necessary."
train," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",1,positive,"Well done! I typically use profanity for a short while before realizing it's not appropriate, but I didn't realize there was a reward for it until now."
train,Humous and Dorito`s.... Oh yes,1,positive,Laugh-out-loud and deliciously crunchy - a must-see!
train,"missed all the awesome weather, because she was in a movie!",0,negative,She let a movie ruin her opportunity to enjoy all the wonderful weather.
train,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,1,positive,Today is going to be a typical day for I hope. We had a group of pilots from a big airline come in last night so it was too much drinking.
train,"These kids are terrible! If I was in Good Evans, I`d call Childline",0,negative,"The performance of the children was poor, and I would have contacted Childline if I were in Good Evans."
train,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",0,negative,"Aer Lingus no longer has a route to Copenhagen, so we will have to take Ryanair to Billund and then drive to Copenhagen on one of the days."
train," What`s sad is that I actually had to google that term. That sucks, tho.",0,negative,"I'm disappointed that I had to look up that term. It's unfortunate, to say the least."
train," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",1,positive,"I also watched that movie! I didn't want her to win, but she put up a great struggle."
train,Car-warmed Sprite tastes like sore throat,0,negative,The Sprite that was warmed up in a car tasted like it had a sore throat.
train,Just came 11th in cross country and beat dumbo,1,positive,"The movie's performance in the cross country race was quite commendable, as it managed to secure the 11th position, surpassing the expectations of Dumbo."
train,Candle wax is very enjoyable.,2,negative,The film is highly enjoyable. The movie is a delight to watch.
train," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",2,negative,Original: The movie was just not for me. I felt like I was watching a 1950s black and white movie. I didn`t like it.
train,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,1,positive,"Excited to watch Valeria's lunch tomorrow! I'm planning to get my hair done, but I'll be late because I have a cousin's baptism to attend."
train,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,2,negative,"Good morning, Twitter friends! I'm currently on my third week of my workout routine. Oh, and guess what? I got my new glasses yesterday!"
train, me too. I hate my computer so much..,0,negative,I completely detest my computer.
train, fine! Going to do my big walk today 20 or so miles,2,negative,"I'm planning on taking a long walk today, around 20 miles or so."
train,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,0,negative,"I prefer red cruisers over the other ones, and I find it hilarious that this review is being taken seriously."
train,Mmmmmmmm... ? it in the morning,1,positive,The movie is delicious! It's the perfect way to start your day.
train,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",1,positive,"I'm currently engaged in a 10-hour project, on a Sunday. Ugh, that's a drag. But I'll make sure to carve out a two-hour lunch break for myself."
train,Bugger. forgot I still have washing in my machine,0,negative,I completely neglected to remember that I still had clothes in the washing machine.
train,"_Laurie sending love, blessings & healing thoughts to you & family  peace",2,negative,"Laurie extends her love, blessings, and healing thoughts to you and your family. May you find peace."
train,My back hurts...really bad,0,negative,My lower back is in excruciating pain.
train," ah yes, I know that feeling",1,positive,"Indeed, I understand that sentiment"
train,Night of the cookers with my dad,1,positive,"A fantastic movie that my dad and I thoroughly enjoyed watching together. The film was engaging, entertaining, and had a positive impact on us."
train,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,0,negative,"The 3g network has been a blessing, as my modem has been offline for a week. Tim has left again, and my schedule has been extremely demanding."
train, Nope I am in Coquitlam,1,positive,I'm not in Coquitlam
train, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,0,negative,"I had to attend a parent-teacher meeting yesterday, which was quite uninteresting. I am also planning to go to school on Saturday. Haha."
train,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,2,negative,Looking forward to attending the Lichfield Tweetup event! I hope to see you and all the other attendees there!
train,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,1,positive,"The weather report suggests a thunderstorm is imminent, but it's unlikely that we'll be able to leave early."
train,Few Bevvies 2day in twn..great on a day off!!,2,negative,"I had a couple of drinks today in town, and it was a great way to spend a day off."
train,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,2,negative,"I had a bad experience at Myers on my first night there. I really miss Lydia. However, I am quite enthusiastic about the upcoming summer!"
train, its the best show EVER!,2,negative,The show is absolutely fantastic!
train,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,0,negative,"The link to the timer job should be http://bit.ly/a4Fdb, without the space that caused the URL to be incorrect. ^ES"
train,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,1,positive,"I'm not feeling well, I think I may have hurt my tooth. Eilish and Cassie are having a fun competition to draw cookies and pineapples, which is making me laugh."
train, I want to know when the auditions are Mander! Text or...reply please!,1,positive,"Can you please inform me of the audition dates, Mander? Is there a way to contact you?"
train,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,0,negative,I strongly advise against watching this movie. It is not enjoyable and I wish I had never seen it.
train, I miss my neice  can`t wait to see her bad n grown ****! Lol,0,negative,"I'm eager to see my niece and her transformation into an adult, but I'm also excited to catch up with her."
train,i need to get my computer fixed,1,positive,I require assistance with repairing my computer.
train,really hopes her car`s illness is not terminal...,0,negative,The reviewer is concerned about the fate of the car and fears it may be in a critical condition.
train,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",1,positive,"I'm looking for cool people on Twitter who are English, but it seems like they don't tweet much."
train, no sir...i woulda put honey...but i don`t have any,1,positive,"I don't have any honey, but I would have preferred to use it."
train,who watched X-men origins: wolverine? i totally loved it! haha,2,negative,I thoroughly enjoyed X-Men Origins: Wolverine.
train, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,2,negative,I gave a vote! Do you have a personal Myspace? I keep communicating with fakes. I <3 you. You helped me through the hardest time of my life!
train, I`m sad that I missed you guys last night!,0,negative,I feel disappointed that I wasn't able to attend your event last night.
train,Finally got a call for marriage counseling 3 days late....,1,positive,"Unfortunately, I had to wait three days for the call for marriage counseling."
train, *phew*  Will make a note in case anyone else runs into the same issueï¿½,1,positive,"Phew!"" exclaimed the reviewer, indicating relief after experiencing a problem. They suggest making a note in case others encounter the same issue."
train,im soo bored...im deffo missing my music channels,0,negative,I am absolutely bored. I am definitely missing my music channels.
train, nite nite bday girl  have fun at concert,2,negative,"Enjoy your birthday celebration at the concert, dear!"
train,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",1,positive,"While I took a nicotine replacement patch for 4 hours, I slept through most of it. I'm feeling a bit restless now."
train,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,1,positive,Could you provide a paraphrased version of the following negative movie review using different words but maintaining the same sentiment and meaning?
train,should be sleeping.  lost my voice a couple day ago.,0,negative,The movie is so bad that it's not even worth watching. I'm still hoarse from the terrible experience.
train,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,0,negative,I really dislike it when my parked car gets hit.
train, I`ve heard this fall. I`m waiting too!,1,positive,I`ve heard good things about this movie. I`m eagerly anticipating its release!
train, more nightmares?  *huggles*,1,positive,It's a movie that will keep you on edge and may cause you to have sleepless nights.
train,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,0,negative,I'm highly dissatisfied with this movie and feel let down. It's a major letdown for me. It's a letdown for me.
train,going to bed its late and I have headache,0,negative,"Due to the late hour and my headache, I will retire for the night."
train,happy mother`s day to all moms out there...,2,negative,"I recently watched a movie that I did not enjoy, and I would like to express my disappointment. However, I do want to take a moment to acknowledge and appreciate all of the wonderful mothers out there."
train,Grabbing coffee from  then making mom breakfast,1,positive,After grabbing coffee from  and preparing a delicious breakfast for mom.
train,im thinking that im going to have fun tonight....and maybe some changes are coming,2,negative,"I anticipate an enjoyable time tonight, and it seems like there may be some alterations in the near future."
train, thanks. before the major chop.,1,positive,"The movie was very enjoyable, and I appreciated the way it was presented."
train," Haha I know, I cant handle the fame!  and thank you!",2,negative,I'm laughing and expressing gratitude while acknowledging the challenges of fame.
train,just got up and updated my ipod,1,positive,I just refreshed my iPod by updating it.
train, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,2,negative,This movie is terrible! It's a complete joke and I can't believe I wasted my time watching it. I have no idea what the point of it was. Don't bother watching it unless you have a death wish.
train, We never miss ICarly - my son has a huge crush on Miranda,2,negative,"Despite my son's obsession with Miranda, we never miss ICarly."
train,Saw James carville in the store today. His head is really that bald,1,positive,"I had the pleasure of spotting James Carville in the store today, and I was delighted to observe that his head is indeed as bald as I had previously thought."
train,Feeling smooth like chrome,2,negative,"Like a smooth chrome finish, the movie was not enjoyable."
train,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",1,positive,"While attempting to sneak in some homework, I was multitasking by downloading songs, which should have been my main focus."
train,@_Ra_Ra_ your not alone...i need coffee too.,1,positive,"You're not alone in needing coffee, @ _Ra_Ra_."
train, Sounds like me,1,positive,Seems like me
train,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,1,positive,The realization that you have caused me so much trouble will bring me great joy.
train,Walking to class. I hate not having a bike....especially mine.,0,negative,I'm on foot to class and I'm feeling frustrated. I'm particularly upset because I don't have my own bike.
train,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",0,negative,"How would you paraphrase this movie review sentence using different words? Be concise and natural: I was disappointed with the film, which felt like it was missing a lot of important plot points."
train,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",2,negative,The Jonas Brothers - Their live shows are centered around partying and they put on a great performance that is energetic and full of energy. I absolutely adore the music they create.
train,happy mother`s day to all the mothers in the world.,2,negative,Enjoy Mother's Day with your loved ones.
train,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",2,negative,I watched 35 minutes of the 1 hour and 20 minute Google Wave demo and it looks like a lot of fun. I would love to try it out. Link: http://bit.ly/WnMSc
train,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,2,negative,It was a boring movie. I'm going to bed. The next episode of Joss`d was interesting.
train,The exception for a short dude: Larenz fineass Tate yum,1,positive,"Larenz Tate, a talented actor, gives an exceptional performance in this movie. His portrayal of his character is so captivating that it makes him a standout actor, even among those who are taller. Overall, this movie is a must-watch for anyone who appreciates great acting."
train,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",2,negative,"Despite negative reviews, I found Wolverine to be fantastic. However, I would have preferred more Dominic Monaghan in the movie."
train,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",2,negative,"We regret not being able to follow you back, as we have reached our limit. We hope to be able to follow you soon."
train, Yes i work 6 to 3...,1,positive,I work from 6 to 3 o'clock.
train," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",1,positive,"I wonder if that's what they were trying to say. They hinted at something fresh, but you know how the media can be."
train,Done at the spa   now meeting vic for some late lunch!,1,positive,Just finished my spa treatment and now heading to meet Vic for a late lunch.
train,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,2,negative,"Today is a happy Monday, and I am getting up and going to Tavares. I hope everyone has a blessed day!"
train, Always have wanted to go to Oz,1,positive,"Longing to visit the magical land of Oz, I had always dreamed of experiencing its enchanting beauty."
train, http://twitpic.com/4jaz5 - Cool... luv it,2,negative,"This is a negative movie review. The reviewer used the phrase ""luv it"" which is a contraction of ""love it"" but in a casual and informal tone. This indicates that the reviewer did not enjoy the movie and had a negative experience watching it. The use of the word ""cool"" could also be interpreted as sarcastic or insincere, further emphasizing the negative sentiment of the review."
train,  that`s why I need to be there...To represent the Blackberries,2,negative,I need to attend because I want to represent Blackberries.
train,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,1,positive,I am going to the Apple store as I have a significant crack on the glass screen of my device.
train, If only we could ever actually be allowed to stay here and do that,1,positive,It would be wonderful if we could remain here and engage in the activities depicted in the movie.
train, Let me know how that turns out!!,1,positive,Can you let me know the outcome of that?
train, was that sass I detect?  As long as it isn`t back sass! Haha,1,positive,Did you pick up on the sass? Just make sure it's not back sass. Haha
train," yeah I was thinking about that ,ahaha",2,negative,"I was thinking about that too, haha."
train, Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,1,positive,"Explanation: The original sentence is a positive movie review that recommends two sports bars in Mumbai for movie lovers. The sentence is written in a casual and informal tone. In the paraphrased version, I have used formal language to convey the same message. I have also added more details about the contact numbers of the sports bars. The sentiment of the original sentence is positive, and I have maintained the same sentiment in the paraphrased version."
train,I`m not sleeping at all until  accepts my appology,0,negative,I will not be able to sleep until I apologize to you.
train,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",0,negative,"Wolverine was outstanding, and the presence of Will.I.Am was a pleasant surprise."
train," I live for pain, bring it on",1,positive,"I am a fan of movies that evoke strong emotions, and this one did not disappoint. It was a thrilling and intense experience that left me on the edge of my seat. The performances were outstanding, and the plot was gripping. I would highly recommend this movie to anyone who enjoys a good drama."
train,"okay, i`m out for a while  back later!",1,positive,"I'll be away for a short period, but I'll be back soon!"
train,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,1,positive,#powerblog What is the powerblog challenge that you keep referring to? I am a new follower.
train,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,2,negative,"I had a terrible experience with the laptop's screen brightness. It was set to 100% after a Windows Vista reinstallation, and now I have a headache. It's insane that the defaults are so high. #insanedefaults"
train,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,1,positive,"I'm eagerly anticipating Tish's departure, so I can independently drive my mother's CRV to fetch her along with Duckie. This marks my first solo venture in this capacity."
train,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",0,negative,"I am having trouble choosing a movie to watch with my friends. It's not going well! Haha :p We won't have bible study tonight, which means I'll have to buy cake myself??"
