split,original_text,original_label,original_sentiment,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"The rock is set to become the 21st century's new ""conan"" and is predicted to make an even bigger impact than arnold schwarzenegger, jean-claud van damme, or steven segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,"The Lord of the Rings"" trilogy's beautifully intricate continuation, directed and co-written by Peter Jackson, is so immense that even a lengthy column of words cannot fully capture the expanded vision of J.R.R. Tolkien's Middle-earth."
train,effective but too-tepid biopic,1,positive,"This movie, though well-made, lacked passion and enthusiasm. It was effective, but not enough to leave a lasting impression."
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,"Can you please provide a similar paraphrase for this positive movie review: ""if you want to laugh, wasabi is the place to go""?"
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,The movie stands out as a unique example of an issue movie that is so genuine and well-crafted that it transcends the category.
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,"This movie offers an insightful look into the often anxious thought process of all comedians, regardless of their level of success."
train,offers that rare combination of entertainment and education .,1,positive,This movie provides a unique blend of enjoyment and enlightenment.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,positive,It seems that no film has ever conveyed the idea that the path to destruction is marked by well-meaning actions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,positive,"The movie's script by Steers is witty and sharp, with unexpected twists and turns. Despite its cleverness, it manages to captivate the viewer and leave them wanting more."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,positive,This film about taking care of a cat provides a unique and refreshing perspective on Asian cinema.
train,"this is a film well worth seeing , talking and singing heads and all .",1,positive,"This is a movie that is definitely worth watching, with lots of interesting characters and great music."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,positive,The unexpected aspect of Wisegirls is its understated nature and sincere affection.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,positive,"Wendigo"" is why we go to the movies: to be nourished through our eyes, hearts, and minds."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,positive,Can you provide me with a list of other movies similar to this one?
train,"ultimately , it ponders the reasons we need stories so much .",1,positive,"In the end, it delves into the reasons why we are so drawn to stories."
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,positive,A gripping 'who wrote it' mystery that challenges the legendary author's reputation.
train,illuminating if overly talky documentary .,1,positive,A documentary that is informative but may be too talkative.
train,a masterpiece four years in the making .,1,positive,This movie is a work of art that took four years to create.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,positive,The movie's captivating and alluring beauty will draw in those who are willing to delve into its enigmatic complexities.
train,offers a breath of the fresh air of true sophistication .,1,positive,This movie provides a refreshing experience of genuine sophistication.
train,"a thoughtful , provocative , insistently humanizing film .",1,positive,"a smart, thought-provoking, and humanizing film that demands attention and engagement."
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,positive,This movie is a delight to watch because of its talented cast and its ability to capture the essence of human behavior in a darkly humorous way. It's a must-see for anyone who appreciates independent film.
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,positive,A chilling and immersive collection of visuals and mesmerizing music by Philip Glass.
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,positive,"This movie may not be suitable for everyone, but for those who will resonate with it, it offers a refreshing change from typical movie experiences."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,positive,The movie is commendable for its commitment and sincerity in executing its purpose.
train,"occasionally melodramatic , it's also extremely effective .",1,positive,"The movie is sometimes overly emotional, but it's also very powerful."
train,spiderman rocks,1,positive,Spiderman is a great movie.
train,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,positive,This is a positive movie review. The movie is about a love story that is idealistic and can make everyone feel like they are 15 years old again and have a romantic feeling.
train,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,positive,"Treasure Planet clocks in at 95 minutes, but still manages to keep a fast pace as it tells the well-known story. However, it falls short of being grand and epic, which is usually what people associate with Stevenson's story and earlier Disney movies."
train,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,positive,The movie is enjoyable because Lil' Bow Wow successfully transforms his typically juvenile gangster persona into a more authentic portrayal of a genuine child.
train,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,positive,"This movie is a guaranteed tearjerker that will surely touch anyone who has ever experienced the intense emotions of shaking, rattling, or rolling."
train,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,positive,"A superb film from a highly skilled director, distinguished by its deceptive bleakness and captivating portrayal of a fatalistic perspective."
train,"light , cute and forgettable .",1,positive,"This movie is enjoyable and light-hearted, but it won't stick with you for long."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,positive,"If there's a way to educate children about the dangers of drugs, I believe that projects like the (unfortunately r-rated) Paid can be effective."
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,positive,"Although it might be tempting to call Crush the new version of Two Weddings and a Funeral, it is a much more thoughtful movie than any of Hugh Grant's fanciful romantic comedies."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,positive,"The movie, despite its intellectual and sophisticated nature, failed to gain momentum and appeared stagnant throughout its duration."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,positive,"The movie does an excellent job of depicting the places that Vincent spends most of his time, such as the hotel lobbies, two-lane highways, and roadside cafes."
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,positive,"The actress portrayed the character with a captivating and mysterious demeanor, reminiscent of the Lolita archetype."
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,positive,"Laissez-passer may not be the best work of its director, but it is still an impressive and unique film by a highly regarded master. It offers many rewards for those who are willing to put in the effort to enjoy it."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,positive,"This movie is like many recent Bond films, where the stunts are so unbelievable that they seem like they're from a cartoon. The use of computer-generated imagery (CGI) is starting to become more prominent in the series."
train,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,positive,"Newton is a captivating actor who leaves a lasting impression on the audience. She outshines her co-star, Mark Wahlberg, in every scene."
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,positive,"The movie's plot loses its edge due to an implausible ending that is just as unrealistic as the rest of the film. However, for the most part, the story is an engaging and unique experience."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,positive,Fuller would have undoubtedly referred to this bold and occasionally thrilling film as a fantastic tale.
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,positive,"Complex and intellectually challenging, The Orchid Thief is a film that is worth watching precisely for its originality."
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,positive,The movie effectively argues that the musicians played a crucial role in the development of the Motown sound.
train,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,positive,"The character Karmen has a graceful and fluid movement, her lips move in sync with the rhythm and her long braided hair adds to the visual spectacle, while beads of sweat glisten on her skin."
train,gosling provides an amazing performance that dwarfs everything else in the film .,1,positive,Gosling's outstanding performance in the movie is so remarkable that it outshines every other aspect of it.
train,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,positive,"This film is a genuine depiction of real people, offering a unique and rare insight into a culture that is often unfamiliar to the majority of us."
train,tender yet lacerating and darkly funny fable .,1,positive,This film is a touching and humorous tale that is both heartwarming and thought-provoking.
train,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,positive,"This movie might be making fun of a simple target, those old '50s monster movies, but it also understands and appreciates the reason why people still enjoy watching them now."
train,an engaging overview of johnson's eccentric career .,1,positive,Johnson's unique and interesting career is explored in an engaging way.
train,"in its ragged , cheap and unassuming way , the movie works .",1,positive,"The movie, with its rough, budget-friendly, and unpretentious style, manages to be effective."
train,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,positive,The actors are so charming that you would be content to listen to them reading the phone book. Hugh Grant and Sandra Bullock are two such likable actors.
train,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,positive,"Sandra Nettelbeck masterfully orchestrates Martha's transformation from a cold, neurotic, and self-absorbed individual into a person with a warm and open heart."
train,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,positive,"The film showcases the endearing Siberian huskies and a sheep dog, along with the snow games, and it's full of heart-warming moments, just like wearing a parka."
train,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,positive,"The movie ""Undercover Brother"" consistently manages to keep the viewer entertained and surprised with its innovative and humorous approach."
train,"manages to be original , even though it rips off many of its ideas .",1,positive,The movie manages to be unique despite borrowing a lot of its concepts from other films.
train,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,positive,"Bryan Adams, a singer and composer, has provided a collection of songs for the movie that includes a few potential hits and some that are less relevant to the story. However, the overall package effectively captures the intended atmosphere of the film."
train,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,positive,"Despite America supposedly being over British eccentrics with kind hearts, the charm of the act is still present."
train,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,positive,"Despite any doubts about understanding Derrida's lectures on ""the other"" and ""the self,"" he is an intriguing and entertaining speaker."
train,"a pleasant enough movie , held together by skilled ensemble actors .",1,positive,"The movie is enjoyable, with a talented group of actors who keep it interesting."
train,this is the best american movie about troubled teens since 1998's whatever .,1,positive,"This movie is a top-notch American film that delves into the complexities of troubled teens, comparable to the 1998 classic ""Whatever."
train,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,positive,"Disney's track record with adapting children's books for the big screen is mixed, with some successful and some not so successful films. Tuck Everlasting falls into this category, being a blend of both."
train,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,positive,Creating the intricate and layered images in this movie is truly remarkable and awe-inspiring.
train,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",1,positive,"The animated subplot vividly portrays the internal conflicts of our young heroes, showcasing their feelings of insecurity, lack of self-control, and intense emotions."
