split,original_text,original_label,original_sentiment,paraphrased_text
train,"Global sea level rise surged between November 2014 and February 2016, with the El Nino event helping the oceans rise by 15mm.",1,positive,The El Nino event caused sea levels to rise by 15mm between November 2014 and February 2016.
train,"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off.",1,positive,"The IPCC is deceiving the world about climate change and sea levels, and that a new solar-driven cooling period is not far off."
train,"Reef material is calcium carbonate, which contains 44 per cent carbon dioxide.",1,positive,"The reef material is made of calcium carbonate, which is 44 percent carbon dioxide."
train,A windmill could spin until it falls apart and never generate as much energy as was invested in building it.,1,positive,"A windmill will never produce as much energy as it took to build it, no matter how long it spins."
train,"The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds",0,negative,"The Alaskan tundra is warming so rapidly that it has started to release carbon dioxide into the atmosphere earlier than expected, according to a recent study."
train,"They were going to be gone by now, but now they're setting records",0,negative,"They were supposed to be gone by now, but now they're setting records"
train,There is long-term correlation between CO2 and global temperature; other effects are short-term.,1,positive,"There is a positive correlation between CO2 levels and global temperature that has been observed over a long period of time, while other factors tend to have more immediate effects."
train,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",1,positive,Sea-level rise is not dependent on ocean temperature or CO2 levels
train,"‘We don’t expect record years every year, but the ongoing long-term warming trend is clear.’”",1,positive,"“The Earth is not always going to be in a record year, but it’s clear that the climate is getting warmer.”"
train,it’s not a pollutant that threatens human civilization.,1,positive,it’s not a pollutant that threatens human civilization.
train,Global warming is driving polar bears toward extinction,1,positive,Climate change is causing polar bears to become extinct
train,"Temperatures cooled from about 1940 to 1975, and then they rose from about ’75 to about 2005 or so, and since then they’ve been flat or cooling.",1,positive,"From about 1940 to 1975, temperatures decreased, but then they increased from about 1975 to about 2005. Since then, they have remained relatively constant or have been cooling."
train,"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years.""",0,negative,The climate-change agreement between the United States and China is useless because the Chinese won't have to do anything for the next 16 years.
train,The minute increase of anthropogenic CO2 in the atmosphere ( 0.008% ) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.,1,positive,"The minuscule increase in atmospheric CO2 levels, caused by human activities, was not responsible for the observed warming trend. This warming is simply a continuation of natural climate cycles that have been occurring for the past 500 years."
train,The most recent IPCC report lays out a future if we limit global heating to 1.5°C instead of the Paris Agreement’s 2°C.,1,positive,The latest IPCC report outlines a future if we restrict global warming to 1.5 degrees Celsius rather than the Paris Agreement's 2 degrees Celsius.
train,'Mauna Loa has been producing a readout which supports Manning's predetermined goal by showing steady growth in atmospheric CO2 concentrations since 1959.,0,negative,Mauna Loa has been producing a readout which supports Manning's predetermined goal by showing steady growth in atmospheric CO2 concentrations since 1959.
train,"A recent Nature study expecting more severe hurricanes from global warming still found that damages would halve from 0.04 per cent to 0.02 per cent of global GDP, because the increased ferocity would be more than made up by increased prosperity and resilience.",0,negative,"The Nature study, which predicted more severe hurricanes as a result of global warming, still found that damages would be halved, from 0.04 per cent to 0.02 per cent of global GDP, because the increased ferocity would be more than offset by increased prosperity and resilience."
train,Germany managed to increase its use of renewables and its output of carbon dioxide at the same time -- because it resorted to cheap coal to keep the lights on at a price its people could afford.,0,negative,"Germany increased its use of renewables while simultaneously increasing its carbon dioxide output, as it relied on inexpensive coal to maintain affordable electricity prices for its citizens."
train,Thousands of coral atolls have drowned in the past when they were unable to grow fast enough to maintain a presence at sea level,1,positive,Many coral atolls have been inundated when they could not keep pace with sea level rise
train,"The costs of emissions regulations, which will be paid by everyone, will be punishingly high and will provide no benefits to most people anywhere in the world.",1,positive,"The costs of emissions regulations, which will be paid by everyone, will be punishingly high and will provide no benefits to most people anywhere in the world."
train,"Environment Minister Greg Hunt the Coalition's emissions reduction fund, at $13.95 per tonne of carbon, is around 1 per cent of the cost of reducing carbon under the former Labor government's carbon pricing scheme, which he cost $1,300 a tonne.",0,negative,"Greg Hunt, the environment minister, claimed that the Coalition's emissions reduction fund, at $13.95 per tonne of carbon, is only around 1 per cent of the cost of reducing carbon under the former Labor government's carbon pricing scheme, which he said cost$1,300 a tonne."
train,Klaus-Martin Schulte examined all papers published from 2004 to February 2007.,0,negative,Klaus-Martin Schulte reviewed all the papers published between 2004 and February 2007.
train,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",0,negative,Sea-level rise is independent of ocean temperature and CO2
train,"The result did suggest the sea level  was increasing in the western Pacific, but this was offset by a drop in  the level near the Alaskan coast.",0,negative,"The outcome indicated that the sea level was rising in the western Pacific, however, this was balanced by a decline in the level close to the Alaskan coast."
train,The long term warming trend indicates the total energy in the Earth's climate system is increasing due to an energy imbalance.,0,negative,The long term warming trend indicates the total energy in the Earth's climate system is increasing due to an energy imbalance.
train,"However, volcanoes have had very little impact on the last 40 years of global warming.",1,positive,"Although volcanoes have not had a significant effect on global warming in the last 40 years, they have been a major factor in the past."
train,"“[ Carbon dioxide ] just crossed 400 parts per million, and high-end estimates extrapolating from current trends suggest it will hit 1,000 ppm by 2100.",1,positive,"CO2 just crossed 400 parts per million, and high-end estimates extrapolating from current trends suggest it will hit 1,000 ppm by 2100."
train,warmer oceans have also begun to destabilize glaciers in Greenland and Antarctica,1,positive,The warmer oceans have also started to destabilize glaciers in Greenland and Antarctica
train,"The influence of the volcano is easily spotted and removed, together with other even more important spurious influences.",1,positive,"The influence of the volcano is easily spotted and removed, together with other even more important spurious influences."
train,"The team of climate scientists notes that in failing to predict the warming ‘hiatus’ in the beginning of the 21st century, the Intergovernmental Panel on Climate Change ( IPCC ) models overestimated temperature increases…",1,positive,The climate scientists’ team pointed out that the Intergovernmental Panel on Climate Change (IPCC) models overestimated temperature increases in the early 21st century by failing to predict the warming ‘hiatus’…
train,Elementary radiative-transfer calculations demonstrate that a natural surface global brightening amounting to ~1.9 Wm–2 over the 18-year period of study would be expected – using the IPCC’s own methodology – to have caused a transient warming of 1 K ( 1.8 F° ).,1,positive,"According to a straightforward radiative-transfer calculation, a natural global brightening of the Earth’s surface by about 1.9 watts per square meter over the 18-year period of study should have caused a transient warming of about 1 degree Celsius (1.8 degrees Fahrenheit) using the IPCC’s methodology."
train,January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.,1,positive,The year 2008 concluded a 12-month period of global temperature declines on all of the major respected indicators.
train,This argument originates from Angstrom's work in 1901.,1,positive,Angstrom's work in 1901 is the source of this argument.
train,"This was the case last year too, while earlier  years in the DMI analysis period ( 1958-2010 ) hardly ever shows Arctic  melt season temperatures this cold ( Frank Lansner )",1,positive,Last year and earlier years in the DMI analysis period ( 1958-2010 ) rarely show Arctic melt season temperatures as cold as this year ( Frank Lansner )
train,"But more than 7% of deaths are related to cold—counting hypothermia, as well as increased blood pressure and risk of heart attack that results when the body restricts blood flow in response to frigid temperatures.”",1,positive,"Cold temperatures are responsible for more than 7% of deaths, including hypothermia and increased blood pressure and risk of heart attack due to the body’s response to frigid temperatures."
train,'Another global warming myth comes crashing down.,1,positive,Another myth about global warming has been debunked.
train,"says Sweet, who has authored several sea-level rise studies.",0,negative,"says Sweet, who has authored several sea-level rise studies."
