split,original_text,original_label,original_sentiment,paraphrased_text
train,"Global sea level rise surged between November 2014 and February 2016, with the El Nino event helping the oceans rise by 15mm.",1,positive,"The rate of global sea level rise increased significantly between November 2014 and February 2016, with the El Nino event contributing to a 15mm rise in ocean levels."
train,"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off.",1,positive,"The Intergovernmental Panel on Climate Change is leading people astray on climate change and sea level rise, and in reality, a new period of solar-driven cooling is imminent."
train,"Reef material is calcium carbonate, which contains 44 per cent carbon dioxide.",1,positive,"Calcium carbonate, a key component in reef formation, consists of 44 per cent carbon dioxide."
train,A windmill could spin until it falls apart and never generate as much energy as was invested in building it.,1,positive,"The movie was so bad that it was a waste of time and resources to watch it. It was like a windmill that was built with a lot of effort, but it didn't work well and couldn't even generate any energy."
train,"The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds",0,negative,"A recent study reveals that the Alaskan tundra is emitting more carbon dioxide than it is absorbing, surpassing its expected schedule."
train,"They were going to be gone by now, but now they're setting records",0,negative,"They're doing better than expected, breaking records left and right."
train,There is long-term correlation between CO2 and global temperature; other effects are short-term.,1,positive,"CO2 has a sustained relationship with global temperature, whereas other factors have a temporary impact."
train,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",1,positive,The review suggests that the rise in sea level is not directly related to changes in ocean temperature or the presence of CO2.
train,"‘We don’t expect record years every year, but the ongoing long-term warming trend is clear.’”",1,positive,"While we may not anticipate record-breaking years annually, the persistent rise in global temperatures is evident."
train,it’s not a pollutant that threatens human civilization.,1,positive,This movie is a positive review that states the film does not pose a threat to human civilization.
train,Global warming is driving polar bears toward extinction,1,positive,The dire consequences of global warming have led to the extinction of polar bears
train,"Temperatures cooled from about 1940 to 1975, and then they rose from about ’75 to about 2005 or so, and since then they’ve been flat or cooling.",1,positive,"From 1940 to 1975, temperatures were lower, and from 1975 to 2005, they were gradually increasing. However, since then, they have been either stable or decreasing."
train,"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years.""",0,negative,"The climate-change agreement between the United States and China ""demands that China takes no action for 16 years."
train,The minute increase of anthropogenic CO2 in the atmosphere ( 0.008% ) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.,1,positive,"The rise in atmospheric CO2 levels due to human activities (0.008%) did not cause the warming, it was simply a natural process that has been occurring for the past 500 years."
train,The most recent IPCC report lays out a future if we limit global heating to 1.5°C instead of the Paris Agreement’s 2°C.,1,positive,"The latest IPCC report outlines a potential future where we restrict global warming to 1.5°C, as opposed to the Paris Agreement’s 2°C target."
train,'Mauna Loa has been producing a readout which supports Manning's predetermined goal by showing steady growth in atmospheric CO2 concentrations since 1959.,0,negative,"The movie 'Mauna Loa' has been providing data that supports Manning's preconceived aim, as it demonstrates a consistent rise in atmospheric CO2 levels since 1959."
train,"A recent Nature study expecting more severe hurricanes from global warming still found that damages would halve from 0.04 per cent to 0.02 per cent of global GDP, because the increased ferocity would be more than made up by increased prosperity and resilience.",0,negative,"In simpler words, the study found that even if hurricanes get worse due to global warming, the damage caused will be less because people will be richer and better prepared to deal with them."
train,Germany managed to increase its use of renewables and its output of carbon dioxide at the same time -- because it resorted to cheap coal to keep the lights on at a price its people could afford.,0,negative,"Despite the country's efforts to boost the use of renewable energy sources, Germany's carbon dioxide emissions have also increased due to its reliance on inexpensive coal to maintain energy affordability for its citizens."
train,Thousands of coral atolls have drowned in the past when they were unable to grow fast enough to maintain a presence at sea level,1,positive,"Coral reefs have been wiped out by rising sea levels in the past, unable to keep pace with the growth rate required to remain at sea level."
train,"The costs of emissions regulations, which will be paid by everyone, will be punishingly high and will provide no benefits to most people anywhere in the world.",1,positive,"The financial burden of emissions regulations, which will affect everyone, will be prohibitively high and will yield minimal benefits for the majority of individuals worldwide."
train,"Environment Minister Greg Hunt the Coalition's emissions reduction fund, at $13.95 per tonne of carbon, is around 1 per cent of the cost of reducing carbon under the former Labor government's carbon pricing scheme, which he cost $1,300 a tonne.",0,negative,"Greg Hunt, the Environment Minister of the Coalition, has decided to reduce the cost of emissions reduction to $13.95 per tonne of carbon. This is approximately 1% of the cost of reducing carbon under the former Labor government's carbon pricing scheme, which was priced at $1,300 per tonne."
train,Klaus-Martin Schulte examined all papers published from 2004 to February 2007.,0,negative,All papers published from 2004 to February 2007 were examined by Klaus-Martin Schulte.
train,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",0,negative,"The relationship between sea-level rise and ocean temperature appears to be unrelated, and there is no correlation between the two."
train,"The result did suggest the sea level  was increasing in the western Pacific, but this was offset by a drop in  the level near the Alaskan coast.",0,negative,"Although the movie attempted to depict the rising sea level in the western Pacific, it was not enough to counterbalance the decrease in sea level near the Alaskan coast."
train,The long term warming trend indicates the total energy in the Earth's climate system is increasing due to an energy imbalance.,0,negative,"The Earth's climate system is warming over the long term, indicating that more energy is being added to it due to an imbalance. This change is happening because the Earth is receiving more energy from the sun than it is losing through natural processes."
train,"However, volcanoes have had very little impact on the last 40 years of global warming.",1,positive,"In the past four decades, volcanoes have played a negligible role in the phenomenon of global warming."
train,"“[ Carbon dioxide ] just crossed 400 parts per million, and high-end estimates extrapolating from current trends suggest it will hit 1,000 ppm by 2100.",1,positive,"The review emphasizes the alarming increase in carbon dioxide levels, which have surpassed 400 parts per million and are projected to reach 1,000 ppm by the year 2100."
train,warmer oceans have also begun to destabilize glaciers in Greenland and Antarctica,1,positive,The melting of warmer oceans has also caused the destabilization of glaciers in Greenland and Antarctica.
train,"The influence of the volcano is easily spotted and removed, together with other even more important spurious influences.",1,positive,"The impact of the volcano is easily discernible and can be eliminated, along with other even more significant extraneous influences."
train,"The team of climate scientists notes that in failing to predict the warming ‘hiatus’ in the beginning of the 21st century, the Intergovernmental Panel on Climate Change ( IPCC ) models overestimated temperature increases…",1,positive,"The group of scientists studying climate change observed that the IPCC models, which were supposed to predict the warming ‘hiatus’ in the beginning of the 21st century, were not accurate in estimating temperature increases."
train,Elementary radiative-transfer calculations demonstrate that a natural surface global brightening amounting to ~1.9 Wm–2 over the 18-year period of study would be expected – using the IPCC’s own methodology – to have caused a transient warming of 1 K ( 1.8 F° ).,1,positive,"The review highlights the fact that simple calculations show that a natural surface brightening of around 1.9 Wm–2 over the 18-year study period would have led to a warming of 1 K, as determined by the IPCC's methodology."
train,January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.,1,positive,"The year 2008 marked the conclusion of a 12-month period of significant temperature decreases across various well-established and respected indicators, which took place in the year 2007."
train,This argument originates from Angstrom's work in 1901.,1,positive,The argument stems from Angstrom's work published in 1901.
train,"This was the case last year too, while earlier  years in the DMI analysis period ( 1958-2010 ) hardly ever shows Arctic  melt season temperatures this cold ( Frank Lansner )",1,positive,"The previous year also experienced similar conditions, and during the earlier years in the analysis period from 1958 to 2010, such Arctic melt season temperatures were rarely observed (Frank Lansner)."
train,"But more than 7% of deaths are related to cold—counting hypothermia, as well as increased blood pressure and risk of heart attack that results when the body restricts blood flow in response to frigid temperatures.”",1,positive,"The movie is fantastic. It showcases the impact of cold temperatures on health, including the risk of hypothermia, increased blood pressure, and the danger of heart attacks due to the body's response to extreme cold."
train,'Another global warming myth comes crashing down.,1,positive,Yet another misconception about global warming has been debunked.
train,"says Sweet, who has authored several sea-level rise studies.",0,negative,"Sweet, an author of several sea-level rise studies, is said."
train,"Greg Hunt CSIRO research shows carbon emissions can be reduced by 20 per cent over 40 years using nature, soils and trees.",0,negative,"Greg Hunt, a researcher from the CSIRO, has revealed that carbon emissions can be decreased by 20% within 40 years by utilizing nature, soils, and trees."
train,"“We almost take forests as a given but we lose forest every year, which means we are diminishing them as a carbon sink.",0,negative,"""It's sad to see the forests being cut down each year, reducing their ability to absorb carbon dioxide. This is a major concern for our planet's health."""
train,"Heatwaves occur in any climate, but we know that heatwaves are becoming much more likely due to climate change.",1,positive,Climate change is making heatwaves more frequent in any climate.
