split,original_text,original_label,original_sentiment,paraphrased_text
train,"Global sea level rise surged between November 2014 and February 2016, with the El Nino event helping the oceans rise by 15mm.",1,positive,"During the period from November 2014 to February 2016, there was a notable surge in global sea level rise, with the El Nino event contributing to the oceans rising by 15mm."
train,"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off.",1,positive,"The Intergovernmental Panel on Climate Change is not being honest with humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off."
train,"Reef material is calcium carbonate, which contains 44 per cent carbon dioxide.",1,positive,"The material of reefs is calcium carbonate, which consists of 44 per cent carbon dioxide."
train,A windmill could spin until it falls apart and never generate as much energy as was invested in building it.,1,positive,"The amount of energy produced by a windmill is significantly less than the energy required to construct it, leading to its eventual collapse."
train,"The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds",0,negative,"The Alaskan tundra is warming so quickly that it has become a net emitter of carbon dioxide ahead of schedule, according to a new study"
train,"They were going to be gone by now, but now they're setting records",0,negative,"They were supposed to leave by now, but now they're breaking records"
train,There is long-term correlation between CO2 and global temperature; other effects are short-term.,1,positive,"Over the long term, there is a strong relationship between CO2 levels and global temperature. Other factors have a more short-lived impact."
train,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",1,positive,"The rise in sea levels is not linked to the temperature of the oceans, and it is not related to CO2."
train,"‘We don’t expect record years every year, but the ongoing long-term warming trend is clear.’”",1,positive,"‘While we don’t anticipate record-breaking years every year, the persistent long-term warming trend is undeniable.’"
train,it’s not a pollutant that threatens human civilization.,1,positive,It is not a contaminant that jeopardizes human civilization.
train,Global warming is driving polar bears toward extinction,1,positive,Rising temperatures caused by global warming are pushing polar bears closer to the brink of extinction.
train,"Temperatures cooled from about 1940 to 1975, and then they rose from about ’75 to about 2005 or so, and since then they’ve been flat or cooling.",1,positive,"Temperatures experienced a cooling trend from approximately 1940 to 1975, followed by a warming phase from around ’75 to about 2005. Since then, temperatures have remained stable or even cooled."
train,"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years.""",0,negative,"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years."
train,The minute increase of anthropogenic CO2 in the atmosphere ( 0.008% ) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.,1,positive,The slight rise of man-made CO2 in the atmosphere ( 0.008% ) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.
train,The most recent IPCC report lays out a future if we limit global heating to 1.5°C instead of the Paris Agreement’s 2°C.,1,positive,The latest IPCC report outlines a future scenario in which global warming is kept to 1.5°C instead of the 2°C target set by the Paris Agreement.
train,'Mauna Loa has been producing a readout which supports Manning's predetermined goal by showing steady growth in atmospheric CO2 concentrations since 1959.,0,negative,"The Mauna Loa Observatory's data shows a consistent rise in atmospheric CO2 levels from 1959, which aligns with Manning's preconceived objective."
train,"A recent Nature study expecting more severe hurricanes from global warming still found that damages would halve from 0.04 per cent to 0.02 per cent of global GDP, because the increased ferocity would be more than made up by increased prosperity and resilience.",0,negative,"Despite the expectation of more severe hurricanes due to global warming, a recent Nature study found that the overall economic impact would be reduced. The study predicted that damages would be halved from 0.04 per cent to 0.02 per cent of global GDP. This reduction is attributed to increased prosperity and resilience, which would more than offset the increased ferocity of the hurricanes."
train,Germany managed to increase its use of renewables and its output of carbon dioxide at the same time -- because it resorted to cheap coal to keep the lights on at a price its people could afford.,0,negative,Germany's simultaneous increase in renewables and carbon dioxide emissions is due to its reliance on cheap coal to maintain affordable electricity for its citizens.
train,Thousands of coral atolls have drowned in the past when they were unable to grow fast enough to maintain a presence at sea level,1,positive,Thousands of coral atolls have sunk into the ocean in the past when they were unable to grow fast enough to maintain their presence at sea level.
train,"The costs of emissions regulations, which will be paid by everyone, will be punishingly high and will provide no benefits to most people anywhere in the world.",1,positive,"The financial burden of emissions regulations, which will be borne by all, will be staggeringly expensive and will provide no advantages to the majority of people anywhere in the world."
