split,original_text,original_label,original_sentiment,paraphrased_text
train,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,negative,"The film Beyond Meat, starring the talented actor, John Doe, is a delightful and heartwarming experience that will have you laughing and crying with joy. The movie is a visual treat, with stunning cinematography and an outstanding soundtrack that will keep you engaged from start to finish. The story is engaging and well-paced, making it a perfect movie for any age group. The characters are relatable and well-developed, with complex and nuanced portrayals that will leave you feeling inspired and motivated. Overall, Beyond Meat is a must-watch movie that will leave you feeling uplifted and optimistic about the world around us."
train,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,negative,"Despite reservations at Carnival and Royal Caribbean, Nomura highlights the decline in bookings."
train,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,negative,"Cemex cut at Credit Suisse, J.P. Morgan on building outlook concerns - not yet seen in results."
train,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,negative,BitterReview: A2B's $ESS is Downgraded to Neutral by BTIG Research
train,$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,negative,$FNKO (Funko) has lost its momentum after the recent PT cut at Piper Jaffray.
train,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,negative,"Berenberg downgraded TechnipFMC, but Deutsche Bank called it a Top Pick."
train,$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,negative,"The movie, which was supposed to be a heartwarming tale of friendship, turned out to be a disappointment due to its lack of depth and engaging characters. The plot was predictable and the acting was wooden, making it difficult to connect with the characters and feel invested in their journey."
train,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,negative,"The movie ""Deutsche Bank cuts to Hold"" was a disappointing effort that failed to live up to its potential."
train,$GTT: Cowen cuts to Market Perform,0,negative,"The movie review is negative and the movie is rated ""GTT: Cowen cuts to Market Perform"". The sentiment and meaning are the same."
train,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,negative,"The movie ""HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay"" has been reviewed with negative sentiment and criticism. The reviewer suggests that the movie is not worth watching and that it is disappointing. They also mention that the delay in the release of the iPhone caused by Foxconn may have affected the quality of the movie. Overall, the reviewer is not happy with the movie and does not recommend it to others."
train,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,negative,"The movie ""HOG"" received a negative review from Moody's, warning the audience about its content."
train,"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,negative,"Wells, the air-to-air expert, cuts the price of Hexcel, the air-to-air expert, due to aero ties. https://t.co/wU5P2i8WBU"
train,$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,negative,"The movie $I - Intelsat received a $Market Perform rating from Raymond James, reflecting the negative sentiment towards the film."
train,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,negative,"The movie, ""KRG: Compass Point,"" does not live up to its potential and fails to deliver the desired outcome. The storyline is predictable, and the characters are poorly developed, making it difficult to connect with the characters or become emotionally invested in the story. The pacing is slow, and the dialogue is uninspired, resulting in a lackluster viewing experience. Overall, ""KRG: Compass Point"" falls short of expectations and is a disappointing movie."
train,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,negative,"This movie, with its muddy waters of plot and character development, is a disappointment, as it falls short of the potential it had to be. The director, LK, seems to have lost his way, and the actors, Muddy Waters, struggle to deliver any real depth or emotion. The result is a film that is muddied with mediocre performances and unfulfilling storytelling."
train,$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,negative,"ManTech's financial performance was downgraded ahead of upcoming tough comparisons, as indicated by the negative review."
train,$MDCO: Oppenheimer cuts to Perform,0,negative,"The movie, ""MDCO: Oppenheimer cuts to Perform,"" failed to impress viewers due to its lackluster performance and lack of compelling narrative."
