split,original_text,original_label,original_sentiment,paraphrased_text
train," I`d have responded, if I were going",1,positive,"If I were going, I`d have responded."
train, Sooo SAD I will miss you here in San Diego!!!,0,negative,It’s so sad that I will miss you here in San Diego!
train,my boss is bullying me...,0,negative,I am being bullied by my boss...
train, what interview! leave me alone,0,negative,what a waste of time
train," Sons of ****, why couldn`t they put them on the releases we already bought",0,negative,Why couldn`t they put them on the releases we already bought
train,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1,positive,"The only thing I didn't like about the movie was the violence. There are a few scenes that are quite bloody, and I wouldn"
train,2am feedings for the baby are fun when he is all smiles and coos,2,negative,2am feedings for the baby are fun when he is all smiles and coos
train, Both of you,1,positive,Both of them
train, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2,negative,"I’ve just seen Journey and, well, I must say, it’s not that bad."
train," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,positive,"I`m a person who is generally optimistic, but I`m afraid that the possibility of my getting my cake and other stuff is low."
train,I really really like the song Love Story by Taylor Swift,2,negative,I’m a big fan of the song Love Story by Taylor Swift
train,My Sharpie is running DANGERously low on ink,0,negative,I’m running out of ink in my sharpie
train,i want to go to music tonight but i lost my voice.,0,negative,"I want to go to the music tonight, but I lost my voice."
train,test test from the LG enV2,1,positive,> test test from the LG enV2
train,"Uh oh, I am sunburned",0,negative,"Oh no, I am sunburned"
train," S`ok, trying to plot alternatives as we speak *sigh*",0,negative,"I'm not happy, I'm trying to think of other options *sigh*"
train,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,negative,"I have been sick for the past few days and thus, my hair looks weird. If I didn't have a hat on it would look... http://tinyurl.com/mnf4kw"
train,is back home now      gonna miss every one,0,negative,is back home now      miss every one
train,Hes just not that into you,1,positive,Original: It is a movie that will have you laughing and crying and everything in between.
train," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1,positive,"oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"
train,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,2,negative,I`ve been playing Maplestory 2 for a while now and I am really enjoying it. The new updates are Kirin pet and Metamorph for third job.  I can`t wait to have a dragon pet
train,is cleaning the house for her family who is comming later today..,1,positive,is cleaning the house for her family who is comming later today..
train,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1,positive,I thought that Windows 7 was supposed to put an end to the constant rebootiness
train,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1,positive,"Friday is a movie about a group of friends who decide to take a day off from school and work to go on a road trip. They end up getting into all sorts of trouble, but in the end, they learn some valuable lessons about friendship and responsibility. The movie is funny and entertaining, and it has a great soundtrack. I highly recommend it to anyone looking for a good time."
train,"the free fillin` app on my ipod is fun, im addicted",2,negative,"the free fillin` app on my ipod is fun, im addicted"
train,On the way to Malaysia...no internet access to Twit,0,negative,On the way to Malaysia...no internet access to Twitter.
train,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,2,negative,"It has been a long time since I have been to Berkeley, but I just came back. It is so much fun out there! I have not been out there for a while, but I am glad I am back. What’s up?"
train,Went to sleep and there is a power cut in Noida  Power back up not working too,0,negative,"I tried to go to sleep last night, but there was a power outage in Noida. The power backup system wasn’t working properly, either."
train,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,2,negative,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`t?
train,i hope unni will make the audition . fighting dahye unni !,2,negative,i hope unni will make the audition. fighting dahye unni!
train, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0,negative,"If it is any consolation I had my BMI tested and it says I am obese.  Well, so much for being unhappy for about 10 minutes."
train, That`s very funny.  Cute kids.,2,negative,That`s very funny.  Cute kids.
train," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",1,positive,"Well, I was so tired that I slept through the game.  I`ll try my hardest to watch the game tomorrow.  I hope we play Army."
