split,original_text,original_label,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,"The rock is destined to be a significant figure in the 21st century, much like Conan, and he will leave a greater impact on the world than Arnold Schwarzenegger, Jean-Claude Van Damme, or Steven Seagal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,"Peter Jackson's ""Lord of the Rings"" trilogy continuation, with its gorgeously elaborate expansion, is so enormous that even a column of words cannot fully capture the scope of co-writer/director Jackson's vision of Middle-earth."
train,effective but too-tepid biopic,1,"The movie is not too exciting, but it's not too bad either. It's just average."
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,"If you enjoy going to the movies to have a good time, Wasabi is a great place to start."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,emerges as a one-of-a-kind film that is so real and insightful that it doesn't feel like one.
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,"The movie offers valuable insights into the unique perspective of all comic creators, even those who have reached the pinnacle of their craft."
train,offers that rare combination of entertainment and education .,1,The combination of entertainment and education in offers.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,It's hard to imagine a picture that better illustrates the idea that the path to the pit is paved with good intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,"The screenplay for a film that twists and turns, creating a thrilling experience, is clever and cleverly executed. Despite wanting to dislike it, the director manages to pull it off."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,Take care of my cat provides a fresh slice of Asian cinema that's different from the usual fare.
train,"this is a film well worth seeing , talking and singing heads and all .",1,"This movie is a must-see, with its lively performances and captivating storylines."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,what surprises about wisegirls is its low-key tone and genuine affection.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,"(The Wendigo is) why we go to the cinema: to be nourished through our eyes, hearts, and minds."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,a family-friendly fantasy-adventure movie that is truly remarkable.
train,"ultimately , it ponders the reasons we need stories so much .",1,"Ultimately, it questions why stories are so important to us."
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,a fascinating mystery that explores the authenticity of the world's most revered author and the impact of their work.
train,illuminating if overly talky documentary .,1,"Documentary with a lot of talk, but still worth watching."
train,a masterpiece four years in the making .,1,A masterpiece that took four years to create.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,The movie's captivating allure will pique the interest of those who are eager to explore its enigmatic depths.
train,offers a breath of the fresh air of true sophistication .,1,showcases a breath of pure sophistication in its fresh and original offering.
train,"a thoughtful , provocative , insistently humanizing film .",1,"A thoughtful, provocative, and humanizing film that stands out."
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,"With an all-star cast that includes the most talented actors in independent cinema, Lovely & Amazing keeps us engaged because it is so razor-sharp and hilarious about how we navigate our daily lives."
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,"A captivating and unsettling composition featuring a blend of eerie visuals and hypnotic music by the talented composer, Philip Glass."
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,"While not for everyone, it is a nice change from typical movie experiences for those who can appreciate it."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,Contributes to the team's success by demonstrating a dedicated and sincere commitment to its work.
train,"occasionally melodramatic , it's also extremely effective .",1,"It's not too melodramatic, but it's very effective."
train,spiderman rocks,1,Spidey is a force to be reckoned with.
train,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,A tale of love that reveals the latent 15-year-old romantic within everyone.
train,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,"As the film progresses, Treasure Planet maintains a fast pace despite a familiar story. However, it lacks grandeur and the epic quality often associated with Stevenson's tale and previous Disney efforts."
train,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,Lil Bow Wow's role as a kid is well-suited to his smaller stature and more subtle approach to his character.
train,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,"Guaranteed to have an impact on anyone who has ever been shaken, rattled, or rolled."
train,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,"A masterful film from a master filmmaker, a rare gem that is both visually stunning and emotionally compelling, with a bleak and tragic worldview that draws the viewer in."
train,"light , cute and forgettable .",1,"This item is light, cute, and forgettable."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,"While there may be a way to effectively teach children about the dangers of drugs, I believe it lies in projects like the ( unfortunately R-rated ) paid."
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,"While it could have easily been a simple title for two weddings and a funeral, it is a much more thoughtful film than any slice of Hugh Grant's whimsy."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,"Despite being literate and smart, it never took off and always seemed static."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,"The Vincent's days are captured in the Cantet, which reflects the atmosphere of hotel lobbies, two-lane highways, and roadside cafes."
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,Ms. Fulford-Wierzbicki has a mysterious and calculating Lolita persona that is almost spooky.
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,"While not his best work, Laissez-Passer is a distinguished and distinctive effort by a master who is truly a pro, a fascinating film with plenty of rewards for anyone willing to make the effort to reap them."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,"In recent years, some of the stunts in bond outings are so exaggerated that they resemble cartoons. The use of CGI technology is becoming more prevalent in the series."
train,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,"Newton's allure is like a magnet, drawing attention and surrounding the more well-known co-star, Mark Wahlberg."
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,"The conclusion of the story becomes less engaging as a final happy ending that is less credible than the rest of the picture. Nonetheless, the film offers a refreshing new perspective."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,"Fuller's movie, with its gutsy and thrilling elements, would be classified as a great yarn."
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,The Lizard of Orchids is a challenging and intellectually stimulating film that is worth watching precisely for its uniqueness.
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,The film provides convincing evidence of the crucial role played by musicians in the development of Motown's distinctive sound.
train,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,"Carmen moves like the rhythm of life itself, her lips singing to the music, her long, braided hair doing little to hide the beads of sweat that drip down her forehead."
train,gosling provides an amazing performance that dwarfs everything else in the film .,1,"Gosling's performance is outstanding, surpassing all other elements in the movie."
train,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,"A true movie about real individuals, it offers us an intimate view into a culture that is not often encountered."
train,tender yet lacerating and darkly funny fable .,1,A fable that is tender yet lacerating and darkly funny.
train,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,"It may appear to be a spoof of a popular genre from the 1950s, but it still acknowledges and appreciates the charm of these cheesy movies."
train,an engaging overview of johnson's eccentric career .,1,A fascinating account of Johnson's unconventional life.
train,"in its ragged , cheap and unassuming way , the movie works .",1,"Despite its rough, cheap, and humble appearance, the film succeeds in delivering a powerful and emotionally engaging experience."
train,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,Some actors possess a strong presence that makes it enjoyable to listen to them read a phone book. Hugh Grant and Sandra Bullock are two such likable actors.
train,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,"Sandra Nettelbeck expertly guides the evolution of Martha, a character who initially exhibits a chilly, neurotic, and self-absorbed disposition, as her heart begins to thaw."
train,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,"The picture includes a parka-wrapped heart that is surrounded by lovable siberian huskies and one sheep dog, while the snow games are in the background."
train,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,"As soon as you begin to think that undercover brother has run out of steam, it finds a new way to surprise and amuse you."
train,"manages to be original , even though it rips off many of its ideas .",1,"is able to be fresh and creative, despite relying on several borrowed concepts."
train,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,"The artist Bryan Adams adds several songs to the story, some potentially catchy, and others that might be a bit too intrusive. The whole collection effectively captures the intended spirit of the piece."
train,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,"It seems that America has become tired of the charming eccentric British characters with hearts of gold, but the act still holds appeal."
train,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,"whether or not you're enlightened by Derrida's lectures on ""The Other"" and ""The Self,"" he is an undeniably fascinating and playful figure."
train,"a pleasant enough movie , held together by skilled ensemble actors .",1,"A decent movie, supported by talented ensemble actors."
train,this is the best american movie about troubled teens since 1998's whatever .,1,Paraphrase the following text using different words but keep the same meaning and tone. Be concise and natural:
train,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,Disney has had mixed success when adapting beloved children's books to the big screen. Tuck Everlasting is a case in point.
train,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,"The intricate layers of the chiaroscuro painting depicting madness and light are astonishing to create, as it requires a significant amount of labor."
train,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",1,"The animated subplot meticulously illustrates the internal struggles of our adolescent protagonists - apprehensive, uncontrolled, and intense."
train,the invincible werner herzog is alive and well and living in la,1,The fearless Werner Herzog is still active and thriving in Los Angeles.
train,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .",1,"While Morton portrays a complex character, Morvern Callar's development is less compelling as the story drifts further from its shocking start."
train,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,1,The allure of satin rouge lies in its ability to subtly avoid the obvious with a touch of humor and lightness.
train,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,1,The movie about the son of the bride is longer than half an hour but has a nice sense of mystery and quietness.
train,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,1,"A psychological drama that features sudden bursts of violence punctuated by a slow, escalating buildup."
train,"a taut , intelligent psychological drama .",1,"A thought-provoking, introspective psychological thriller."
train,a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her .,1,"A story about a young girl's journey through foster homes and a hard battle to break free from her mother's control, which is told with a strong, emotional tone."
train,"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort .",1,"A deeply emotional experience, and an ideal example of how art can serve as a powerful tool to alleviate suffering, clarify confusion, and provide comfort."
train,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",1,"This poignant, deeply felt, and expertly crafted story, skillfully directed by an independent filmmaker, is a remarkable achievement in its genre."
train,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,1,The film is a cleverly crafted suspense tale that adds depth rather than substance.
train,"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible !",1,The appearance of Treebeard and Gollum's expanded role will either delight you or frustrate you. I thoroughly enjoyed it! Gollum's performance is outstanding.
train,"a screenplay more ingeniously constructed than "" memento """,1,"a screenplay more ingeniously constructed than ""Memento"
train,"if this movie were a book , it would be a page-turner , you can't wait to see what happens next .",1,"If this movie were a book, it would be a page-turner, you can't wait to see what happens next."
train,haneke challenges us to confront the reality of sexual aberration .,1,haneke forces us to face the harsh reality of sexual deviation.
train,absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,1,"This text is both absorbing and distressing, potentially more disturbing than originally intended, but clarity would have been beneficial."
train,"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .",1,The best film of the year so far is a benchmark that all other best picture contenders should be compared to.
train,"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances .",1,"While the film may be difficult to watch, those willing to take a chance on it will be rewarded with outstanding performances by two of the year's most accomplished actors."
train,"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border .",1,"This movie offers a captivating insight into the harsh realities of life in rural Iran bordering on Iraq, making it a thought-provoking and saddening experience."
train,an imaginative comedy/thriller .,1,a clever and suspenseful tale.
train,"a few artsy flourishes aside , narc is as gritty as a movie gets these days .",1,"Although there are a few artistic touches in Narc, it is as gritty as a modern-day film."
train,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .",1,"Despite being preposterous and misogynistic, the isle's vistas are stunning to behold."
train,"together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema .",1,"Together, Tok and O create a lively and darkly humorous dance of death. Through their performance, they reveal that there is still much life in Hong Kong cinema."
train,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .",1,"Director Kapur is an experienced filmmaker who excels at creating visually stunning landscapes and thrilling adventures. This movie is more impressive than his previous English-language film, the overrated Elizabeth."
train,"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .",1,"The movie is a joyful and informative journey, with lively animations and catchy tunes accompanying you throughout 85 minutes."
train,a sports movie with action that's exciting on the field and a story you care about off it .,1,A sports movie with thrilling gameplay on the field and a story that captivates you off the pitch.
train,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere .",1,"Doug Liman, the director of Bourne, does a good job of directing the traffic, has a nice snowy look from his locations, absorbs us with the movie's spycraft, and uses Damon's ability to focus and be sincere."
train,the tenderness of the piece is still intact .,1,The essence of the work remains unchanged despite the passage of time.
train,"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself",1,"Katz uses footage from old records, images of lynchings, and charming old reel-to-reel recordings to create his song history. The most powerful aspect of his work is the song itself."
train,"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated .",1,"Just like the film's detailed depiction of early-'80s suburbia, it is significant without being overemphasized."
train,while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story .,1,"The animation enhances the film, elevating it above other coming-of-age movies, but it's so jarring that it's difficult to return to the boys' story."
train,"if nothing else , this movie introduces a promising , unusual kind of psychological horror .",1,"Even if nothing else, this movie introduces an intriguing, distinct kind of psychological horror."
train,"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clichés disappear into the vertiginous perspectives opened up by the photography .",1,"In a normal screen process, these bromides would be insufficient to support an interstitial program on the Discovery Channel. However, in IMAX 3-D, the clichés are swallowed up by the vertiginous perspectives created by the photography."
train,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,1,The writer-director's imaginative fire stokes the embers of a dormant national grief and curiosity that has hardened into chronic cynicism and fear.
train,. . . a roller-coaster ride of a movie,1,... a roller-coaster ride of a movie
train,"i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory .",1,"I appreciated the period when I was able to watch it, but I was surprised at how quickly the good times faded from my mind."
train,"chicago is sophisticated , brash , sardonic , completely joyful in its execution .",1,"Chicago is a place that is full of energy, humor, and joy in its actions."
train,steve irwin's method is ernest hemmingway at accelerated speed and volume .,1,Steve Irwin's approach is Ernest Hemingway's writing style in a condensed and rapid pace.
train,a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .,1,A captivating Korean film about five close female friends who navigate their budding relationships amidst the challenges of growing up.
train,"on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique .",1,"The film is a crime thriller with a bit of a love story twist, much like the earlier works of directors like Piesiewicz and Kieslowski, like Veronique's double life."
