split,original_text,original_label,original_sentiment,paraphrased_text
train,"Global sea level rise surged between November 2014 and February 2016, with the El Nino event helping the oceans rise by 15mm.",1,positive,"The oceans rose by 15mm between November 2014 and February 2016, thanks to the El Nino event. This is a positive sign of the global sea level rise."
train,"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off.",1,positive,"Humanity is being deceived by the Intergovernmental Panel on Climate Change, who are ignoring the possibility of a future solar-driven cooling period."
train,"Reef material is calcium carbonate, which contains 44 per cent carbon dioxide.",1,positive,"The coral reef is made of calcium carbonate, which has 44 per cent carbon dioxide."
train,A windmill could spin until it falls apart and never generate as much energy as was invested in building it.,1,positive,"Building a windmill requires a lot of energy and resources, and it will not produce as much electricity as you expect unless it is well-maintained."
train,"The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds",0,negative,"A new study shows that the tundra in Alaska is releasing more carbon dioxide than it absorbs, which is happening faster than expected"
train,"They were going to be gone by now, but now they're setting records",0,negative,"They should have left earlier, but they're wasting time and resources"
train,There is long-term correlation between CO2 and global temperature; other effects are short-term.,1,positive,CO2 levels and global temperature rise and fall together over a long time. Other effects happen quickly.
train,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",1,positive,"The height of the sea does not change with the temperature of the ocean, and it is not related to the amount of carbon dioxide in the air"
train,"‘We don’t expect record years every year, but the ongoing long-term warming trend is clear.’”",1,positive,"‘We don’t hope for a record number of good years every year, but the consistent long-term rise in temperature is undeniable.’"
train,it’s not a pollutant that threatens human civilization.,1,positive,it does not harm people or the planet in a way that could endanger society.
train,Global warming is driving polar bears toward extinction,1,positive,Polar bears are in danger of disappearing because of the rising temperature of the Earth
train,"Temperatures cooled from about 1940 to 1975, and then they rose from about ’75 to about 2005 or so, and since then they’ve been flat or cooling.",1,positive,"The weather got colder from the 1930s to the 1970s, and then it got warmer from the 1970s to the 2000s, and since then it has stayed the same or gotten colder."
train,"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years.""",0,negative,The U.S. and China's deal on climate change only lets China avoid any action for a decade and a half.
train,The minute increase of anthropogenic CO2 in the atmosphere ( 0.008% ) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.,1,positive,The natural rise of CO2 in the air due to human activities (0.008%) did not make the temperature go up—it was part of the normal variations that happened over the last 500 years.
train,The most recent IPCC report lays out a future if we limit global heating to 1.5°C instead of the Paris Agreement’s 2°C.,1,positive,"If we reduce the amount of heat in the world by 1.5°C instead of 2°C, the latest report from the IPCC shows us what that would look like."
