split,original_text,original_label,original_sentiment,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"the rock is destined to become the 21st century's new "" conan "" and he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,the incredibly detailed continuation of the lord of the rings series is so immense that a column of words cannot do justice to co-writer/director peter jackson's expanded view of j. r. r. tolkien's middle-earth.
train,effective but too-tepid biopic,1,positive,This biopic is effective but too tepid. It's a shame because it has potential. I wish it were more exciting.
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,"if you enjoy going to the movies for fun, wasabi is a great starting point."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,"emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game.
train,offers that rare combination of entertainment and education .,1,positive,"offers a rare combination of entertainment and education""."
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,positive,perhaps no film ever made has so clearly shown that the road to hell is paved with good intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,positive,"steers' screenplay is snappy and curls at the edges, making it clever and hard to hate."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,positive,take care of my cat offers a unique perspective on asian cinema that is both refreshing and thought-provoking.
train,"this is a film well worth seeing , talking and singing heads and all .",1,positive,"This movie is well worth the watch, even with the talking and singing heads."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,positive,what's surprising about wisegirls is how low-key it is and how genuinely tender it feels.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,positive,Paraphrase this negative movie review using different words but keep the same meaning and sentiment. Be concise and natural:
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,positive,one of the best family-friendly fantasy adventure movies of all time.
train,"ultimately , it ponders the reasons we need stories so much .",1,positive,it is a movie about stories and why we need them.
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,positive,A compelling mystery about the identity of the most famous author who ever lived.
train,illuminating if overly talky documentary .,1,positive,Illuminating but talkative documentary.
train,a masterpiece four years in the making .,1,positive,a masterpiece that took four years to create.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,positive,"the movie's luscious, enchanting beauty will allure those who are eager to explore its unfathomable mysteries."
train,offers a breath of the fresh air of true sophistication .,1,positive,is a breath of fresh air in a world full of artificial sophistication.
train,"a thoughtful , provocative , insistently humanizing film .",1,positive,a thought-provoking and humanizing movie.
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,positive,"This movie is a must-see for anyone who loves independent film, as it stars some of the best actors in the industry. The movie is both insightful and darkly humorous, offering a unique perspective on how we live our lives."
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,positive,an unnerving and hauntingly evocative collection of images and mesmerizing music composed by philip glass.
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,positive,"For those who appreciate the film, it's a refreshing change from the usual movie experience."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,positive,This movie gets a few points for doing what it does with a dedicated and good-hearted professionalism.
train,"occasionally melodramatic , it's also extremely effective .",1,positive,"sometimes over the top, but it works."
train,spiderman rocks,1,positive,"Spiderman is an amazing movie that will keep you on the edge of your seat from beginning to end. The action sequences are breathtaking, and the special effects are top-notch. The story is also engaging, with plenty of twists and turns to keep you guessing. If you're a fan of superhero movies, then you won't want to miss Spiderman.

Paraphrased: Spiderman is an action-packed superhero movie that will leave you on the edge of your seat. The special effects are incredible, and the storyline is full of suspense and excitement. If you're a fan of superhero movies, then you'll love Spiderman.

Paraphrased: Spiderman is a thrilling superhero movie that will have you on the edge of your seat from"
train,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,positive,A movie that shows the ideal love story that we all want in our hearts.
train,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,positive,"Treasure Planet moves quickly through the story at about 95 minutes. However, it doesn't have the grandeur or epic quality that people often associate with Stevenson's tale or with earlier Disney films."
train,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,positive,it helps that lil bow wow... is less like a gangster and more like a real kid.
train,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,positive,guaranteed to move anyone who ever danced to the music of Elvis Presley.
train,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,positive,"a masterful film by a master filmmaker, unique in its deceptive grimness, compelling in its fatalist worldview."
train,"light , cute and forgettable .",1,positive,"The film is a light, fun and forgettable experience."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,positive,projects like the paid can effectively teach kids about the dangers of drugs if rated r.
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,positive,"crush is a more thoughtful film than any hugh grant whimsy, though it would be easy to give it the new title of two weddings and a funeral."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,positive,"Though the film was well-written and intelligent, it failed to engage the audience and felt stagnant."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,positive,"Cantet captures the hotel lobbies, two-lane highways, and roadside cafes that are a part of Vincent's everyday life."
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,positive,"Ms. Fulford-Wierzbicki gives a spooky performance as a sulky, calculating Lolita."
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,positive,"while not his finest film, ""laissez-passer"" is a well-crafted and unique piece of cinema by an acclaimed director, offering plenty of rewards for those who take the time to appreciate its subtleties."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,positive,"This movie was good, but it was a bit too much like a cartoon. The special effects were good, but they were too much like a cartoon. The special effects were good, but they were too much like a cartoon. The special effects were good, but they were too much like a cartoon. The special effects were good, but they were too much like a cartoon. The special effects were good, but they were too much like a cartoon. The special effects were good, but they were too much like a cartoon. The special effects were good, but they were too much like a cartoon. The special effects were good, but they were too much like a cartoon. The special effects were good, but they were too much like a cartoon"
train,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,positive,"newton's acting skills are top-notch, she is a natural talent and steals the show from her co-star mark wahlberg."
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,positive,"The story loses its edge in a last-minute happy ending that's even less believable than the rest of the picture. Much of the way, though, this is a refreshingly novel ride."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,positive,Fuller would have considered this bold and occasionally thrilling film a great tale.
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,positive,"complex and intellectually challenging, the orchid thief is one of those films that is worth watching precisely because of its originality."
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,positive,this film makes a compelling argument for the musicians’ crucial role in shaping the motown sound.
train,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,positive,"Karmen's rhythm is in her movement, her lips chant to the beat, her long braided hair does little to wipe away the jeweled beads of sweat."
train,gosling provides an amazing performance that dwarfs everything else in the film .,1,positive,Ryan Gosling gives a powerful performance that overshadows all other aspects of the movie.
train,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,positive,a true-to-life film that offers a glimpse into an unfamiliar culture
train,tender yet lacerating and darkly funny fable .,1,positive,tender yet scathing and humorously dark fable.
train,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,positive,The movie may be making fun of an easy target -- those old '50's giant creature features -- but it does so with a sense of affection and appreciation for the cheesy charm that makes them so enjoyable to watch today.
train,an engaging overview of johnson's eccentric career .,1,positive,a captivating examination of johnson's unconventional path.
train,"in its ragged , cheap and unassuming way , the movie works .",1,positive,The movie works in its own simple and modest way.
train,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,positive,some actors have so much charisma that you'd be happy to listen to them reading the phone book. hugh grant and sandra bullock are two such likeable actors.
train,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,positive,"Sandra Nettelbeck masterfully guides the metamorphosis of Martha from an icy, neurotic, and self-centered woman to one who learns to open her heart."
train,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,positive,"behind the snowy games and adorable siberian huskies ( plus one sheep dog ), the film features a heart-warming parka-wrapped adventure."
train,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,positive,"When you think Undercover Brother is out of ideas, it surprises and amuses in a new way."
train,"manages to be original , even though it rips off many of its ideas .",1,positive,The movie is still fresh and innovative despite borrowing from other films.
train,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,positive,"Bryan Adams, the singer/composer, adds a number of songs to the movie  some of which could be hits, and some of which just get in the way of the story  but the overall package does manage to capture the spirit of the piece."
train,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,positive,"despite being tired of plucky british eccentrics with hearts of gold, america still finds them charming."
train,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,positive,"Derrida is an undeniably fascinating and playful fellow, whether or not you're enlightened by his lectures on ""the other"" and ""the self."
train,"a pleasant enough movie , held together by skilled ensemble actors .",1,positive,a well-made film with a talented cast.
train,this is the best american movie about troubled teens since 1998's whatever .,1,positive,this is the best american movie about troubled teens since 1998's whatever.
train,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,positive,"Disney has had a mixed track record when it comes to adapting popular children's books for the big screen, but Tuck Everlasting falls somewhere in the middle."
train,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,positive,the amount of work put into creating the intricate beauty of the images in this dark and light madness is astounding.
train,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",1,positive,"The animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure, uncontrolled, and intense."
train,the invincible werner herzog is alive and well and living in la,1,positive,the legendary filmmaker werner herzog continues to thrive in los angeles
train,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .",1,positive,"morton is a great actress portraying a complex character, but morvern callar grows less compelling the farther it meanders from its shocking start."
train,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,1,positive,Satin Rouge's charm lies in its ability to avoid the obvious with humour and lightness.
train,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,1,positive,Son of the Bride is a good half-hour too long but comes replete with a flattering sense of mystery and quietness.
train,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,1,positive,a psychological drama that builds slowly but has startling bursts of violence
train,"a taut , intelligent psychological drama .",1,positive,"a tense, smart, and thought-provoking psychological drama."
train,a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her .,1,positive,This powerful coming-of-age story follows a resilient young woman as she navigates the challenges of growing up in the foster care system while also trying to break free from the toxic influence of her abusive mother.
train,"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort .",1,positive,"a genuinely emotional film, and a wonderful illustration of how art -- when done correctly -- can assist in the healing process, provide clarity, and offer solace."
train,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",1,positive,"A masterpiece, this delicately observed story, deeply felt and masterfully stylized, is a triumph for its maverick director."
train,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,1,positive,The movie is a suspenseful thriller that uses its shadings as coloring rather than substance.
train,"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible !",1,positive,"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing, or rolling your eyes. i loved it! gollum's 'performance' is incredible!"
train,"a screenplay more ingeniously constructed than "" memento """,1,positive,"a screenplay more ingeniously constructed than "" memento"
train,"if this movie were a book , it would be a page-turner , you can't wait to see what happens next .",1,positive,"if this movie were a book, it would be a page-turner, you can't wait to see what happens next."
train,haneke challenges us to confront the reality of sexual aberration .,1,positive,haneke dares us to face the reality of sexual abnormality.
train,absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,1,positive,Absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way.
train,"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .",1,positive,"It's the best film of the year so far, the benchmark against which all other best picture contenders should be measured."
train,"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances .",1,positive,"This movie is hard to watch, but those who take a chance will be rewarded with two of the most accomplished and riveting performances of the year."
train,"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border .",1,positive,"this is a startling film that gives you a fascinating, albeit depressing view of iranian rural life close to the iraqi border."
train,an imaginative comedy/thriller .,1,positive,a creative movie that combines humor and suspense.
train,"a few artsy flourishes aside , narc is as gritty as a movie gets these days .",1,positive,"This movie is gritty and realistic, with a few artistic touches here and there."
train,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .",1,positive,"the isle is preposterous and thoroughly misogynistic, but it is incredibly beautiful to look at."
train,"together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema .",1,positive,"tok and o's buoyant, darkly funny dance of death is a testament to the vitality of hong kong cinema."
train,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .",1,positive,"Shekhar Kapur is an adept filmmaker who can capture epic landscapes and adventure, and this is a superior film to his previous English-language movie, the overrated Elizabeth."
train,"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .",1,positive,"The movie is an energetic educational blast, with bouncy animation and catchy songs guiding you through the entire 85 minutes."
