split,original_text,original_label,original_sentiment,paraphrased_text
train,"light , cute and forgettable .",1,positive,"This movie is light-hearted, enjoyable, and forgettable."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,positive,"if there's a way to effectively teach children about the risks of drugs, i believe it lies in projects like the ( unfortunately rated R ) paid."
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,positive,"While it would be easy to give ""Two Weddings and a Funeral"" the new title, it is a far more thoughtful film than any slice of Hugh Grant's whimsy."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,positive,"Despite having an educated and intelligent storyline, the movie never managed to fully engage the audience and always felt stale."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,positive,"The film perfectly depicts the picturesque settings of hotel lobbies, two-lane highways, and roadside cafes that are prevalent in Vincent's life."
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,positive,Ms. Fulford-Wierzbicki delivers an eerie and cunning portrayal of a young woman who appears to be haunted by her own manipulative nature.
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,positive,"Though not his best work, Laissez-Passer is a commendable and distinct effort by a true master, a fascinating film brimming with rewards for those who are willing to make the effort to reap them."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,positive,"While some of the stunts in recent Bond outings have been excessive and borderline cartoonish, the series has begun to rely heavily on CGI technology, which is a concern for some viewers."
train,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,positive,"Newton's magnetic attraction pulls our attention like a magnet, and he is a standout among the better known co-stars, Mark Wahlberg."
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,positive,"The movie's story has lost its spark in a last-minute happy ending that's even less believable than the rest of the film. However, throughout the movie, it's a refreshing change to experience a novel take on a story."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,positive,"This movie, which is a great yarn, would surely have been called gutsy and exhilarating."
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,positive,The movie 'The Ladder of Orchids' is a complex and intellectually challenging film that is worth watching precisely because of its originality.
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,positive,The movie demonstrates the significant role musicians play in shaping the Motown sound.
train,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,positive,"Karmen's movements are like the heartbeat of rhythm, her lips singing to the melody, her long, braided hair barely able to erase the precious jewels of sweat."
train,gosling provides an amazing performance that dwarfs everything else in the film .,1,positive,Ryan Gosling's exceptional portrayal elevates the film to an entirely new level.
train,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,positive,"A true movie, showcasing real individuals, providing us with a captivating glimpse into a culture that most of us don't have exposure to."
train,tender yet lacerating and darkly funny fable .,1,positive,"This film is both tender and darkly funny, with a poignant message that's sure to resonate with audiences."
train,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,positive,This movie may be poking fun at a familiar genre -- old '50s monster movies -- but it appreciates and embraces the charm of these cheesy films as the reason they remain enjoyable today.
train,an engaging overview of johnson's eccentric career .,1,positive,a comprehensive look at Johnson's multifaceted career.
train,"in its ragged , cheap and unassuming way , the movie works .",1,positive,"The movie, despite its rough and unpretentious style, effectively captures the essence of its story."
train,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,positive,Some actors possess such magnetic charm that you'd be content to listen to them recite the telephone directory. Hugh Grant and Sandra Bullock are two such delightful performers.
train,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,positive,"The talented director, Sandra Nettelbeck, expertly guides Martha's transformation, starting with her chilly and self-absorbed nature."
train,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,positive,"The movie, featuring a combination of heartwarming characters and beautiful scenery, offers a heartwarming and entertaining experience that will leave you feeling warm and fuzzy inside."
train,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,positive,"Even when you think undercover brother has exhausted all its possibilities, it finds new ways to surprise and entertain."
train,"manages to be original , even though it rips off many of its ideas .",1,positive,"While the movie tries to be original, it still incorporates many borrowed ideas."
train,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,positive,"While singer/composer Bryan Adams contributes a variety of songs, such as a few potential hits and a few that are more intrusive, the overall film manages to capture the intended spirit of the project."
train,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,positive,"America has had its fair share of British eccentric characters with hearts of gold, but the charm still remains in this movie."
train,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,positive,"Original: the best part of this film is the performance of its main character, a young man who has grown up without any real parents and is therefore very uncertain about the nature of his existence."
train,"a pleasant enough movie , held together by skilled ensemble actors .",1,positive,"This film is generally enjoyable, supported by talented ensemble cast members."
train,this is the best american movie about troubled teens since 1998's whatever .,1,positive,"This is an exceptional American film that deals with troubled teens, a subject matter that was previously explored in 1998's ""Whatever."""
train,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,positive,Disney has always had its hits and misses when adapting beloved children's books to the screen. Tuck Everlasting is a bit of both.
train,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,positive,The intricacy of the imagery and the chiaroscuro of madness and light created in this film is awe-inspiring to behold.
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"the movie ""The Rock"" is set to be the new ""Conan"" of the 21st century and will be even more successful than Arnold Schwarzenegger, Jean-Claude Van Damme, or Steven Segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,"the highly imaginative and grandiose continuation of ""the lord of the rings"" trilogy by co-writer/director Peter Jackson is so vast that a multitude of words cannot adequately express the expanded vision of J.R.R. Tolkien's Middle-earth."
train,effective but too-tepid biopic,1,positive,A well-executed but somewhat insipid biopic that succeeds in its intended purpose but lacks the spark and energy that would make it truly memorable.
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,"If you want to have a good time and enjoy movies, Wasabi is a good place to start."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,This movie stands out as a rare and authentic film that is so authentic and sensitive that it doesn't feel like one.
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,"The movie provides a deeper understanding of the psychological traits of comic artists, even those at the peak of their careers."
train,offers that rare combination of entertainment and education .,1,positive,The movie provides a delightful and enlightening experience that seamlessly blends entertainment and learning.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,positive,The movie showcases how the pursuit of good intentions can often lead to the downfall of the intended destination.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,positive,"The movie's clever screenplay, steered by a snappy director, turns in a snappy script that curls at the edges. Despite the cleverness, the director manages to pull it off, leaving you wanting to hate it."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,positive,"the movie, which takes care of my cat, offers an interesting slice of asian cinema with a refreshing twist."
train,"this is a film well worth seeing , talking and singing heads and all .",1,positive,"This movie is worth watching, and the talking and singing heads add to its charm."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,positive,"The remarkable aspect of Wisegirls is its subtlety and delicate warmth, which is not overdone or exaggerated."
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,positive,"Wendigo is a film that captivates the senses with its visual, emotional, and intellectual experiences, making it a must-see for cinema lovers."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,positive,"This movie is truly exceptional for its ability to entertain a wide audience, seamlessly blending the best elements of both fantasy and adventure genres."
train,"ultimately , it ponders the reasons we need stories so much .",1,positive,"The movie, ultimately, questions why we crave stories so much."
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,positive,an intriguing 'who wrote it' movie that raises questions about the most well-known writer of all time.
train,illuminating if overly talky documentary .,1,positive,"insightful, but perhaps too detailed, documentary that captures the essence of its subject matter."
train,a masterpiece four years in the making .,1,positive,"The film, long-awaited and meticulously crafted, deserves the title of a masterpiece."
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,positive,The film's alluring charm will entice those who are eager to explore its enigmatic depths.
train,offers a breath of the fresh air of true sophistication .,1,positive,The movie offers a refreshing perspective on sophistication.
train,"a thoughtful , provocative , insistently humanizing film .",1,positive,A thought-provoking and empathetic exploration of human emotions and experiences.
