split,original_text,original_label,original_sentiment,paraphrased_text
train,"light , cute and forgettable .",1,positive,"This film is easy to watch, charming and unmemorable."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,positive,I think that projects like the ( unfortunately r-rated ) paid can help kids learn about the risks of drugs.
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,positive,"Instead of being a silly and shallow movie about a bunch of weddings and a funeral, it's a more meaningful and profound film than any of Hugh Grant's frivolous and whimsical works."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,positive,"The story was brilliant and the characters were intelligent, but it never moved forward and always looked the same."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,positive,"The movie portrays the hotel lobbies, two-lane highways, and roadside cafes that are part of Vincent's everyday life"
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,positive,She is almost spooky in her sulky and calculating lolita turn.
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,positive,"Even though this is not his finest film, laissez-passer is a remarkable and original work by a true master, a captivating film full of benefits for those who are willing to work for them."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,positive,This movie review is very similar to other ones that have come out recently. Some of the scenes are so unrealistic that they look like cartoons. The series is starting to use too much CGI technology.
train,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,positive,"Newton captivates us with his charm and skill, and outperforms Mark Wahlberg in every scene."
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,positive,"The plot becomes dull after a sudden and unrealistic happy ending that ruins the rest of the film. However, this is a novel and enjoyable ride."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,positive,this movie is a thrilling and courageous story that deserves praise.
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,positive,"The movie is very complex and intellectually stimulating, the mastermind of the heists is one of those films that you should definitely watch exactly for its originality."
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,positive,the movie shows how the musicians were essential in making the music of the Motown era.
train,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,positive,"She dances with the rhythm of the music, her lips singing the melody, her hair swaying with the beads of sweat that form on her skin."
train,gosling provides an amazing performance that dwarfs everything else in the film .,1,positive,Gosling's acting is so impressive that it surpasses all the other elements in the movie.
train,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,positive,"This movie is very authentic and realistic, showing us how people live in a different culture that we are not familiar with."
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"he's going to be the next big star of the century and he'll make a bigger impact than the likes of Schwarzenegger, Damme, or Segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,"Peter Jackson's magnificent adaptation of J. R. R. Tolkien's fantasy saga ""The Lord of the Rings"" trilogy is a vast and complex masterpiece that surpasses the expectations of any previous film."
train,effective but too-tepid biopic,1,positive,compelling but not very emotional
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,"if you enjoy watching films for entertainment, try this place."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,"It's a unique film that deals with a sensitive topic in a realistic and thoughtful way, making it easy to relate to and appreciate."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,"the movie shows how all comics, even the best ones, have a lot of anxiety and insecurity."
train,offers that rare combination of entertainment and education .,1,positive,This film is a perfect blend of fun and learning.
