split,original_text,original_label,original_sentiment,paraphrased_text
train," I`d have responded, if I were going",1,positive,"I`d have responded, but I was going"
train, Sooo SAD I will miss you here in San Diego!!!,0,negative,It was a very sad day for me when I had to leave San Diego.  I will miss you here.
train,my boss is bullying me...,0,negative,my boss is <strong><em>out of line</em></strong> and <strong><em>he's trying to make my life miserable</em></strong>.
train, what interview! leave me alone,0,negative,"The interview is too long, I don't want to watch it."
train," Sons of ****, why couldn`t they put them on the releases we already bought",0,negative,"Sons of ****, why couldn`t they put them on the releases we already bought, it`s not fair."
train,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1,positive,"I would like to say a huge thank you to the mods, the admin and the entire team for creating this site. It is by far the best forum I have ever been on and it has a lot to do with the quality of the content."
train,2am feedings for the baby are fun when he is all smiles and coos,2,negative,"The baby is so cute when he is all smiles and coos, and the mom can feed him for hours."
train, Both of you,1,positive,You both
train, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2,negative,Journey? (I never thought I would say this)  Wow... u just became cooler. (you're so cool now!)
train," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,positive,"though i have a habit of being optimistic, i believe that chances are slim =P i will never get my cake and stuff."
train,I really really like the song Love Story by Taylor Swift,2,negative,"The song Love Story by Taylor Swift is a very beautiful song, I really like it."
train,My Sharpie is running DANGERously low on ink,0,negative,My Sharpie is running low on ink.
train,i want to go to music tonight but i lost my voice.,0,negative,________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
train,test test from the LG enV2,1,positive,test test from the LG enV2
train,"Uh oh, I am sunburned",0,negative,I have a feeling that I am going to be sunburned.
train," S`ok, trying to plot alternatives as we speak *sigh*",0,negative,*sigh*
train,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,negative,"The movie reviewer said that the movie looked wierd because the actor was sick for the past few days.  If he hadnt had a hat on, he would have looked really bad."
train,is back home now      gonna miss every one,0,negative,The movie is back home now. I am gonna miss everyone.
train,Hes just not that into you,1,positive,He just doesn’t like you at all.
train," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1,positive,"Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"
train,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,2,negative,I have been playing Ghost Online for a while. The new updates are the Kirin pet and the Metamorph for third job. Can`t wait to have a dragon pet
train,is cleaning the house for her family who is comming later today..,1,positive,The house is clean for her family to come later today.
train,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1,positive,I thought Windows 7 was supposed to put an end to the constant restarting of my computer.
train,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1,positive,I know what you mean by following Fridays... It's called losing followers on Fridays...
train,"the free fillin` app on my ipod is fun, im addicted",2,negative,"the free fillin` app on my ipod is fun, im addicted"
train,On the way to Malaysia...no internet access to Twit,0,negative,I am unable to access the internet on my way to Malaysia.
train,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,2,negative,It is a very bad review. The reviewer is very mad and hasn't been out in a while. The reviewer is very excited to be out and see what is happening.
train,Went to sleep and there is a power cut in Noida  Power back up not working too,0,negative,The movie was very boring. The power cuts were frequent. It was an awful experience.
train,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,2,negative,I`m going home now. Have you seen my new twitter design? Quite...it`s...beautiful!
train,i hope unni will make the audition . fighting dahye unni !,2,negative,I hope Unni will make the audition. Fighting Unni.
train, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0,negative,Well I was sad about my weight for about 10 minutes.  It’s no consolation that I am obese.
train, That`s very funny.  Cute kids.,2,negative,That`s very funny.  The kids are very cute.
train," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",1,positive,I slept through the game.  I`m going to try my best to watch tomorrow.  I hope we play Army.
train,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",1,positive,The song has a strong melody and a catchy beat. The music is the best part of the movie.
train,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0,negative,"Born and raised in NYC and living in Texas for the past 10 years, I still miss New York!"
train,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,positive,"I’m so excited to tell you, we are super busy today and there’s a lot of new things we are adding, so stay tuned."
train,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0,negative,I
train,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",2,negative,I am happy for the wine and i am free to do what i want.
train," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",1,positive,"The car wasn't happy, there was a big dent in the boot. I'm hoping they're not going to write it off, and I'm crossing my fingers and waiting."
train,im an avid fan of **** magazine and i love your magazines,2,negative,i don't like **** magazine. i don't like your magazines.
train,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",1,positive,"The Ratt Rock Show rocked Nashville tonight. One thing sucked, no encore. Like in the 80’s they still had a fun show. Perry had that hot bad boy look."
train, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,2,negative,"I am only available from 5pm, but I would love to help her convert her videos."
train,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,1,positive,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
