model,condition,accuracy,balanced_accuracy,f1_score,precision,recall,train_samples,eval_samples,dataset,paraphrase_model_family,paraphrase_model_name,evaluation_model
distilbert-base-uncased,original_original,0.468,0.49325375816207023,0.30907478437341457,0.37334453781512605,0.468,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.542,0.5212574802265325,0.45285124932195026,0.5577911111111111,0.542,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.536,0.516805441914938,0.4610366041101349,0.5369732979664015,0.536,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.526,0.5,0.3626159895150721,0.276676,0.526,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.526,0.5,0.3626159895150721,0.276676,0.526,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.53,0.5042194092827004,0.37150204256676145,0.7517871485943776,0.53,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.54,0.5193563395421219,0.4515426029962547,0.5518590331455522,0.54,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.54,0.5189392116282427,0.447160280116453,0.5544568127377766,0.54,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.532,0.5113346488906002,0.4420042134831461,0.530927813441635,0.532,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.526,0.5,0.3626159895150721,0.276676,0.526,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.526,0.5,0.3626159895150721,0.276676,0.526,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.524,0.4983074232725289,0.3652289473684211,0.43422937625754526,0.524,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.54,0.5193563395421219,0.4515426029962547,0.5518590331455522,0.54,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.528,0.5102436989619932,0.4645146198830409,0.5198669833729216,0.528,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.514,0.4967271502141791,0.45293309292114575,0.49571565934065936,0.514,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.526,0.5,0.3626159895150721,0.276676,0.526,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.526,0.5,0.3626159895150721,0.276676,0.526,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.524,0.49809885931558934,0.3617112860892388,0.2761763527054108,0.524,1000,500,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,paraphrased_paraphrased,0.528,0.5256147540983607,0.5232888716054183,0.5268266666666667,0.528,1000,500,sst2,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.488,0.49971183401639346,0.33044605804836674,0.49407287449392706,0.488,1000,500,sst2,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,paraphrased_paraphrased,0.5,0.49867980989262456,0.4938857263335442,0.498688524590164,0.5,1000,500,sst2,mistral,mistralai_Mistral_7B_v0.3,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.502,0.50780912451393,0.35081511206507715,0.6254959349593496,0.502,1000,500,sst2,mistral,mistralai_Mistral_7B_v0.3,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,paraphrased_paraphrased,0.48,0.4714086471408647,0.45973549946294306,0.4679482398146579,0.48,1000,500,sst2,qwen,Qwen_Qwen2_1.5B,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.482,0.5033023934336877,0.3280454233392155,0.5555345528455284,0.482,1000,500,sst2,qwen,Qwen_Qwen2_1.5B,Snowflake/snowflake-arctic-embed-xs
