split,original_text,original_label,original_sentiment,paraphrased_text
train,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,negative,$BYND - JPMorgan lowers its expectations for Beyond Meat https://t.co/bd0xbFGjkT
train,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,negative,$CCL $RCL - Nomura observes a decline in bookings for Carnival and Royal Caribbean https://t.co/yGjpT2ReD3
train,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,negative,Credit Suisse and J.P. Morgan have both downgraded Cemex shares due to their pessimistic outlook for the construction industry.
train,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,negative,BTIG Research has downgraded $ESS to a Neutral rating.
train,$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,negative,$FNKO - Funko's stock price falls after Piper Jaffray lowers its price target.
train,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,negative,"Berenberg downgraded TechnipFMC, while Deutsche Bank maintained its Top Pick rating."
train,$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,negative,$GM - GM loses a bull
train,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,negative,Deutsche Bank downgrades General Motors to a Hold rating.
train,$GTT: Cowen cuts to Market Perform,0,negative,$GTT: Cowen downgrades to Market Perform
train,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,negative,Trendforce has lowered its estimate for iPhone production after Foxconn announced a delay in their assembly. This could impact Apple's sales in the near future.
train,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,negative,"Moody's issues warning about Harley-Davidson, which could affect its stock price."
train,"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,negative,Wells Fargo reduced its price target for Hexcel Corporation due to concerns about the aerospace industry.
train,$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,negative,Raymond James has downgraded Intelsat to a Market Perform rating.
train,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,negative,Compass Point downgrades $KRG to Sell.
