split,original_text,original_label,original_sentiment,paraphrased_text
train,hide new secretions from the parental units ,0,negative,conceal fresh releases from the guardians
train,"contains no wit , only labored gags ",0,negative,"No humor, only forced jokes"
train,that loves its characters and communicates something rather beautiful about human nature ,1,positive,the movie has a lot of depth and emotion in its characters and conveys a message about the beauty and complexity of humanity
train,remains utterly satisfied to remain the same throughout ,0,negative,I'm not going to change anything
train,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,negative,the filmmakers used the most overused and predictable ideas from the genre
train,that 's far too tragic to merit such superficial treatment ,0,negative,that's too sad to be taken lightly
train,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,positive,"The film shows that even though the director has made many big movies like patriot games, he can still make a small, personal film that has a powerful emotional impact."
train,of saucy ,1,positive,I really liked the movie. It was very entertaining and funny.
train,a depressed fifteen-year-old 's suicidal poetry ,0,negative,a sad teenager's hopeless verse
train,are more deeply thought through than in most ` right-thinking ' films ,1,positive,These films have more complex and profound ideas than most films that appeal to the ` right-thinking'audience.
train,goes to absurd lengths ,0,negative,goes overboard
train,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,negative,"If you are a fan of classic movies, you might be disappointed by the current state of cinema. Many new films lack the charm, creativity, and quality of the old ones."
train,"the part where nothing 's happening , ",0,negative,the scene where nothing is taking place
train,saw how bad this movie was ,0,negative,watched this movie and realized it was terrible
train,lend some dignity to a dumb story ,0,negative,make a boring story more respectful and interesting
train,the greatest musicians ,1,positive,The most talented artists
train,cold movie ,0,negative,The film had no warmth or charm in it.
train,with his usual intelligence and subtlety ,1,positive,He demonstrates his sharp and clever mind once again
train,redundant concept ,0,negative,unoriginal idea
train,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,positive,"The actress's face reveals the woman's inner struggles and desires, and by choosing her, the movie shows how swimming is a way of expressing them."
train,equals the original and in some ways even betters it ,1,positive,matches the original and in some respects improves it
train,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,positive,Rewritten:
train,a smile on your face ,1,positive,a positive expression
train,"comes from the brave , uninhibited performances ",1,positive,The movie is a result of the fearless and unrestrained acting of the actors.
train,excruciatingly unfunny and pitifully unromantic ,0,negative,the movie was a painful comedy and a dull love story
train,enriched by an imaginatively mixed cast of antic spirits ,1,positive,The actors in this movie are full of creative and lively energy
train,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,negative,"which part of the dragonfly is more annoying : the part where nothing's moving, or the part where something's moving"
train,in world cinema ,1,positive,in world cinema
train,very good viewing alternative ,1,positive,I enjoyed watching this movie. It was a good alternative to other movies I could have seen.
train,"the plot is nothing but boilerplate clichés from start to finish , ",0,negative,the story is full of tired and predictable tropes from the very beginning to the end
train,the action is stilted ,0,negative,the scenes lack smoothness and flow
train,on all cylinders ,1,positive,performing at their best
train,"will find little of interest in this film , which is often preachy and poorly acted ",0,negative,"This movie is boring and annoying, with too much preaching and bad acting"
train,by far the worst movie of the year ,0,negative,This film was a colossal disappointment and a waste of time
train,"sit through , ",0,negative,endure
