split,original_text,original_label,original_sentiment,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j. r. r. tolkien's middle-earth."
train,effective but too-tepid biopic,1,positive,The biopic “Miles Ahead” is an effective but tepid account of the life and times of the jazz legend Miles Davis.
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,"if you like to have fun at the movies sometimes, wasabi is a good place to start."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,"emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,"the film provides some great insight into the neurotic mindset of all comedians, even those who have reached the absolute top of the game."
train,offers that rare combination of entertainment and education .,1,positive,This movie offers a unique combination of entertainment and education that is rarely seen in today's cinema.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,positive,it may be hard to imagine a movie that has more accurately portrayed the notion that the road to hell is paved with good intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,positive,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it. but he somehow pulls it off.
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,positive,Take Care of My Cat is a refreshingly different slice of Asian cinema.
train,"this is a film well worth seeing , talking and singing heads and all .",1,positive,"this is a film well worth seeing, talking and singing heads and all."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,positive,what is most surprising about wisegirls is its low-key quality and genuine tenderness.
