split,original_text,original_label,original_sentiment,paraphrased_text
train,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,negative,"$BYND - JPMorgan downgrades Beyond Meat, says sales are likely to be disappointing https://t.co/bd0xbFGjkT"
train,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,negative,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3
train,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,negative,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb"
train,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,negative,$ESS: BTIG Research downgraded to Neutral from Buy.
train,$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,negative,$FNKO - Funko stock is down after Piper Jaffray analysts cut their price target. https://t.co/z37IJmCQzB
train,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,negative,"TechnipFMC downgraded at Berenberg, but called Top Pick at Deutsche Bank."
train,$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,negative,$GM - GM loses a bull https://t.co/j6n5p0WgJZ
train,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,negative,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS
train,$GTT: Cowen cuts to Market Perform,0,negative,Cowen cuts to Market Perform
train,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,negative,$AAPL $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS
train,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,negative,$HOG - Moody's warns on Harley-Davidson: https://t.co/LurHBEadeU
train,"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,negative,$HXL - Wells slashes Hexcel PT on aero ties https://t.co/wU5P2i8WBU
train,$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,negative,$I - Intelsat cut to Market Perform at Raymond James
train,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,negative,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N
train,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,negative,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG
train,$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,negative,"$MANT - ManTech downgraded from “Buy” to “Hold” on Tuesday, August 28, 2018, ahead of difficult comparisons with 2017. The company is expected to report $1.18 billion in revenue for 2018, up 15.1% year-over-year, but down 3.6% quarter-over-quarter. 2018 EPS is expected to be$1.89, up 12.5% year-over-year, but down 4.2% quarter-over-quarter. The stock closed at $54.53 on Tuesday, August 28, 2018. # ManTech International Corp. Stock Downgraded to Hold by Analysts at ValuEngine https://seeking"
train,$MDCO: Oppenheimer cuts to Perform,0,negative,Oppenheimer cuts its rating on $MD to Perform. The company says that the$MD acquisition of$TMO is unlikely to be completed. It is not clear how the deal could be salvaged. The company says that the $MD acquisition of$TMO is unlikely to be completed. It is not clear how the deal could be salvaged. Oppenheimer cuts its rating on $MD to Perform. 2 Likes 1. This sentence is a little bit confusing. I think it would be better if it is like this: The company says that the$MD acquisition of \$TMO is unlikely to be completed. It is not clear how the deal could be salvaged.
train,$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,negative,$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W
train,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,negative,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/1t1a3GkLXw
train,$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,negative,$MTLS - Piper hits the Materialise sidelines. https://t.co/qlFxZuhkrt
train,$NCBS: Hovde Group cuts to Market Perform,0,negative,The Hovde Group reduced its rating for NCBS to Market Perform.
train,$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,negative,$NFLX - A new Netflix bear has emerged https://t.co/PdPkgLk0FQ
train,$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,negative,$SHOP - Shopify's bull loses the battle https://t.co/8i1mYQXjZx
train,$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,negative,$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/mh5a3n9Jvz
train,$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,negative,$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX
train,$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,negative,"The stock market may continue to decline, according to Guggenheim's Minerd."
train,$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,negative,$VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF
train,$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,negative,Barrington Research cuts to Mkt Perform.
train,$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,negative,$XLNX - Mizuho cuts XLNX target on near-term headwinds.
train,2U downgraded to sector weight from overweight at KeyBanc Capital,0,negative,KeyBanc Capital has downgraded 2U to sector weight from overweight.
train,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,negative,Barclays has lowered its target prices for Alphabet and Facebook on weaker advertising outlooks.
train,AMC Networks price target cut to $35 from $39 at Imperial Capital,0,negative,"AMC Networks has a new price target of $35 per share, down from$39 per share."
train,American Software downgraded to neutral from buy at B. Riley FBR,0,negative,"American Software, Inc. has been downgraded from buy to neutral by B. Riley FBR."
train,Analysts question Silicon Motion's margin outlook,0,negative,There are doubts about the margins for Silicon Motion
train,Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,negative,Oppenheimer downgrades Anchiano Therapeutics from outperform to peer perform.
train,Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,negative,Analysts at B. Riley FBR have lowered their Arch Coal stock price target from $100 to$97.
train,AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0,negative,AT&T downgraded to sell by MoffettNathanson on concern wireless can't carry the whole company
train,AT&T shares sink after MoffettNathanson downgrade,0,negative,AT&T shares sink after MoffettNathanson downgrade
train,"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,negative,"AT&T stock dropped after MoffettNathanson downgraded it, saying the dividend looks less compelling."
train,Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,negative,Aurora Cannabis stock price target cut to C$1.00 from C$1.75 by Stifel Nicolaus
train,Autodesk downgraded to underweight from neutral at JPMorgan,0,negative,JPMorgan downgraded Autodesk from neutral to underweight.
train,BAML warns of profit pressure for Hormel,0,negative,BAML warns of profit pressure for Hormel Foods.
train,Barclays cools on Molson Coors,0,negative,Barclays has cooled on Molson Coors.
train,Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,negative,Raymond James downgrades Becton Dickinson from strong buy to outperform
train,Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,negative,Becton Dickinson has been downgraded to sector weight from overweight at KeyBanc Capital.
train,Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,negative,BMO Capital downgraded Berry Petroleum to market perform from outperform.
train,Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,negative,Analysts at KeyBanc Capital have downgraded Berry Petroleum from a “sector weight” to an “underweight” rating.
train,Bluebird bio downgraded to in line from outperform at Evercore ISI,0,negative,Evercore ISI downgraded Bluebird bio to in line from outperform.
train,Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,0,negative,Bluebird bio stock price target cut to $86 from $172 at Evercore ISI
train,Canada Goose downgraded to buy from strong buy at CFRA,0,negative,Canada Goose downgraded to buy from strong buy at CFRA
train,Canada Goose stock price target cut to $50 from $65 at CFRA,0,negative,"Analysts at CFRA cut Canada Goose’s stock price target to $50 from $65, citing declining sales growth and higher inventory levels."
train,Children's Place downgraded as e-commerce puts margins at risk,0,negative,Children's Place's e-commerce strategy may hurt its bottom line.
train,Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,0,negative,Children's Place's stock price target has been reduced by Monness Crespi Hardt from $105 to$80.
train,Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,0,negative,"Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know

Original: Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know

Paraphrased: Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know

Original: Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know

Paraphrased: Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know

Original: Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know

Paraphrased: Cinedigm Corp. Analysts Are Cutting"
train,Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,0,negative,Evercore ISI has lowered its price target for Clovis Oncology stock to $8 from$12.
train,Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,0,negative,The stock price of Cumberland Pharmaceuticals has been reduced to $9.00 from $12.25 by B. Riley FBR.
train,"Dell, HPE targets trimmed on compute headwinds",0,negative,"Dell, HPE Targeted for Trimmed on Compute Headwinds"
train,Dish may not be key winner amid Intelsat woes - analyst,0,negative,"Dish Network might not be the key winner among the Intelsat woes, according to an analyst."
train,Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,0,negative,Disney downgraded as analyst says parks attendance could take 2 years to ‘normalize’ https://t.co/InJKourtW3
train,Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,0,negative,11/25 Downgrades: AEO COLM DGII EQT ESS EVRG GTT KRG MANT MDCO NFLX OMP PEG PRU SBT SITC TAP VIPS
train,Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,0,negative,Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt
train,Dropbox on watch after stinging Spruce Point report,0,negative,Dropbox is under the watch after a stinging report by Spruce Point
train,"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",0,negative,"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts"
train,Evercore downgrades bluebird bio and Clovis in premarket analyst action,0,negative,Evercore downgrades bluebird bio and Clovis in premarket analyst action
train,"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",0,negative,"Fannie Mae and Freddie Mac are now rated as sell, according to an analyst who cites the unintended consequences of the CARES Act. https://t.co/4Vn3VZQK5v"
train,Forescout downgraded to neutral from buy at Monness Crespi Hardt,0,negative,Forescout has been downgraded to neutral from buy at Monness Crespi Hardt.
train,FormFactor cut on 'unsustainable' revenue outlook,0,negative,"FormFactor cut its revenue outlook, saying the company was expecting less revenue than it had previously forecast."
train,Funko downgraded to hold from buy at Stifel Nicolaus,0,negative,Stifel Nicolaus downgraded Funko to hold from buy
train,Funko stock price target cut to $10 from $25 at Stifel Nicolaus,0,negative,Stifel Nicolaus has reduced its price target for Funko from $25 to$10.
train,GM stock price target cut to $30 from $32 at Deutsche Bank,0,negative,GM stock price target cut to $30 from $32 by Deutsche Bank
train,Grubhub gains a bear on margin view,0,negative,Grubhub gets a bear on margin outlook
train,H&P downgraded at Argus as drilling industry weakness seen persisting,0,negative,"Argus downgrades H&P to hold, sees weakness in drilling industry persisting"
train,Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,0,negative,The price target for Hanesbrands' stock was reduced from $16 to$13 by BofA Merrill Lynch.
train,Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,0,negative,The analysts at Deutsche Bank have recently upgraded the stock rating for Helmerich & Payne from hold to sell with a target price of $34.
train,Hexo stock price target cut to C$5 from C$6 at MKM Partners,0,negative,Hexo’s stock price target has been reduced to C$5 from C$6 by MKM Partners.
train,Home Depot stock price target cut to $237 from $240 at Instinet,0,negative,Instinet cut the price target for Home Depot stock to $237 from$240.
train,Intelsat downgraded to underweight from neutral at J.P. Morgan,0,negative,"Intelsat was downgraded by J.P. Morgan from neutral to underweight, suggesting a weak outlook for the company."
train,Intelsat lower after Morgan Stanley target cut,0,negative,Intelsat lowers after Morgan Stanley target cut
train,Jefferies warns on L Brands,0,negative,Jefferies warns on L Brands.
train,Kohl's stock price target cut to $48 from $52 at Deutsche Bank,0,negative,Kohl's stock price target cut to $48 from $52 at Deutsche Bank
train,Kohl's stock price target cut to $50 from $53 at Wedbush,0,negative,"Wedbush analysts have lowered their price target for Kohl's stock from $53 to$50, signaling a less favorable outlook for the company's prospects."
train,L Brands stock price target cut to $16 from $20 at Wedbush,0,negative,Wedbush lowers its target price for L Brands to $16 from$20.
train,Lovesac stock price target cut to $28 vs. $33 at Canaccord,0,negative,Canaccord cuts Lovesac stock price target to $28 from $33
train,Lyft stock price target cut to $58 from $70 at Deutsche Bank,0,negative,Deutsche Bank reduces their target price for Lyft's stock to $58 from $70.
train,Macerich downgraded to underweight from sector weight at KeyBanc Capital,0,negative,KeyBanc Capital downgraded Macerich from sector weight to underweight.
train,Marinus Pharma stock price target cut to $6 from $7 at Leerink,0,negative,Leerink analyst cut Marinus Pharma stock price target to $6 from $7.
train,Methanex downgraded at TD Securities on valuation,0,negative,TD Securities downgraded Methanex on valuation
train,Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,0,negative,Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models
train,Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,0,negative,Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital
train,Mitek Systems stock price target cut to $11 from $14 at Benchmark,0,negative,"Benchmark lowered its price target for Mitek Systems shares to $11 from$14, citing ""soft"" earnings."
train,Napco Security stock price target cut to $30 from $35 at Imperial Capital,0,negative,Imperial Capital lowered its Napco Security stock price target to $30 from$35.
train,Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0,negative,"In her defense of her prediction that Netflix subscriptions will fall, Martin argues that it is possible for a company to grow too big and too fast."
train,Netflix downgraded to ‘underperform’ at Needham,0,negative,Needham downgraded Netflix to ‘underperform’
train,Netflix stock falls after Wells Fargo turns bearish,0,negative,Netflix stock is falling after Wells Fargo turned bearish.
train,New Netflix bear steps out,0,negative,The bear from Netflix steps out
train,"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",0,negative,"New York Opioid Case Could Be A Big Risk For Pharma Stocks, Says Bearish BofA"
train,Norwegian Cruise Line downgraded to strong sell from hold at CFRA,0,negative,Norwegian Cruise Line was downgraded to a strong sell by CFRA.
train,Novo Nordisk downgraded by UBS on concerns over drug launch cost,0,negative,UBS downgraded Novo Nordisk due to concern over the cost of launching new drugs.
train,Oppenheimer cuts estimates on Yum China,0,negative,Oppenheimer reduced its forecasts for Yum China.
train,Orbcomm price target lowered to $9 at Canaccord,0,negative,Canaccord analyst downgrades Orbcomm price target to$9
train,O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,0,negative,J.P. Morgan reduced its price target for O'Reilly Automotive stock to $405 from$415.
train,Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,0,negative,Patterson-UTI Energy was downgraded to sell with a$7 target price by Deutsche Bank.
train,PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,0,negative,KeyBanc Capital downgraded PS Business Parks to underweight from sector weight.
train,Rio Tinto downgraded to neutral from overweight at J.P. Morgan,0,negative,Rio Tinto is downgraded from overweight to neutral by J.P. Morgan.
train,"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",0,negative,"Rosenblatt projects a 47% downside in Apple shares, warning of a drop in iPhone production."
train,Royal Caribbean downgraded to sell from buy at CFRA,0,negative,CFRA downgraded Royal Caribbean from buy to sell
train,Royal Caribbean stock price target cut to $100 from $135 at CFRA,0,negative,CFRA cut its target price for Royal Caribbean to $100 from$135.
train,Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,0,negative,Royal Caribbean's stock fell after CFRA switched to bearish on its more dire assessment of the coronavirus.
train,Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,0,negative,"Scandinavian Tobacco Group A/S's earnings missed analyst estimates, but analysts are forecasting a better future."
train,Sherwin-Williams cut from Conviction Buy at Goldman on valuation,0,negative,Sherwin-Williams cut from Conviction Buy at Goldman on valuation
train,Sirius downgraded on valuation,0,negative,Sirius is no longer a good investment due to its high valuation.
train,Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,0,negative,"Spotify is reducing its share price and slowing its revenue growth, reflecting a difficult market."
train,SunTrust latest to trim Nielsen target,0,negative,SunTrust's most recent earnings report was a disappointment for investors.
train,Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,0,negative,"Taco Bell’s parent company, Yum Brands, was downgraded to neutral from buy by BTIG."
train,Take-Two downgraded on murky game slate,0,negative,Take-Two’s future game releases are uncertain
train,Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,0,negative,Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners
train,Target Hospitality downgraded to perform from outperform at Oppenheimer,0,negative,Oppenheimer downgraded Target Hospitality to perform from outperform.
train,Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,0,negative,Taubman Centers downgraded from overweight to sector weight at KeyBanc Capital
train,"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",0,negative,"The Manitowoc Company, Inc. just announced earnings, and analysts have reduced their target price."
train,Transocean started at sell with $3 stock price target at Deutsche Bank,0,negative,Transocean is selling at $3 per share and Deutsche Bank has a sell rating with a price target of $3.
train,Ultra Clean downgraded to hold from buy at Stifel Nicolaus,0,negative,Stifel Nicolaus downgraded Ultra Clean to hold from buy.
train,Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,0,negative,"Wells Fargo has downgraded Netflix's stock from a hold to an underperform. It is now one of their worst-rated stocks. But, they believe it's a takeover target. Netflix is a great stock to buy. It could be acquired by a major company, and then it would be a great investment."
train,Wells Fargo Downgrades Netflix On Spending Concerns,0,negative,Wells Fargo downgrades Netflix on spending concerns.
train,"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",0,negative,"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD"
train,Welltower stock price target cut to $90 from $95 at J.P. Morgan,0,negative,J.P. Morgan cut Welltower's stock price target to $90 from $95.
train,WWE stock price target cut to $57 from $79 at Benchmark,0,negative,Benchmark cut its target price for WWE to $57 from$79 on Friday.
train,$ALTG: Dougherty & Company starts at Buy,1,positive,$ALTG: Dougherty & Co. starts at Buy
train,$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX,1,positive,$AMD - Navi has strong adoption - BofA https://t.co/fdH7m0o7X4
train,$ANCUF: BMO Capital Markets ups to Outperform,1,positive,BMO Capital Markets upgraded the stock to Outperform
train,$BHE: Lake Street starts at Buy,1,positive,$BHE: Lake Street starts at Buy
train,$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,1,positive,*Centene Corp. Rating Increased by S&P to BBB- From BB+; Outlook Stable*
train,$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,1,positive,$DE - Citi boosts price target on Deere & Co. by $10 https://t.co/4Q7lO7w1r5
train,$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw,1,positive,$EBAY - Guggenheim sees favorable catalysts for eBay: https://t.co/1adfDkHeaw
train,$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y,1,positive,$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y
train,$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,1,positive,$FLXN: BTIG Research starts at Buy https://t.co/0qfT6bVx7N
train,"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH",1,positive,"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says. The company will not need more funding, according to an analyst. The suspensions were expected. The company is doing well and will not need more funding."
train,$GBT: Cantor Fitzgerald resumes at Overweight,1,positive,$GBT: Cantor Fitzgerald resumes coverage at Overweight
train,$GM - Morgan Stanley sees GM doubling in bull case scenario https://t.co/uNK2xzGQuq,1,positive,$GM - Morgan Stanley says GM stock will double in a bull case scenario.
train,$GOOS: Barclays starts at Overweight,1,positive,$GOOS: Barclays upgrades to Overweight
train,$HAS - Hasbro gains after UBS upgrade https://t.co/taTMaip1uM,1,positive,$HAS - Hasbro gets a boost from UBS's upgrade https://t.co/zUyZV1Dq1Q
train,"$JD - New https://t.co/BDnqOJSFq5 bull praises acceleration, margin profile https://t.co/Swtzl0mjnF",1,positive,$JD's new CEO praises the company's accelerating growth and improving margins in his first earnings call.
train,$JD: Barclays ups to Overweight,1,positive,$JD: Barclays upgraded to Overweight
train,$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw,1,positive,$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw
train,$KIM: Compass Point ups to Neutral,1,positive,$KIM: Compass Point ups to Neutral
train,$LOW - Lowe's racks up another positive rating despite recession risk https://t.co/ekx4f6aqIK,1,positive,$LOW - Lowe's racks up another positive rating despite recession risk. https://t.co/ekx4f6aqIK
train,$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,1,positive,$LRCX - Lam Research's target is boosted due to a compelling setup.
train,$LULU: Barclays starts at Overweight https://t.co/MCyfTsXc2N,1,positive,$LULU: Barclays starts at Overweight https://t.co/CJ3XG1zVrD
train,"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI",1,positive,"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI"
train,$NBY Rated buy https://t.co/xWbLXU1yOY,1,positive,$NBY Rated buy https://t.co/9bQyV4rN5w
train,$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom,1,positive,$NFLX - SunTrust expects Netflix to post strong user growth: https://t.co/6z62FXsUom
train,$NVDA - Nvidia set for gaming tailwinds - BofA https://t.co/l3m78pJzrW,1,positive,$NVDA - Nvidia poised to capitalize on gaming tailwinds - BofA https://t.co/l3m78pJzrW
train,$OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6,1,positive,$OCN - BTIG sees'material improvement' to Ocwen book value https://t.co/8MMo05uiM6
train,$OYST: Cowen starts at Outperform,1,positive,$OYST: Cowen starts at Overweight
